Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Herren-Weihnachtspullover Coca-Cola,Keine Marke,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt.,Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Bio-Hippis-Quetschbeutel,HiPP,"€ 0,88",Kein vorheriger Preis,"€ 8,80 / kg -","Fruchtzubereitung, ab 1 Jahr, versch. Sorten je 100-g-Beutel",Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Exklusiv Qualitätsweine,Weinland Baden,"€ 4,99",Kein vorheriger Preis,"€ 6,65 / l -","Baden, versch. Sorten, z. B. Oberkircher Winzer Grauer Burgunder: Aromen von Birne und Zitrusfrucht ...",Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Vakuumierer SOV 125 C6,Switch On,"€ 19,99",Kein vorheriger Preis,"€ 19,98 / Stk -",Details im Prospekt.,Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Gourmet-Müsli Triple Choc,K-Favourites,"€ 1,99",Kein vorheriger Preis,"€ 3,98 / kg -",versch. Sorten je 500-g-Beutel,Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Bioländer Käsescheiben,Andechser Natur,"€ 2,59",Kein vorheriger Preis,"€ 17,26 / kg -","oder Bio-Schnittkäse Bioländer, Bergkäse, Butterkäse oder Gouda, 48 - 50 % Fett i. Tr. je 125 - 150-...",Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Tiptoi Der Stift,Ravensburger,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",Details im Prospekt.,Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Alkoholfrei Sparkling White,Light Live,"€ 2,99",Kein vorheriger Preis,"€ 3,99 / l -","oder Rosé, oder Hugo je 0,75-l-Fl.",Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Weißwurst,K-Classic,"€ 2,29",Kein vorheriger Preis,"€ 7,63 / kg -","Münchner Art, gebrüht je 5 St. = 300-g-Packg.",Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Rosé,Francois Dulac,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / l -","oder Rotwein Frankreich, Aromen roter Früchte, blumig, würzig, passt zu leichten Speisen und Salaten...",Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Rinderhackfleisch,K-Purland,"€ 4,99",Kein vorheriger Preis,"€ 9,98 / kg -",zum Braten je 500-g-Packg.,Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Damen Slips 5er Pack,Oyanda,"€ 6,99",Kein vorheriger Preis,"€ 1,40 / Stk -","Aus Baumwolle, Polyamid und Elastan (LYCRA) Mit eleganter Spitze Größen 36/38 - 48/50 je 5-St.-Packg...",Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Kinder-Strickmütze,Hip & Hopps,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",Details Im Prospekt,Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Ciabatta natur,Kaufland Bäckerei,"€ 0,55",Kein vorheriger Preis,"€ 1,84 / kg -",natur Weizenbrot nach ital. Art je 300-g-Stück,Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Küche,Kidland,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",Details im Prospekt,Nein,06.11. - 12.11.,2025-11-06,2025-11-12
Salami,K-Favourites,"€ 1,49",Kein vorheriger Preis,"€ 14,90 / kg -","Spianata Romana oder Piccante Spianata Romana oder Piccante, luftgetrocknet je 100-g-Packg.",Nein,06.11. - 12.11.,2025-11-06,2025-11-12
