Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Keine Marke,Dtsch ital Tafeläpfel rot,"€ 1,49",3.49,1 kg = 0.75,,Nein,Dieses Angebot findest du vom 01.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-01,2026-01-07,images_kaufland/kaufland_offer_001.jpg
BIRKEL No 1,Frischei-Nudeln,"€ 0,88",1.99,1 kg = 1.76,,Nein,Dieses Angebot findest du vom 01.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-01,2026-01-07,images_kaufland/kaufland_offer_002.jpg
LANDLIEBE,Pudding,"€ 0,44",0.99,1 kg = 1.96 - 2.94,,Nein,Dieses Angebot findest du vom 05.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-05,2026-01-07,images_kaufland/kaufland_offer_003.jpg
LÄTTA,Brotaufstrich,"€ 0,99",2.19,1 kg = 2.20,,Nein,Dieses Angebot findest du vom 01.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-01,2026-01-07,images_kaufland/kaufland_offer_004.jpg
LORENZ,Saltletts,"€ 0,99",2.19,1 kg = 3.96,,Nein,Dieses Angebot findest du vom 01.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-01,2026-01-07,images_kaufland/kaufland_offer_005.jpg
IGLO,Fischstäbchen,"€ 2,22",4.49,1 kg = 4.94 - 6.17,,Nein,Dieses Angebot findest du vom 01.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-01,2026-01-07,images_kaufland/kaufland_offer_006.jpg
ROYAL ORANGE,Maasdam,"€ 0,79",1.59,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-05,2026-01-07,images_kaufland/kaufland_offer_007.jpg
STEINHAUS,Kasseler Leberwurst,"€ 0,89",1.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-05,2026-01-07,images_kaufland/kaufland_offer_008.jpg
Keine Marke,Dtsch niederl Porree lose,"€ 0,99",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 05.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-05,2026-01-07,images_kaufland/kaufland_offer_009.jpg
THOMY,Les Sauces,"€ 0,84",1.69,1 l = 3.36,,Nein,Dieses Angebot findest du vom 05.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-05,2026-01-07,images_kaufland/kaufland_offer_010.jpg
Keine Marke,Ital griech Kiwi lose,"€ 0,29",0.59,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 01.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-01,2026-01-07,images_kaufland/kaufland_offer_011.jpg
MANNER,Waffeln Mignon oder Herzen,"€ 2,89",5.69,1 kg = 9.64,,Nein,Dieses Angebot findest du vom 05.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-05,2026-01-07,images_kaufland/kaufland_offer_012.jpg
VOLVIC,Mineralwasser,"€ 0,55",0.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 01.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-01,2026-01-07,images_kaufland/kaufland_offer_013.jpg
MUTTI,Polpa,"€ 0,99",1.79,1 kg = 2.48,,Nein,Dieses Angebot findest du vom 05.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-05,2026-01-07,images_kaufland/kaufland_offer_014.jpg
Keine Marke,Span griech Orangen,"€ 1,99",3.49,1 kg = 1.00,,Nein,Dieses Angebot findest du vom 01.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-01,2026-01-07,images_kaufland/kaufland_offer_015.jpg
ALPIA,Schokolade,"€ 0,99",1.69,1 kg = 9.90,,Nein,Dieses Angebot findest du vom 01.01. bis 07.01. in deiner Kaufland-Filiale.,2026-01-01,2026-01-07,images_kaufland/kaufland_offer_016.jpg
