Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
HARRY,1688 Unser Mildes,"€ 1,29",,"1 kg = 2,58","Weizenmischbrot, in Scheiben",Nein,Dieses Angebot findest du vom 19.03. bis 25.03. in deiner Kaufland-Filiale.,2026-03-19,2026-03-25,images_kaufland/kaufland_offer_198.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,ref_000001,obs_0000031327|obs_0000011362|obs_0000009387|obs_0000009848,obs_0000009387|obs_0000031327|obs_0000011362|obs_0000009848
Keine Marke,2in1 Shampoo und Duschgel,"€ 3,99","€ 4,99","1 l = 9,98","»PAW Patrol«, »Spider Man«, »Iron Man«, »Eau My Unicorn« oder »Frozen«",Nein,Dieses Angebot findest du vom 19.03. bis 25.03. in deiner Kaufland-Filiale.,2026-03-19,2026-03-25,images_kaufland/kaufland_offer_353.jpg,"cat_drogerie,diet_lactose_free,tag_whole_food",,ref_000002,obs_0000015529|obs_0000028459|obs_0000032840|obs_0000032877|obs_0000033059|obs_0000033092|obs_0000033133|obs_0000033168|obs_0000000446|obs_0000033215|obs_0000033227|obs_0000033237|obs_0000033244|obs_0000033372|obs_0000033398|obs_0000033460|obs_0000033529|obs_0000033623|obs_0000033649|obs_0000034052|obs_0000034239|obs_0000034662|obs_0000001916|obs_0000034854|obs_0000035065|obs_0000035066|obs_0000004179|obs_0000004606|obs_0000005033|obs_0000008067|obs_0000008329|obs_0000009054|obs_0000009325|obs_0000009494|obs_0000009796|obs_0000009955|obs_0000010154|obs_0000010913|obs_0000011174|obs_0000011610|obs_0000011624|obs_0000011788|obs_0000013165|obs_0000013602|obs_0000014682|obs_0000015523|obs_0000015972|obs_0000017459|obs_0000019053|obs_0000020828,obs_0000015529
MAGGI,5-Minuten-Terrine oder Magic Asia Noodles,"€ 4,00","€ 4,95","1 kg = 10,67 - 19,52",versch. Sorten,Nein,Dieses Angebot findest du vom 23.03. bis 25.03. in deiner Kaufland-Filiale.,2026-03-23,2026-03-25,images_kaufland/kaufland_offer_659.jpg,"cat_grundnahrung,tag_ultra_processed",,ref_000003,obs_0000005924|obs_0000006644|obs_0000022281|obs_0000018283|obs_0000019422|obs_0000027128,obs_0000005924
METAXA,7 Sterne,"€ 12,99","€ 22,99","1 l = 18,56","griech. Branntweinspezialität, 40 Vol. %",Nein,Dieses Angebot findest du vom 23.03. bis 25.03. in deiner Kaufland-Filiale.,2026-03-23,2026-03-25,images_kaufland/kaufland_offer_014.jpg,cat_getraenke,,ref_000004,obs_0000028420|obs_0000025381|obs_0000012867|obs_0000011351|obs_0000010295|obs_0000009152|obs_0000009682|obs_0000009200|obs_0000002839|obs_0000002278|obs_0000027887|obs_0000003441|obs_0000000167|obs_0000028133|obs_0000019050|obs_0000017926|obs_0000016280|obs_0000000162|obs_0000016683|obs_0000030643|obs_0000001973|obs_0000035116|obs_0000022261|obs_0000017275|obs_0000017279|obs_0000017781,obs_0000028420|obs_0000025381|obs_0000012867|obs_0000011351
ABTSHOF,Absinth 66,"€ 19,99","€ 23,99","1 l = 39,98","Spirituosenspezialität mit Anis, Fenchel, Wermut und weiteren Kräutern, 66 Vol. %",Nein,Dieses Angebot findest du vom 19.03. bis 25.03. in deiner Kaufland-Filiale.,2026-03-19,2026-03-25,images_kaufland/kaufland_offer_294.jpg,"cat_getraenke,diet_vegetarian",,ref_000005,,
TALENTUS,Acrylfarbe,"€ 3,99",,"1 l = 7,98","Leuchtende Farbe mit guter Deckkraft Zum Malen auf Papier, Leinwand, Glas und Textil Lichtbeständig Versch. Farben",Nein,Dieses Angebot findest du vom 19.03. bis 25.03. in deiner Kaufland-Filiale.,2026-03-19,2026-03-25,images_kaufland/kaufland_offer_378.jpg,cat_non_food,,ref_000006,,
PARKSIDE,Akku-Kfz-Drehschlagschrauber 20 V PASSK 20-Li mit Akku,"€ 69,99","€ 69,99","pro Einheit = 69,99","Drehmoment-Vorwahl: 100/150/200/300/400 Nm Stufenlose Dreh- und Schlagzahlsteuerung Leerlaufdrehzahl 0 - 2.300 min-1 Schlagzahl 0 - 3.000 min-1 Außenvierkant-Werkzeugaufnahme (1/2 Zoll) Integrierte LED-Arbeitsleuchte Gürtelclip mit Flaschenöffnerfunktion Inkl. Akku (4 Ah) und Ladegerät (4,5 A) Akku kompatibel mit allen »X 20 V Team«-Geräten 3-stufige LED-Akkuzustandsanzeige am Akku Ladegerät mit automatischer Ladeabschaltung Inkl. Koffer und 4 Steckschlüssel (17/19/21/23) 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 19.03. bis 25.03. in deiner Kaufland-Filiale.,2026-03-19,2026-03-25,images_kaufland/kaufland_offer_371.jpg,cat_non_food,,ref_000007,obs_0000013989|obs_0000024831|obs_0000024842|obs_0000016525|obs_0000023058,
PARKSIDE,Akku-Poliermaschine 20 V PPMAS 20-Li A2 mit Akku,"€ 49,99",,"pro Einheit = 49,99","Geeignet zum Polieren mit Polierpasten Ideal auch zum Ausbessern kleiner Kratzer Gehäuse mit rutschhemmender Softgrip-Ausstattung Polierteller mit Kletthaftung Für Klettplatten mit Ø 125 und 150 mm Leerlaufdrehzahl 6-stufig 500 - 3.000 min-1 Mit integrierter Wandhalterung Kompatibel mit Akkus der Serie »X 20 V Team« Inkl. Akku (4 Ah) und Ladegerät (4,5 A) Inkl. Koffer und 2 Polierschwämme (weich/hart) 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 19.03. bis 25.03. in deiner Kaufland-Filiale.,2026-03-19,2026-03-25,images_kaufland/kaufland_offer_373.jpg,cat_non_food,,ref_000008,obs_0000000184,
LINDT,Alkoholische Ostereier,"€ 4,44","€ 5,49","1 kg = 41,12","Schokoladeneier mit alkoholischer Füllung, versch. Sorten",Nein,Dieses Angebot findest du vom 19.03. bis 25.03. in deiner Kaufland-Filiale.,2026-03-19,2026-03-25,images_kaufland/kaufland_offer_259.jpg,cat_knabbern_naschen,,ref_000009,,
HAVANA CLUB,Alkoholisches Mixgetränk,"€ 1,99","€ 3,29","1 l = 6,03","mit kubanischem Rum, versch. Sorten, z. T. koffeinhaltig, 10 Vol. % (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 19.03. bis 25.03. in deiner Kaufland-Filiale.,2026-03-19,2026-03-25,images_kaufland/kaufland_offer_295.jpg,cat_getraenke,,ref_000010,obs_0000012426|obs_0000015062|obs_0000013501|obs_0000026012|obs_0000012425|obs_0000013228|obs_0000015063,obs_0000012426|obs_0000015062|obs_0000013501
