Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
ABUS,10-Jahres-Rauchwarnmelder SA0100,"€ 9,99",,"pro Einheit = 9,99","Für Schlafräume, Kinderzimmer, Flure etc. Auch geeignet für z. B. Wohnmobile Erfassungsbereich bis 40 m² im Raum Alarmlautstärke ca. 85 dB Stummschaltungsoption Warnung bei schwacher Batterie Insektenschutzgitter verhindert Fehlalarme Geprüft nach DIN EN 14604 Fest verbaute 3-V-Lithium-Batterie Batterie-Lebensdauer bis zu 10 Jahre Inkl. Montagematerial",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_342.jpg,"cat_non_food,diet_lactose_free",,,ref_000001,obs_0000026950|obs_0000019944|obs_0000008694|obs_0000022784,
METAXA,5-Stern,"€ 10,99",,"1 l = 15,70","griech. Spirituosenspezialität, 38 Vol. %",Nein,Dieses Angebot findest du vom 06.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-06,2026-04-08,../images/kaufland/kaufland_offer_550.jpg,cat_non_food,,,ref_000002,obs_0000013057|obs_0000015286|obs_0000015638|obs_0000007464|obs_0000033448|obs_0000026552|obs_0000005448|obs_0000026986|obs_0000002572|obs_0000033431|obs_0000015643|obs_0000002462|obs_0000003160|obs_0000032892|obs_0000002813|obs_0000015291,obs_0000013057|obs_0000025381|obs_0000007464|obs_0000015286|obs_0000005448
PARKSIDE,Abbruchhammer PAH 1300 C3,"€ 54,99",,"pro Einheit = 54,99","Für Arbeiten in Beton, Gestein oder Mauerwerk SDS-Max-Bohrfutter mit Schnellspannaufnahme Winkelbarer und 360° drehbarer Zusatzhandgriff Feststellschalter für Dauerbetrieb Rutschhemmende Softgrip-Ausstattung Vibrationsdämpfung am Haupthandgriff Schlagenergie 15 Joule Schlagzahl 3.600 min-1 Nennleistung 1.300 W Inkl. Flachmeißel, Spitzmeißel und Schmierfett Inkl. Aufbewahrungskoffer 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_316.jpg,cat_non_food,,,ref_000003,,
PARKSIDE,Akku-Schrauber 4 V PAS 4 D7,"€ 14,99",,"pro Einheit = 14,99","Drehmoment-, Exzenter-, Winkel-, Schneideaufsatz Bemessungsleerlauf 200 min-1 Drehmoment max. 10 Nm Magnetischer Sechskant-Bithalter Automatische Spindelarretierung Integrierte LED-Arbeitsleuchten LEDs für Laufrichtung und Ladezustand Rutschhemmende Softgrip-Ausstattung Integrierter Akku (1,5 Ah) Ladezeit ca. 60 min Inkl. Aufbewahrungskoffer und USB-C-Kabel Inkl. 28 Bits und Bitverlängerung 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_341.jpg,cat_non_food,,,ref_000004,obs_0000012948,obs_0000012948
PARKSIDE,Akku-Schrauber 4 V PASS 4 A1,"€ 19,99",,"pro Einheit = 19,99","Ergonomisch geformter Softgrip-Griff Leerlaufdrehzahl 360 min-1 5 Drehmomentstufen (max. 5 Nm) Magnetische Sechskant-Bitaufnahme Akku-Ladezustandsanzeige Batterie-Management-System Inkl. Akku (4 V/1,5 Ah) und USB-C-Ladekabel Inkl. 24 Bits, Bithalter und Koffer 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_324.jpg,cat_non_food,,,ref_000005,,obs_0000012948
K-BLUE BAY,Alaska-Seelachsloin- Portionen,"€ 3,49",,"1 kg = 15,87","ohne Haut, praktisch grätenfrei, aufgetaut",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_121.jpg,"cat_fisch_meeresfruechte,diet_vegetarian",,,ref_000006,obs_0000011869,obs_0000011869
PATTEX,Alleskleber REPAIR 100,"€ 2,99","€ 7,40","1 kg = 59,80","Für fast alle Materialien und Oberflächen Starker Halt auch unter extremen Bedingungen Flexible Verklebungen, stoßfest Wasserfest, für innen und außen UV-beständig und lösemittelfrei",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_317.jpg,cat_non_food,,,ref_000007,obs_0000019734|obs_0000021958|obs_0000018416,
ZIMMERMANN,Allg Bergkräuter-Schinken,"€ 1,99",,"pro Einheit = 1,99",aus Deutschland,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_116.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst",,,ref_000008,obs_0000014350|obs_0000034378|obs_0000028387|obs_0000016624|obs_0000017657,obs_0000014350
OUZO 12 oder GOLD 12,Anisspirituose oder -likör,"€ 9,99",,"1 l = 14,28",36 - 38 Vol. %,Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_251.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000009,obs_0000012635|obs_0000013067|obs_0000011131|obs_0000013035|obs_0000015488|obs_0000011980|obs_0000012418|obs_0000004299|obs_0000000247|obs_0000020866|obs_0000004726|obs_0000009446|obs_0000003467|obs_0000020047|obs_0000009911|obs_0000003872|obs_0000022448,obs_0000012635|obs_0000013067|obs_0000011131
HARRY,Anno 1688,"€ 1,79",,"1 kg = 3,58","Rustikal oder Klassisch, geschnitten",Nein,Dieses Angebot findest du vom 02.04. bis 08.04. in deiner Kaufland-Filiale.,2026-04-02,2026-04-08,../images/kaufland/kaufland_offer_195.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000010,obs_0000014996|obs_0000031317|obs_0000015866|obs_0000031178|obs_0000030698|obs_0000010233,obs_0000014996|obs_0000031317|obs_0000030698|obs_0000015866
