Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
LIVINGTON,3-in-1-Messerschärfer BladeStar,"€ 14,99","€ 39,90","pro Einheit = 14,99","pro Einheit = 14,99","Schärft, schleift und poliert Messer in Sekunden Grobschliff, Reparatur, Feinschliff und Politur Neigung lässt sich individuell einstellen 3-Stufen-Schleifsystem Mit eingebautem Scherenschleifer Sicher mit ergonomisch geformtem Griff Für Rechts- und Linkshänder geeignet Größe ca. 29 cm",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_459.jpg,cat_non_food,,,ref_000001,obs_0000010880|obs_0000022715|obs_0000026352|obs_0000028981,obs_0000010880,,
HAMMERSMITH,5-in-1-Multi-Akku-Trimmer MultiWizard,"€ 59,99","€ 119,90","pro Einheit = 59,99","pro Einheit = 59,99","Rasenmäher, -trimmer und -kantenschneider Heckenschneider und Unkrautentferner Mit Rad-Satz vom Trimmer zum Rasenmäher Schnitthöhe 3-stufig einstellbar Teleskopstiel ca. 100 bis 130 cm Verstellbarer Sicherheitsgriff Mit kippbarem Schneidekopf Abschwenkbarer Blumenschutz Effizientes Arbeiten mit 10.000 min-1 Akku-Laufzeit bis zu 40 min Größe ca. 16 - 30 x 100 - 130 cm Inkl. 5 Polyamid-Klingen und 5 Nylonschneider Inkl. Akku und Ladegerät Inkl. Hut, Schutzbrille und Handschuhe",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_465.jpg,cat_non_food,,,ref_000002,obs_0000035056,,,
Tefal,5-Sekunden-Zerkleinerer,"€ 9,99","€ 25,99","pro Einheit = 9,99","pro Einheit = 9,99",Mit Seilzugmechanismus (ohne Strom) Rotor mit 2 separaten Edelstahl-Klingen Deckel mit Verschlusssystem Behälter ca. 500 ml Rutschfester Boden Ohne Deckel spülmaschinengeeignet Größe ca. Ø 12 x 11 cm,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_379.jpg,cat_non_food,,,ref_000003,obs_0000011227,obs_0000011227,,x
CILLIT BANG,6 in 1 WC-Duft Farbspüler,"€ 2,22","€ 2,69","1 kg = 31,72","1 kg = 31,72",versch. Sorten,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_318.jpg,cat_drogerie,,,ref_000004,obs_0000020708|obs_0000025343|obs_0000021527,obs_0000020708|obs_0000025343|obs_0000021527,,
MEDIASHOP,6-in-1-Hand-Vakuumiergerät PowerXL Duo NutriSealer,"€ 39,99","€ 149,00","pro Einheit = 39,99","pro Einheit = 39,99","Vakuumieren, Versiegeln und Zuschneiden Portionsweise versiegeln und wiederversiegeln Ideal auch für Flüssigkeiten und Suppen Doppelversiegelung (mehrere kleine Tüten) Vollständig aufklappbarer Versiegelungsarm 3 automatische Programme Größe ca. B 45 x H/T 7,5 cm Inkl. je 2 Vakuumierfolienrollen und -beutel Inkl. Mehrzweck-Zubehör und Rezeptheft",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_470.jpg,cat_non_food,,,ref_000005,obs_0000011965|obs_0000023297,,,
HAMMERSMITH,Akku-Druckreiniger HydroBlast,"€ 49,99","€ 79,90","pro Einheit = 11,00","pro Einheit = 11,00","Leichtes, kompaktes Handgerät Funktioniert per Schlauch mit Wasserhahn/Eimer Präzisions-Jet-Sprühdüse (punktuelle Reinigung) Weitwinkel-Sprühdüse (großflächige Reinigung) Hochdruckschlauch ca. 5 m Mikro-Sieb-Nanofilter Durchfluss ca. 210 l/h Leistung bis zu 7 bar Akkulaufzeit bis zu 40 min, Ladegerät Inkl. aufsteckbare Seifenschaumflasche",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_472.jpg,cat_drogerie,,,ref_000006,,,,
LIVINGTON,Akku-Handstaubsauger Pocket Vac,"€ 17,99","€ 39,90","pro Einheit = 17,99","pro Einheit = 17,99","2 in 1: Mit Gebläseaufsatz für Blasfunktion Schnelles Umschalten von Saug- zu Blasfunktion Mit waschbarem Filter Mit Fugendüse, Bürstendüse und breiter Düse Schmutzbehälter schnell und einfach entleerbar Kompaktes Design mit geringem Gewicht Ideal für Haus, Büro, Auto, Garage und Werkstatt Akku-Laufzeit bis zu 10 min Inkl. Ersatzfilter, USB-C-Ladekabel und Tasche",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_458.jpg,cat_non_food,,,ref_000007,obs_0000028196|obs_0000027251|obs_0000022693|obs_0000027883|obs_0000026908,,,
HAMMERSMITH,Akku-Mini-Kettensäge PocketSaw Pro,"€ 69,99","€ 99,99","pro Einheit = 69,99","pro Einheit = 69,99","Sägt mühlelos Äste, Holz, Sträucher etc. Für Schneidgut bis ca. Ø 15 cm Mit rutschfestem Soft-Touch-Griff Kette mit Schnellspannsystem und Blattschutz Akku-Laufzeit bis zu 25 min Inkl. Akku (21 V/1,5 Ah), Ladegerät und Koffer Inkl. Schutzbrille und Schutzhandschuhe",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_461.jpg,cat_non_food,,,ref_000008,obs_0000012328|obs_0000006379|obs_0000010932|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000016216,,,
LIVINGTON,Akku-Mini-Saftpresse JuiceBoost,"€ 29,99","€ 69,90","pro Einheit = 29,99","pro Einheit = 29,99","Kompakt, kabellos und tragbar Schonende 110 U/min Entsaftet vitaminschonend und nährstoffbewahrend Ideal für wasserhaltige Früchte Auffangbehälter ca. 160 ml Einfach per Knopfdruck direkt ins Glas Abnehmbare Teile spülmaschinengeeignet Für bis zu 50 Entsaftungsvorgänge pro Akkuladung Größe ca. 26 cm Inkl. USB-C-Kabel, Ladestecker und Rezeptheft",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_468.jpg,cat_non_food,,,ref_000009,obs_0000012328|obs_0000006379|obs_0000010932|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000016216,,,
Severin,Allesschneider 9578,"€ 34,99","€ 49,99","pro Einheit = 34,99","pro Einheit = 34,99",Zusammenklappbare Grundplatte Abnehmbare Edelstahlklinge Schnittstärke einstellbar von 0 bis 15 mm Sicherheits-Tast-Schalter Gleitschlitten mit Fingerschutz Restehalter 100 W,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_345.jpg,cat_getraenke,,,ref_000010,obs_0000023708|obs_0000024130,,,x
