Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
MILKA,Weihnachtsmann,1.29,2.99,1 kg = 13.58 - 21.15,-56%,je 61 - 95-g-Stück,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_01.jpg
BAHLSEN,Comtess Kuchen,1.49,3.19,1 kg = 4.26,-53%,je 350-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_02.jpg
EHRMANN,Almighurt,1.11,2.39,1 kg = 2.22 - 2.37,-53%,je 470 - 500-g-Glas,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_03.jpg
BONBEL,Franz. Butterkäse,1.19,2.49,,-52%,je 100 g,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_04.jpg
DORITOS,Tortilla-Chips,0.99,1.99,1 kg = 9.00 - 9.90,-50%,je 100 - 110-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_05.jpg
LANGNESE,Magnum,2.79,5.49,1 l = 4.65 - 4.81,-49%,je 6 St. = 580 - 600-ml-Packg.,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_06.jpg
PRÉSIDENT,Meersalz-Butter,2.49,4.79,1 kg = 9.96,-48%,je 250-g-Becher,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_07.jpg
MAYBACH,Qualitätswein oder Alkoholfrei,2.69,4.99,1 l = 3.59,-46%,"je 0,75-l-Fl.",Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_08.jpg
JACOBS,Gold,5.99,10.99,1 kg = 29.95,-45%,je 200-g-Glas,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_09.jpg
,Dtsch. Zwiebeln,0.99,1.79,1 kg = 0.50,-44%,je 2-kg-Sack,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_10.jpg
FROSTA,Fertiggericht,2.79,4.79,1 kg = 5.58 - 6.20 / 1 kg = 4.78 - 5.32**,"-41%; 2.39€, mit Kaufland Card",je 450 - 500-g-Beutel,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_11.jpg
MELITTA,Kaffee,5.55,9.29,1 kg = 11.10,-40%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_12.jpg
MILKA,Choco oder Sensations,1.79,2.99,1 kg = 6.89 - 11.94,-40%,je 150 - 260-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_13.jpg
,"Amerikan. Süßkartoffeln, lose",1.49,2.49,,-40%,je kg,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_14.jpg
,"Brasil./domenik. Mango, lose",1.49,2.49,,-40%,je Stück,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_15.jpg
MILKA,Weihnachts-Mischung,2.99,4.89,1 kg = 23.73,-38%,je 126-g-Beutel,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_16.jpg
FERRERO,Rocher,2.99,4.79,1 kg = 14.95,-37%,je 16 St. = 200-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_17.jpg
FROSTA,Schlemmerfilet versch. Sorten,2.49,3.99,1 kg = 6.92 - 7.79,-37%,je 320 - 360-g-Packg.,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_18.jpg
METAXA,5-Stern,9.99,15.99,1 l = 14.28,-37%,"je 0,7-l-Fl.",Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_19.jpg
ZEWA,Toilettenpapier Ultra Soft,2.89,4.65,,-37%,je Packg. = 8 x 150 Blatt,Nein,Dieses Angebot findest du vom 01.12. bis 03.12. in deiner Kaufland-Filiale.,2025-12-01,2025-12-03,images_kaufland/kaufland_offer_20.jpg
