Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Deluxe Geschenkbox Feinschmecker,Sansibar,"€ 47,99",Kein vorheriger Preis,"€ 6,86 / Stk -",Details im Prospekt,Nein,02.11. - 15.11.,2025-11-02,2025-11-15
Alsace Pinot Blanc Collection Prestige,Jean Cornelius,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR AOC, Weißwein, trocken Elsass/Frankreich Je 0,75L",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Deluxe Geschenkbox Schatzkiste,Sansibar,"€ 79,99",Kein vorheriger Preis,"€ 7,27 / Stk -",Details im Prospekt,Nein,02.11. - 15.11.,2025-11-02,2025-11-15
Spritz,Chandon Garden,"€ 17,99",Kein vorheriger Preis,"€ 23,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Argentinien Je 0,75 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
5 Oros Rioja Crianza,Isidro Milagro,"€ 6,99",Kein vorheriger Preis,"€ 9,32 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Rotwein, trocken Rioja/Spanien Je 0,75 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Primitivo di Manduria,Poggio Marù,"€ 8,99",Kein vorheriger Preis,"€ 11,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Manduria DOP Rotwein, trocken Apulien/Italien Je 0,75 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Monopole Blue Top Champagner,Heidsieck & Co,"€ 24,99",Kein vorheriger Preis,"€ 33,32 / l -","HINWEIS: NUR ONLINE VERFÜGBAR brut Champagne/ Frankreich Je 0,75 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Deluxe Geschenkbox Strandkorb,Sansibar,"€ 29,99",Kein vorheriger Preis,"€ 5,00 / Stk -",Details im Prospekt,Nein,02.11. - 15.11.,2025-11-02,2025-11-15
Cellar Selection Sauvignon Blanc,Sileni Estates,"€ 9,99",Kein vorheriger Preis,"€ 13,32 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Weißwein, trocken Marlborough/ Neuseeland Je 0,75 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Remy Febras,Côtes du Rhône,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR AOP, Rotwein, trocken Rhône/Frankreich Je 0,75 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Whispering Angel,Château d'Esclans,"€ 17,99",Kein vorheriger Preis,"€ 23,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR AOC, Roséwein, trocken Provence/ Frankreich Je 0,75 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Blended Scotch Whisky 19 Jahre Oloroso Sherry Cask Finish,Glenalba,"€ 29,99",Kein vorheriger Preis,"€ 42,84 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,7 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Schleifen-/ Geschenkband-Set,Crelando,"€ 1,00",Kein vorheriger Preis,"€ 0,17 / Stk -",Details im Prospekt,Nein,10.11. - 15.11.,2025-11-10,2025-11-15
Wellness-Duschkopf,easy! MAXX,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt.,Nein,20.11. - 22.11.,2025-11-20,2025-11-22
Pommersche Leberwurst,Rügenwalder Mühle,"€ 1,49",Kein vorheriger Preis,"€ 11,92 / kg -",oder Teewurst Versch. Sorten. Je 125 g,Nein,14.11. - 15.11.,2025-11-14,2025-11-15
Geschenkfolie,Crelando,"€ 1,00",Kein vorheriger Preis,"€ 1,00 / Stk -",Details im Prospekt,Nein,10.11. - 15.11.,2025-11-10,2025-11-15
Bahnhof-Set,Lupilu,"€ 19,99",Kein vorheriger Preis,"€ 2,00 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Aqua Blue,WC-Ente,"€ 2,22",Kein vorheriger Preis,"€ 30,83 / kg -",4in1 Paradise Bay Je 72 g,Nein,10.11. - 15.11.,2025-11-10,2025-11-15
Hauchzarte Herzen,Milka,"€ 1,99",Kein vorheriger Preis,"€ 15,31 / kg -",I Love Milka Versch. Sorten. Je 130/110 g,Nein,10.11. - 15.11.,2025-11-10,2025-11-15
Duft-/ Stufenkerzen,Livarno Home,"€ 3,49",Kein vorheriger Preis,"€ 0,87 / Stk -",Details im Prospekt,Nein,10.11. - 15.11.,2025-11-10,2025-11-15
Original,Philadelphia,"€ 1,19",Kein vorheriger Preis,"€ 6,10 / kg -",Versch. Sorten. Je 195/175/150 g,Nein,20.11. - 22.11.,2025-11-20,2025-11-22
Performance Akku-Turbinenlaubbläser PPTLBA 40-Li C3,Parkside,"€ 59,99",Kein vorheriger Preis,"€ 59,99 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Parmigiano Reggiano,Deluxe,"€ 2,29",Kein vorheriger Preis,"€ 22,90 / kg -",Gehobelt. Je 100 g,Nein,10.11. - 15.11.,2025-11-10,2025-11-15
Bio Crème Fraîche,Milbona,"€ 1,09",Kein vorheriger Preis,"€ 7,27 / kg -",30 % Fett. Je 150 g,Nein,10.11. - 15.11.,2025-11-10,2025-11-15
Cognac VS,Claude Chatelier,"€ 24,99",Kein vorheriger Preis,"€ 35,70 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,7 l",Ja,17.11. - 22.11.,2025-11-17,2025-11-22
Maxi-Duftkerze,Livarno Home,"€ 1,79",Kein vorheriger Preis,"€ 1,79 / Stk -",Details im Prospekt,Nein,10.11. - 15.11.,2025-11-10,2025-11-15
Akku-Farbspritzpistole PFSA 20-Li B2,Parkside,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
