Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Champagne Cuvée Spéciale,Bollinger,"€ 51,99",Kein vorheriger Preis,"€ 69,32 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Champagner, brut Champagne/ Frankreich Je 0,75 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Adventskalender Scotch Whisky Klassik,Vita Dulcis,"€ 89,90",Kein vorheriger Preis,"€ 187,29 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 24x 0,02 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Pinotage,Barista,"€ 7,99",Kein vorheriger Preis,"€ 10,65 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Rotwein, trocken Western Cape/ Südafrika Je 0,75 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Cremant de Bourgogne,Bonot Pére & Fils,"€ 8,99",Kein vorheriger Preis,"€ 11,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR AOP, Schaumwein, brut/rosé, Schaumwein, brut Burgund/ Frankreich Je 0,...",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Barbera D’Asti Superiore,Keine Marke,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Rotwein, trocken Apulien/Italien Je 0,75 l DOCG",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Adventskalender,A.H. Riise,"€ 39,99",Kein vorheriger Preis,"€ 83,31 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 24x 0,02 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Blended Malt Scotch Whisky,Abrachan,"€ 14,99",Kein vorheriger Preis,"€ 21,41 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,7 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Lugana,Ca’del Lago,"€ 8,99",Kein vorheriger Preis,"€ 11,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR DOP, Weißwein, trocken Lugana/Italien Je 0,75l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Puglia Rosso,Selone,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR IGP, Rotwein, halbtrocken Apulien/Italien Je 0,75 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Adventskalender,Kleiner Feigling,"€ 21,99",Kein vorheriger Preis,"€ 45,81 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 24x 0,02 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Rosso Al Cioccolato,Scavi & Ray,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Prestigio, süß Italien Je 0,75 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Sanddorn Likör,Heiko Blume,"€ 6,66",Kein vorheriger Preis,"€ 13,32 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,5l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Baroko Rum,Don Papa,"€ 31,99",Kein vorheriger Preis,"€ 45,70 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Philippinen Je 0,7 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Blended Scotch Whisky 21 Jahre Port Cask Finish,Glenalba,"€ 49,99",Kein vorheriger Preis,"€ 71,41 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,7 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Sealander Rum,Plantation Rum,"€ 24,99",Kein vorheriger Preis,"€ 35,70 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Barbados-Mauritius-Fiji Islands Rum Je 0,7 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Sauvignon Blanc,Brancott Estate,"€ 8,99",Kein vorheriger Preis,"€ 11,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Weißwein, trocken Marlborough/ Neuseeland Je 0,75 l",Ja,12.10. - 25.10.,2025-10-12,2025-10-25
Chicken Nuggets XXL,Chef Select,"€ 4,29",Kein vorheriger Preis,"€ 6,60 / kg -",Versch. Sorten. Je 650/600 g Standardpackung: 500 g,Nein,30.10. - 01.11.,2025-10-30,2025-11-01
Feines Gebäck,Favorina,"€ 2,49",Kein vorheriger Preis,"€ 16,60 / kg -",Versch. Sorten. Je 150 g,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Damen Fleece­-Pyjama,Esmara,"€ 5,55",Kein vorheriger Preis,"€ 5,55 / Stk -",Details im Prospekt.,Nein,30.10. - 01.11.,2025-10-30,2025-11-01
Weinbrand,Chantré,"€ 5,79",Kein vorheriger Preis,"€ 8,27 / l -","oder Crème Sahnelikör 36/15 % vol. Je 0,7 l",Nein,24.10. - 25.10.,2025-10-24,2025-10-25
Samtvorhangset,Looks by Wolfgang Joop,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",HINWEIS: MIT LIDL PLUS APP 24.99 Details Im Prospekt.,Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Herren-Ski-Hose,Crivit,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",HINWEIS: MIT LIDL PLUS APP Mit Lidl Plus -33% Gültig von 23.10.–29.10 Details im Prospekt,Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Frottierware,Looks by Wolfgang Joop,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",Details Im Prospekt. Preis Variiert Je Nach Größe Und Variante․,Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Smoothie,Innocent,"€ 1,49",Kein vorheriger Preis,"€ 5,96 / l -","Versch. Sorten. Je 0,25 l zzgl. 0.25 Pfand",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Deko Schleifen,Livarno Home,"€ 1,29",Kein vorheriger Preis,"€ 0,65 / Stk -",Details im Prospekt,Nein,27.10. - 01.11.,2025-10-27,2025-11-01
Damen-Ski-Jacke,Crivit,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -","HINWEIS: MIT LIDL PLUS APP, Mit Lidl Plus -16% Gültig von 23.10.–29.10 Details im Prospekt Je Stück...",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
