Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Musselin-Bettwäsche,Livarno Home,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante․,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0001.jpg
Zanderfiletportionen,Deluxe,"€ 6,99",Kein vorheriger Preis,"€ 15,53 / kg -",Mit Haut. Je 500 g Abtropfgewicht: 450 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0002.jpg
Travel Mug Essential,emsa,"€ 16,99",Kein vorheriger Preis,"€ 16,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0003.jpg
Fondueteller,Mäser,"€ 21,99",Kein vorheriger Preis,"€ 3,66 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0004.jpg
Wassersprudler Gaia,Sodastream,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0005.jpg
Gläserset Roma 4er Set,Mäser,"€ 12,99",Kein vorheriger Preis,"€ 3,25 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0006.jpg
Messerhäcksler PEMH 2400 C4,Parkside,"€ 64,99",Kein vorheriger Preis,"€ 64,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0007.jpg
Punktschweißzange PPSZ 700 A1,Parkside,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0008.jpg
Hochdruckreiniger,Kärcher,"€ 89,99",Kein vorheriger Preis,"€ 89,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,
Mini Weihnachtsgebäck,Deluxe,"€ 3,79",Kein vorheriger Preis,"€ 14,04 / kg -",Versch. Sorten. Je 270/220 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,
Torte,Deluxe,"€ 4,49",Kein vorheriger Preis,"€ 8,98 / kg -",Versch. Sorten. Je 500 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0011.jpg
Dubai Style Pralinen,Deluxe,"€ 3,99",Kein vorheriger Preis,"€ 33,25 / kg -",Je 120 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0012.jpg
Selection Mandeln XXL Vegan,Alesto,"€ 5,49",Kein vorheriger Preis,"€ 10,98 / kg -",Naturbelassen. Je 500 g Standardpackung: 200 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0013.jpg
Kanal-Soundbar SB550,JBL,"€ 179,00",Kein vorheriger Preis,"€ 179,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0014.jpg
Mezquiriz Tempranillo Tinto Roble,Navarra,"€ 4,17",Kein vorheriger Preis,"€ 5,56 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, DO, Rotwein, trocken, 2022 Navarra/Spanien 0.75l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0015.jpg
SUP mit Doppelkammer-System Exotic,F2,"€ 149,00",Kein vorheriger Preis,"€ 149,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0016.jpg
Blended Malt Scotch Whisky 13 Jahre Double Cask Matured,Abrachan,"€ 24,99",Kein vorheriger Preis,"€ 35,70 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Je 0,7 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0017.jpg
Sekt,Rotkäppchen,"€ 2,88",Kein vorheriger Preis,"€ 3,84 / l -","Versch. Sorten. Je 0,75 l",Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0018.jpg
Akkustaubsauger Readyy'y BBHL22BLCK,Bosch,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,
Highland Single Malt Scotch Whisky Peated & Smokey 12 Jahre,Ben Bracken,"€ 29,99",Kein vorheriger Preis,"€ 42,84 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Je 0,7 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,
Saug- und Wischroboter,Ecovacs,"€ 349,00",Kein vorheriger Preis,"€ 349,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0021.jpg
Brandy de Jerez,Vega Cadur Solera,"€ 11,99",Kein vorheriger Preis,"€ 17,13 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Solera Reserva Je 0,7 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0022.jpg
Eis,Mövenpick,"€ 1,99",Kein vorheriger Preis,"€ 2,21 / l -",Versch. Sorten. Je 900/850/ 800 ml,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0023.jpg
Chardonnay,Bonot Pére & Fils,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Weißwein, trocken Frankreich Je 0,75 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0024.jpg
Kaffeemaschine,Russell Hobbs,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,
Obazda Original,Alpenhain,"€ 1,49",Kein vorheriger Preis,"€ 11,92 / kg -",Versch. Sorten. Je 125 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,
Wasserkocher,Russell Hobbs,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0027.jpg
Popcornmaschine,Russell Hobbs,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0028.jpg
Schokolade,Milka,"€ 3,29",Kein vorheriger Preis,"€ 10,97 / kg -",HINWEIS: MIT LIDL PLUS APP 2.99 Versch. Sorten. Je 300/ 276/270/250 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0029.jpg
Duplo Weihnachtsmann,Ferrero,"€ 2,99",Kein vorheriger Preis,"€ 39,87 / kg -",Je 75 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0030.jpg
Kinder Weihnachtsmann Milky Caramel,Ferrero,"€ 2,99",Kein vorheriger Preis,"€ 27,18 / kg -",Je 110 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0031.jpg
Saug- und Wischroboter,Ecovacs,"€ 149,00",Kein vorheriger Preis,"€ 149,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0032.jpg
Dampfbügelstation PSG2000/80,Philips,"€ 64,99",Kein vorheriger Preis,"€ 64,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,
Venen-Massagegerät SFM 90,Sanitas,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,
Kopfkissen,Dunlopillo,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0035.jpg
Autokindersitz Nova 360° Rotation,BabyGo,"€ 129,00",Kein vorheriger Preis,"€ 129,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0036.jpg
3-Kammer-Feder-Kopfkissen,Fjödur,"€ 34,99",Kein vorheriger Preis,"€ 34,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0037.jpg
Pinot Grigio Delle Venezie Rose,Guerrieri Rizzardi,"€ 24,99",Kein vorheriger Preis,"€ 5,55 / l -","HINWEIS: NUR ONLINE VERFÜGBAR DOC, Roséwein, trocken Venetien/Italien Je 6x 0,75 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0038.jpg
Pasta,Deluxe,"€ 1,99",Kein vorheriger Preis,"€ 3,98 / kg -",Versch. Sorten. Je 500 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,
Mini Mozzarella XXL,Milbona,"€ 1,29",Kein vorheriger Preis,"€ 6,45 / kg -",Je 300 g Abtropfgewicht: 200 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,
