Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Bio-Räucherlachs,Nautica,"€ 3,99",Kein vorheriger Preis,"€ 39,90 / kg -",Je 100 g,Nein,29.11. - 06.12.,2025-11-29,2025-12-06,images_marktguru/marktguru_0001.jpg
Blended Scotch Whisky Sherry Cask Finish 20 Jahre,Glenalba,"€ 44,99",Kein vorheriger Preis,"€ 64,27 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,7 l",Ja,23.11. - 06.12.,2025-11-23,2025-12-06,images_marktguru/marktguru_0002.jpg
Norwegischer Räucherlachs,Nautica,"€ 4,29",Kein vorheriger Preis,"€ 21,45 / kg -",Trockengesalzen. Je 200 g,Nein,29.11. - 06.12.,2025-11-29,2025-12-06,images_marktguru/marktguru_0003.jpg
Lachsforelle,Nautica,"€ 2,49",Kein vorheriger Preis,"€ 24,90 / kg -",Je 100 g,Nein,29.11. - 06.12.,2025-11-29,2025-12-06,images_marktguru/marktguru_0004.jpg
Edel-Lachs,Ocean Sea,"€ 9,49",Kein vorheriger Preis,"€ 25,31 / kg -",Ohne Haut. Je 3x 125 g,Nein,29.11. - 06.12.,2025-11-29,2025-12-06,images_marktguru/marktguru_0005.jpg
Ganzes Lachsfilet,Fischerstolz,"€ 17,99",Kein vorheriger Preis,"€ 17,99 / kg -",Mit Haut. Ca. 1 kg kg-Preis,Nein,29.11. - 06.12.,2025-11-29,2025-12-06,images_marktguru/marktguru_0006.jpg
Blended Scotch Whisky 32 Jahre Sherry Cask Finish,Glenalba,"€ 69,99",Kein vorheriger Preis,"€ 99,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,7 l",Ja,23.11. - 06.12.,2025-11-23,2025-12-06,images_marktguru/marktguru_0007.jpg
Highland Single Malt Scotch Whisky 12 Jahre,Aberfeldy,"€ 29,99",Kein vorheriger Preis,"€ 42,84 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,7 l",Ja,23.11. - 06.12.,2025-11-23,2025-12-06,images_marktguru/marktguru_0008.jpg
Dos Maderas 5+5 Old Px Rum,Williams & Humbert,"€ 29,99",Kein vorheriger Preis,"€ 42,84 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,7 l",Ja,23.11. - 06.12.,2025-11-23,2025-12-06,
Lachsspitzen,Ocean Sea,"€ 9,49",Kein vorheriger Preis,"€ 20,86 / kg -",ASC ohne Haut Je 455 g,Nein,29.11. - 06.12.,2025-11-29,2025-12-06,
Original Sanddorn-Likör,Andalö,"€ 9,99",Kein vorheriger Preis,"€ 14,27 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,7 l",Ja,30.11. - 13.12.,2025-11-30,2025-12-13,
Stremel-Lachs,Nautica,"€ 3,29",Kein vorheriger Preis,"€ 26,32 / kg -",Versch. Sorten. Je 125 g,Nein,29.11. - 06.12.,2025-11-29,2025-12-06,
