Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Paprika Mix,Keine Marke,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / kg -",Ursprung: Spanien/ Niederlande Klasse I Je 1 kg,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Tragbarer DVD-Player SPDP 18 A1,SilverCrest,"€ 54,99",Kein vorheriger Preis,"€ 54,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,13.10. - 18.10.,2025-10-13,2025-10-18
Kombi-Puppenwagen Grande Megaset,Bayer Puppen,"€ 59,99",Kein vorheriger Preis,"€ 59,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,13.10. - 18.10.,2025-10-13,2025-10-18
Zweisprachiger Laptop,Lexibook,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,13.10. - 18.10.,2025-10-13,2025-10-18
Original Irish Cream Likör,Baileys,"€ 8,88",Kein vorheriger Preis,"€ 12,69 / l -","HINWEIS: MIT LIDL PLUS APP 17 % vol; Je 0,7 l;",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Nitril Einweghandschuhe,W5,"€ 4,99",Kein vorheriger Preis,"€ 0,05 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Air Duftspray,W5,"€ 1,79",Kein vorheriger Preis,"€ 5,97 / l -",Versch. Sorten. Je 300 ml,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Hirtenkäse,Milbona,"€ 2,19",Kein vorheriger Preis,"€ 10,95 / kg -",Bioland Je 200 g,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Schoko-Donut,Lidl Backshop,"€ 1,18",Kein vorheriger Preis,"€ 0,39 / Stk -",HINWEIS: MIT LIDL PLUS APP Je 3 Stück,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Amarone della Valpolicella Classico,Keine Marke,"€ 19,99",Kein vorheriger Preis,"€ 26,65 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Rotwein, trocken Venetien/Italien Je 0,75 l;",Ja,05.10. - 18.10.,2025-10-05,2025-10-18
XO Brandy de Jerez Solera Gran Reserva,Majestat,"€ 14,99",Kein vorheriger Preis,"€ 21,41 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Je 0,7 l",Ja,05.10. - 18.10.,2025-10-05,2025-10-18
Pastis,Lidanis,"€ 11,99",Kein vorheriger Preis,"€ 11,99 / l -",HINWEIS: NUR ONLINE VERFÜGBAR Frankreich Je 1 l,Ja,05.10. - 18.10.,2025-10-05,2025-10-18
Performance Akku-Multitool PPMFWA 12 A,Parkside,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,13.10. - 18.10.,2025-10-13,2025-10-18
Performance Akku-Winkelschleifer PPWSA 12 A1,Parkside,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,13.10. - 18.10.,2025-10-13,2025-10-18
XXL Rinderhackfleisch,Metzgerfrisch,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / kg -",Je 1 kg,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Puten-Hacksteaks,Metzgerfrisch,"€ 2,22",Kein vorheriger Preis,"€ 6,94 / kg -",HINWEIS: MIT LIDL PLUS APP Mariniert. Je 320 g Normalpreis: 3.29,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Zanetti Caffe Crema,Segafredo,"€ 13,99",Kein vorheriger Preis,"€ 13,99 / kg -",Versch. Sorten. Je 1 kg,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Express Reis,Ben's Original,"€ 1,59",Kein vorheriger Preis,"€ 7,23 / kg -",Versch. Sorten. Je 220 g,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Kinder Kinderini,Ferrero,"€ 2,99",Kein vorheriger Preis,"€ 11,96 / kg -",Je 250 g,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Fruchtgummi,Haribo,"€ 0,89",Kein vorheriger Preis,"€ 5,56 / kg -",Versch. Sorten. Je 160/175 g,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Desinfektion Wäsche-Hygienespüler,Sagrotan,"€ 5,99",Kein vorheriger Preis,"€ 2,00 / l -",Versch. Sorten. Je 3 l,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Anti-Schuppen-Shampoo,Head & Shoulders,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / l -",Versch. Sorten. Je 1 l,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Eisenbahn-Set Baustelle 59-tlg.,Lupilu,"€ 29,99",Kein vorheriger Preis,"€ 0,51 / Stk -",HINWEIS: MIT LIDL PLUS APP 24.99€ Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Bio Traditions-Kochschinken,Metzgerfrisch,"€ 2,89",Kein vorheriger Preis,"€ 28,90 / kg -",Traditions-Kassler Je 100 g,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Lyoner,Dulano,"€ 0,79",Kein vorheriger Preis,"€ 3,95 / kg -",HINWEIS: MIT LIDL PLUS APP Je 200 g Normalpreis: 0.99,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Salat Multicolor,Keine Marke,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -",Ursprung: Deutschland/ Belgien/ Niederlande Mit Wurzeln. Je Stück,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Delikatess Edelsalami,Dulano,"€ 1,39",Kein vorheriger Preis,"€ 9,27 / kg -",HINWEIS: MIT LIDL PLUS APP Je 150 g Normalpreis: 1.69,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
LED-Solarleuchten,Livarno Home,"€ 9,99",Kein vorheriger Preis,"€ 3,33 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Vegane Snack Alternative,Vemondo,"€ 1,89",Kein vorheriger Preis,"€ 10,50 / kg -",HINWEIS: MIT LIDL PLUS APP Versch. Sorten. Je 180 g Normalpreis: 2.22,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Spaltaxt,Fiskars,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Schokolade,m&m's,"€ 1,69",Kein vorheriger Preis,"€ 11,27 / kg -",HINWEIS: MIT LIDL PLUS APP Versch. Sorten. Je 150/128 g Normalpreis: 2.89,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Celebrations,Mars,"€ 2,99",Kein vorheriger Preis,"€ 16,08 / kg -",HINWEIS: MIT LIDL PLUS APP Je 186 g Normalpreis: 4.49,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Kinder Schoko-Bons,Ferrero,"€ 4,99",Kein vorheriger Preis,"€ 14,26 / kg -",Je 350 g,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Selection Walnusskerne Vegan,Alesto,"€ 1,99",Kein vorheriger Preis,"€ 9,95 / kg -",Naturbelassen. Je 200 g,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Holz-Ketten-Akkuschrauber,Lupilu,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Bio-Brühe,Kania,"€ 1,39",Kein vorheriger Preis,"€ 9,93 / kg -",Versch. Sorten. Je 140 g Ergibt 7 Liter,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Pflanzenschutz-Vlieshauben,Parkside,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Fernge­steuerter Zug 4-tlg.,Lupilu,"€ 12,99",Kein vorheriger Preis,"€ 3,25 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Gartenabfallsack,Parkside,"€ 7,49",Kein vorheriger Preis,"€ 7,49 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Selection Geflügel Variation,Sheba,"€ 15,99",Kein vorheriger Preis,"€ 4,70 / kg -",Alleinfuttermittel für aus gewachsene Katzen. Versch. Sorten in der Packung Je 40x 85 g,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Airfryer Snack,Original Wagner,"€ 3,49",Kein vorheriger Preis,"€ 8,95 / kg -",Versch. Sorten. Je 390 g,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Nescafé Classic,Nestlé,"€ 6,49",Kein vorheriger Preis,"€ 32,45 / kg -",HINWEIS: MIT LIDL PLUS APP Versch. Sorten. Je 200 g Normalpreis: 8.99,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Konvektor TKM 2000 B3,Tronic,"€ 18,99",Kein vorheriger Preis,"€ 18,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Kitchen Tools Mikrowelle,SilverCrest,"€ 119,00",Kein vorheriger Preis,"€ 119,00 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,13.10. - 18.10.,2025-10-13,2025-10-18
Kitchen Tools Heißluftfritteuse SHFG 2460 A1,SilverCrest,"€ 69,99",Kein vorheriger Preis,"€ 69,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,13.10. - 18.10.,2025-10-13,2025-10-18
Kitchen Tools Digitaler Reiskocher,SilverCrest,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR. HINWEIS: MIT LIDL PLUS APP Details im Prospekt,Ja,13.10. - 18.10.,2025-10-13,2025-10-18
