Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Kærgården,Arla,"2,39 €",,"UVP
2,99 €",,Nein,,,,images_lidl/lidl_offer_001.jpg
Polster- und Teppichreiniger,Cleanmaxx,"49,99 €",,"UVP
179,99 €",,Nein,,,,images_lidl/lidl_offer_002.jpg
Energy Drink,Red Bull,"0,85 €",,"UVP
1,49 €",,Nein,,,,images_lidl/lidl_offer_003.jpg
Arbeitsbundhose,Parkside,"9,99 €",,"14,99 €",,Nein,,,,images_lidl/lidl_offer_004.jpg
Coca-Cola/Fanta/Mezzo Mix/Sprite,Coca Cola,"0,99 €",,"UVP
1,59 €",,Nein,,,,images_lidl/lidl_offer_005.jpg
Brokkoli,Brokkoli,"0,99 €",,"1,29 €",,Nein,,,,images_lidl/lidl_offer_006.jpg
Rote Äpfel,Rote Äpfel,"1,99 €",,"3,29 €",,Nein,,,,images_lidl/lidl_offer_007.jpg
Brokkoli,Brokkoli,"0,99 €",,"1,29 €",,Nein,,,,images_lidl/lidl_offer_008.jpg
Mini-Spathiphyllum,Mini-Spathiphyllum,"2,99 €",,,,Nein,,,,images_lidl/lidl_offer_009.jpg
Primeln/Frühlingsblüher im 10er-Tray,Primeln/Frühlingsblüher im 10er-Tray,"1,99 €",,,,Nein,,,,images_lidl/lidl_offer_010.jpg
Mandarinen mit Blatt,Mandarinen mit Blatt,"1,99 €",,1 kg = 2.65,,Nein,,,,images_lidl/lidl_offer_011.jpg
Große Grünpflanze,Große Grünpflanze,"14,99 €",,,,Nein,,,,images_lidl/lidl_offer_012.jpg
Bio Feldsalat,Bio Feldsalat,"1,11 €",,1 kg = 11.10,,Nein,,,,images_lidl/lidl_offer_013.jpg
Kamelie,Kamelie,"11,99 €",,,,Nein,,,,images_lidl/lidl_offer_014.jpg
Deutsche Speisekartoffeln,Bioland,"1,89 €",,1 kg = 0.95,,Nein,,,,images_lidl/lidl_offer_015.jpg
"Fenchel, lose","Fenchel, lose","1,99 €",,,,Nein,,,,images_lidl/lidl_offer_016.jpg
"Dunkle, kernlose Trauben","Dunkle, kernlose Trauben","1,69 €",,1 kg = 3.38,,Nein,,,,images_lidl/lidl_offer_017.jpg
Birnen,Birnen,"1,99 €",,"2,49 €",,Nein,,,,images_lidl/lidl_offer_018.jpg
Küchenmaschine,Silvercrest,"119,00 € *",,,,Nein,,,,images_lidl/lidl_offer_019.jpg
Kaffeevollautomat,Krups,"339,00 €",,"UVP
1.049,99 €",,Nein,,,,images_lidl/lidl_offer_020.jpg
Geschirrset,Silvercrest,"49,99 €",,"59,99 €",,Nein,,,,images_lidl/lidl_offer_021.jpg
Mikrowelle,Silvercrest,"39,99 €",,"59,99 €",,Nein,,,,images_lidl/lidl_offer_022.jpg
Fensterputzroboter,Silvercrest,"89,99 €",,"129,00 €",,Nein,,,,images_lidl/lidl_offer_023.jpg
Akku-Staubsauger,Bosch,"109,00 €",,"UVP
269,99 €",,Nein,,,,images_lidl/lidl_offer_024.jpg
Saug- und Wischroboter,Roborock,"329,00 € *",,"UVP
899,99 €",,Nein,,,,images_lidl/lidl_offer_025.jpg
Bügelsystem Modell „Go“,Laurastar,"599,00 €",,"UVP
899,00 €",,Nein,,,,images_lidl/lidl_offer_026.jpg
"Akku-Polster- und Teppichreinigungsgerät, 20 V",Silvercrest,"89,99 € *",,"119,00 €",,Nein,,,,images_lidl/lidl_offer_027.jpg
Elektro-Kettenschärfgerät,Parkside,"24,99 €",,,,Nein,,,,images_lidl/lidl_offer_028.jpg
Benzin-Rasenmäher,Parkside,"199,00 €",,,,Nein,,,,images_lidl/lidl_offer_029.jpg
Benzin-Baumpflegesäge,Parkside,"79,99 €",,,,Nein,,,,images_lidl/lidl_offer_030.jpg
Benzin-Gartenkultivator,Parkside,"249,00 €",,,,Nein,,,,images_lidl/lidl_offer_031.jpg
Elektro-Axial-Laubbläser,Parkside,"59,99 €",,,,Nein,,,,images_lidl/lidl_offer_032.jpg
Elektro-Kettensäge,Parkside,"69,99 €",,,,Nein,,,,images_lidl/lidl_offer_033.jpg
Holzeisenbahn-Box-Set,Lupilu,"24,99 €",,"34,99 €",,Nein,,,,images_lidl/lidl_offer_034.jpg
Dreirad,Smoby,"79,99 €",,"UVP
169,90 €",,Nein,,,,images_lidl/lidl_offer_035.jpg
