Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Wolfsbarschfilet,Deluxe,"€ 2,79",,"6,49 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_001.jpg,"cat_fisch_meeresfruechte,tag_high_protein,tag_proteinreich",,ref_000001,,
Premium Baby-Strampler,lupilu,"€ 9,99",,"19,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_002.jpg,cat_non_food,,ref_000002,obs_0000011041,
KitKat Holfiguren,Nestl,"€ 1,79",,"UVP
3,49 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_003.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000003,obs_0000026892|obs_0000015643|obs_0000015349,
Holz-Outdoor-Küche,Lupilu,"€ 19,99",,"39,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_004.jpg,cat_non_food,,ref_000004,obs_0000018738|obs_0000021575|obs_0000019557|obs_0000020257|obs_0000018224|obs_0000007432,
Deluxe Macarons,Deluxe Macarons,"€ 2,99",,"3,49 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_005.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000005,obs_0000015617|obs_0000022531|obs_0000017826|obs_0000020003|obs_0000014762|obs_0000022955|obs_0000024126|obs_0000001094|obs_0000023757|obs_0000019184,
Traumreise Gewinnspiel,Lidl Plus,,,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_006.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000006,,
Bio Brokkoli,Bio Brokkoli,"€ 1,29",,1 kg = 3.23,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000007,obs_0000022631|obs_0000031390|obs_0000031647|obs_0000031988|obs_0000000502|obs_0000025326|obs_0000018299|obs_0000020428|obs_0000005304,obs_0000022631|obs_0000031390|obs_0000031647
Schalotten,Schalotten,"€ 0,99",,"1,49 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_008.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",BLS-G485100,ref_000008,obs_0000015902|obs_0000023430,obs_0000015902|obs_0000023430
Rote Birnen lose,Rote Birnen lose,"€ 2,29",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_009.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000009,obs_0000026120|obs_0000025761|obs_0000016045|obs_0000022211|obs_0000019142|obs_0000023767|obs_0000016635|obs_0000016675|obs_0000024363|obs_0000015263|obs_0000019961,
Ballhortensie,Ballhortensie,"€ 4,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_010.jpg,cat_non_food,,ref_000010,,
