Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,reference_row_id.1,rough_match_observation_ids.1,exact_match_observation_ids.1
Deluxe Irisches Angus Rinderfiletsteak,Deluxe Irisches Angus Rinderfiletsteak,"€ 10,99",,"1 kg = 54,95",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_001.jpg,"cat_fleisch_wurst,sub_rind,tag_high_protein,tag_proteinreich",,ref_000001,,,ref_000001,,
Deluxe Irisches Angus Rumpsteak,Deluxe Irisches Angus Rumpsteak,"€ 8,99",,"1 kg = 35,96",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_002.jpg,"cat_fleisch_wurst,tag_high_protein",,ref_000002,obs_0000013377|obs_0000011846|obs_0000008954|obs_0000017205|obs_0000002421|obs_0000016316|obs_0000000508,,ref_000002,obs_0000013377|obs_0000011846|obs_0000008954|obs_0000017205|obs_0000002421|obs_0000016316|obs_0000000508,
Irisches Angus Hüftsteak,Deluxe,"€ 4,99",,"1 kg = 24,95",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_003.jpg,"cat_fleisch_wurst,sub_rind,tag_high_protein",,ref_000003,obs_0000008440|obs_0000010998|obs_0000009267|obs_0000014036|obs_0000001879,,ref_000003,obs_0000008440|obs_0000010998|obs_0000009267|obs_0000014036|obs_0000001879,
Deluxe Irisches Angus Rib Eye Steak,Deluxe Irisches Angus Rib Eye Steak,"€ 9,99",,"1 kg = 39,96",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_004.jpg,"cat_fleisch_wurst,tag_high_protein",,ref_000004,obs_0000033945,,ref_000004,obs_0000033945,
Deutsche rote Äpfel,Deutsche rote Äpfel,"€ 2,25",,"1 kg = 0,75",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_005.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000005,obs_0000022521|obs_0000021066|obs_0000017162|obs_0000020247|obs_0000023327|obs_0000018328|obs_0000002562|obs_0000016900|obs_0000003115|obs_0000001075|obs_0000026677|obs_0000027192|obs_0000027723|obs_0000026234|obs_0000033931|obs_0000027801|obs_0000022211|obs_0000018124|obs_0000034535|obs_0000021770|obs_0000027442|obs_0000016710|obs_0000027995|obs_0000002961|obs_0000024988,obs_0000022521,ref_000005,obs_0000022521|obs_0000021066|obs_0000017162|obs_0000020247|obs_0000023327|obs_0000018328|obs_0000002562|obs_0000016900|obs_0000003115|obs_0000001075|obs_0000026677|obs_0000027192|obs_0000027723|obs_0000026234|obs_0000033931|obs_0000027801|obs_0000022211|obs_0000018124|obs_0000034535|obs_0000021770|obs_0000027442|obs_0000016710|obs_0000027995|obs_0000002961|obs_0000024988,obs_0000022521
Rucola,Rucola,"€ 0,75",,"pro Einheit = 0,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_006.jpg,"cat_getraenke,tag_ultra_processed",BLS-G130100,ref_000006,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874|obs_0000033923|obs_0000029203|obs_0000029500|obs_0000032072|obs_0000028749|obs_0000034818|obs_0000015263|obs_0000013257|obs_0000012651|obs_0000031503|obs_0000005712|obs_0000029021|obs_0000005890|obs_0000005895|obs_0000005708,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874,ref_000006,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874|obs_0000033923|obs_0000029203|obs_0000029500|obs_0000032072|obs_0000028749|obs_0000034818|obs_0000015263|obs_0000013257|obs_0000012651|obs_0000031503|obs_0000005712|obs_0000029021|obs_0000005890|obs_0000005895|obs_0000005708,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874
Beerenstrauch,Beerenstrauch,"€ 3,99",,"pro Einheit = 3,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_007.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000007,,,ref_000007,,
Dipladenia Pyramide,Dipladenia Pyramide,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_008.jpg,"cat_non_food,tag_ultra_processed",,ref_000008,obs_0000001593,obs_0000001593,ref_000008,obs_0000001593,obs_0000001593
Winterharte Palme,Winterharte Palme,"€ 14,99",,"pro Einheit = 14,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_009.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,ref_000009,,,ref_000009,,
Cherrystrauchtomaten lose,Cherrystrauchtomaten lose,"€ 1,11",,"pro Einheit = 1,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_lidl/lidl_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000010,obs_0000019545|obs_0000025197|obs_0000018714|obs_0000024533|obs_0000019963,,ref_000010,obs_0000019545|obs_0000025197|obs_0000018714|obs_0000024533|obs_0000019963,
