Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Actimel XXL,Danone,"€ 2,95",,"1 kg = 2,46","1 kg = 2,46",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_001.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed",,,ref_000001,obs_0000022902|obs_0000016818|obs_0000021034|obs_0000023730|obs_0000021892|obs_0000019926|obs_0000026131|obs_0000024156|obs_0000020215|obs_0000024677|obs_0000009382|obs_0000015654|obs_0000011880|obs_0000009842|obs_0000012310|obs_0000010619|obs_0000027587|obs_0000033983|obs_0000012763|obs_0000013967,obs_0000022902|obs_0000016818|obs_0000021034|obs_0000023730|obs_0000021892|obs_0000019926|obs_0000026131|obs_0000024156|obs_0000020215,,
Akku-Bohrschrauber 20 V,Parkside,"€ 24,99",,"pro Einheit = 24,99","pro Einheit = 24,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_002.jpg,cat_non_food,,,ref_000002,obs_0000023433|obs_0000022198|obs_0000018154|obs_0000023059|obs_0000020641|obs_0000022741|obs_0000024831|obs_0000024842|obs_0000023061|obs_0000023319|obs_0000023425|obs_0000023426|obs_0000023427|obs_0000023430|obs_0000023431|obs_0000023437|obs_0000023439|obs_0000019366|obs_0000021460|obs_0000021816|obs_0000024805|obs_0000000133|obs_0000000184|obs_0000013500|obs_0000022935|obs_0000023058,obs_0000023319|obs_0000023433|obs_0000023431|obs_0000022198|obs_0000018154,,x
Walnusskerne,Alesto,"€ 0,66",,"pro Einheit = 1,39","pro Einheit = 1,39",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_003.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000003,obs_0000000904|obs_0000027281|obs_0000014358|obs_0000026546|obs_0000010176|obs_0000009666|obs_0000026184|obs_0000026065|obs_0000006488|obs_0000001756|obs_0000014590|obs_0000018582|obs_0000018856|obs_0000022960|obs_0000017333|obs_0000023734|obs_0000022073|obs_0000024161|obs_0000024682|obs_0000025839|obs_0000020482|obs_0000018330|obs_0000021301|obs_0000021702|obs_0000011948|obs_0000029624|obs_0000018578|obs_0000003620|obs_0000032166|obs_0000030671,obs_0000000904|obs_0000027281|obs_0000014358|obs_0000026546|obs_0000010176|obs_0000009666|obs_0000026184|obs_0000026065|obs_0000006488|obs_0000001756|obs_0000014590,,
Multizerkleinerer,SILVERCREST,"€ 9,99",,"pro Einheit = 16,99","pro Einheit = 16,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_004.jpg,cat_non_food,,,ref_000004,obs_0000018144|obs_0000013792|obs_0000020538|obs_0000021357|obs_0000021942|obs_0000016904|obs_0000017778|obs_0000010459|obs_0000010879|obs_0000012502,obs_0000018144,,
Regionale Woche,Regionale Woche,"€ 1,69",,"pro Einheit = 1,69","pro Einheit = 1,69",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_005.jpg,"cat_obst_gemuese,diet_vegan,tag_whole_food",,,ref_000005,,,,
Küchenzeile,MENKE,"€ 949,00",,"pro Einheit = 0,00","pro Einheit = 0,00",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_006.jpg,cat_non_food,,,ref_000006,obs_0000027735,,,
Küchenzeile,MENKE,"€ 949,00",,"pro Einheit = 0,00","pro Einheit = 0,00",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_007.jpg,cat_non_food,,,ref_000007,obs_0000027735,,,
Sofa mit Ottomane,Juskys,"€ 799,00",,"pro Einheit = 0,00","pro Einheit = 0,00",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_008.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000008,obs_0000022931,,,
Esstisch,HOME DELUXE,"€ 119,00",,"pro Einheit = 229,00","pro Einheit = 229,00",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_009.jpg,cat_fisch_meeresfruechte,,,ref_000009,,,,
Lernturm,Roba,"€ 54,99",,"pro Einheit = 54,99","pro Einheit = 54,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_010.jpg,cat_non_food,,,ref_000010,,,,
Sitzkissen für Hochstuhl,Safety 1st,"€ 14,99",,"pro Einheit = 24,99","pro Einheit = 24,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_011.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,,ref_000011,obs_0000022669|obs_0000000019|obs_0000003736,,,
Hochstuhl Modell Toto,Safety 1st,"€ 59,99",,"pro Einheit = 79,99","pro Einheit = 79,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_012.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,,ref_000012,,,,
Autokindersitz,Bebeconfort,"€ 129,00",,"pro Einheit = 179,99","pro Einheit = 179,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_013.jpg,"cat_non_food,tag_ultra_processed",,,ref_000013,obs_0000022555|obs_0000018705|obs_0000017535,obs_0000022555,,
Autokindersitz,Safety 1st,"€ 79,99",,"pro Einheit = 149,99","pro Einheit = 149,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_014.jpg,"cat_non_food,tag_ultra_processed",,,ref_000014,obs_0000022555|obs_0000018705|obs_0000017535,obs_0000022555,,
Satin-Bettwäsche,LIVARNO,"€ 29,99",,"pro Einheit = 29,99","pro Einheit = 29,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_015.jpg,cat_non_food,,,ref_000015,obs_0000001981|obs_0000024310|obs_0000023887|obs_0000023139|obs_0000022132|obs_0000019633|obs_0000024761|obs_0000018173|obs_0000010354|obs_0000026412,obs_0000001981,,
Satin-Spannbettlaken,LIVARNO,"€ 17,99",,"pro Einheit = 17,99","pro Einheit = 17,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_016.jpg,cat_non_food,,,ref_000016,,,,
Kopfkissen,LIVARNO,"€ 7,99",,"pro Einheit = 7,99","pro Einheit = 7,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_017.jpg,cat_non_food,,,ref_000017,obs_0000016993|obs_0000019600|obs_0000019660|obs_0000018704|obs_0000019831|obs_0000016257|obs_0000017332|obs_0000019431|obs_0000001131|obs_0000017664|obs_0000023338|obs_0000018826|obs_0000017468|obs_0000023141|obs_0000016492|obs_0000020126|obs_0000018115|obs_0000022728|obs_0000021720|obs_0000014094|obs_0000018706|obs_0000017298|obs_0000020945|obs_0000011302|obs_0000023471|obs_0000019432|obs_0000011279|obs_0000018003|obs_0000022284|obs_0000025212,obs_0000016993|obs_0000019600|obs_0000019660|obs_0000018704|obs_0000019831|obs_0000016257|obs_0000017332|obs_0000019431,,
Luftentfeuchter,SILVERCREST,"€ 109,00",,"pro Einheit = 109,00","pro Einheit = 109,00",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_018.jpg,cat_non_food,,,ref_000018,obs_0000012626|obs_0000015232|obs_0000023461|obs_0000011276|obs_0000027702|obs_0000010113|obs_0000012614|obs_0000015190|obs_0000011241|obs_0000001153|obs_0000019010,obs_0000012626|obs_0000015232|obs_0000023461|obs_0000011276|obs_0000027702|obs_0000010113,,
Duoplast WC Sitz,WENKO,"€ 19,99",,"pro Einheit = 34,99","pro Einheit = 34,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_019.jpg,cat_non_food,,,ref_000019,obs_0000023446|obs_0000025224|obs_0000013954|obs_0000017440|obs_0000025898|obs_0000016991|obs_0000021505|obs_0000025638|obs_0000020686,obs_0000021505|obs_0000023446|obs_0000025638|obs_0000020686,,
Bademantel,Sansibar,"€ 29,99",,"pro Einheit = 34,99","pro Einheit = 34,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_020.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,,ref_000020,obs_0000025619|obs_0000021143|obs_0000013518|obs_0000018184|obs_0000017190|obs_0000018214|obs_0000020324|obs_0000001383|obs_0000023453|obs_0000022463|obs_0000016847|obs_0000018965|obs_0000010252|obs_0000016061|obs_0000025916|obs_0000012164|obs_0000004716|obs_0000003774|obs_0000004289|obs_0000000237|obs_0000003862|obs_0000012165|obs_0000029753|obs_0000027300,obs_0000025619|obs_0000021143|obs_0000013518|obs_0000018184|obs_0000017190|obs_0000018214|obs_0000020324|obs_0000001383|obs_0000023453|obs_0000022463|obs_0000016847,,
Teleskop-Badregal,LIVARNO home,"€ 9,99",,"pro Einheit = 19,99","pro Einheit = 19,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_021.jpg,cat_non_food,,,ref_000021,obs_0000023456|obs_0000013926,obs_0000023456,,
Haartrockner,Sansibar,"€ 59,99",,"pro Einheit = 67,99","pro Einheit = 67,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_022.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000022,obs_0000002143|obs_0000025887|obs_0000023460|obs_0000004611|obs_0000004184|obs_0000027272|obs_0000003764|obs_0000005038|obs_0000000450|obs_0000019388|obs_0000011804|obs_0000017523|obs_0000015140|obs_0000018805,obs_0000002143|obs_0000025887|obs_0000023460,,
Handtuch,LIVARNO,"€ 3,99",,"pro Einheit = 5,99","pro Einheit = 5,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_023.jpg,cat_non_food,,,ref_000023,obs_0000023137|obs_0000030070,obs_0000023137,,
Erdbeeren,Erdbeeren,"€ 1,49",,"1 kg = 2,98","1 kg = 2,98",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_024.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F301100,ref_000024,obs_0000022919|obs_0000024529|obs_0000000875|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000006265|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512,,
Salat-Mix,Salat-Mix,"€ 0,77",,"1 kg = 6,16","1 kg = 6,16",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_025.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,sub_wurst,tag_ultra_processed,tag_whole_food",,BLS-W149300,ref_000025,obs_0000024700|obs_0000025985,,,
Zucchini lose,Zucchini lose,"€ 1,79",,"pro Einheit = 1,79","pro Einheit = 1,79",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_026.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,BLS-G582100,ref_000026,obs_0000018752|obs_0000021829|obs_0000016265|obs_0000007131,,,
Rote Äpfel,Rote Äpfel,"€ 1,99",,"pro Einheit = 3,29","pro Einheit = 3,29",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_027.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000027,obs_0000023327|obs_0000021066|obs_0000017162|obs_0000020247|obs_0000018328|obs_0000022521|obs_0000002562|obs_0000016900|obs_0000003115|obs_0000001075|obs_0000026677|obs_0000027192|obs_0000027723|obs_0000026234|obs_0000033931|obs_0000027801|obs_0000022211|obs_0000018124|obs_0000034535|obs_0000021770|obs_0000027442|obs_0000016710|obs_0000027995|obs_0000002961|obs_0000024988,obs_0000021066|obs_0000017162|obs_0000020247|obs_0000023327|obs_0000018328,,
Bananen lose,Bananen lose,"€ 0,99",,"pro Einheit = 0,99","pro Einheit = 0,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/lidl/lidl_offer_028.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000028,obs_0000023689|obs_0000022914|obs_0000027736|obs_0000028769|obs_0000031875|obs_0000010969|obs_0000026329|obs_0000031472|obs_0000032060|obs_0000009078|obs_0000026492|obs_0000027051|obs_0000032185|obs_0000029136|obs_0000031729|obs_0000014883|obs_0000011819,obs_0000023689|obs_0000022914,,
