Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Highland Single Grain Scotch Whisky 12 Jahre,The Targe,"€ 19,99",Kein vorheriger Preis,"€ 28,56 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Primitivo di Manduria,Poggio Marù,"€ 8,99",Kein vorheriger Preis,"€ 11,99 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Liquore Crema Pistacchio,Keine Marke,"€ 6,99",Kein vorheriger Preis,"€ 13,98 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Süßrahmbutter,Milbona,"€ 1,49",Kein vorheriger Preis,"€ 5,96 / kg -",26.09. - 04.10.,2025-09-26,2025-10-04
Deutsche Markenbutter,Ein Gutes Stück Bayern,"€ 1,89",Kein vorheriger Preis,"€ 7,56 / kg -",26.09. - 04.10.,2025-09-26,2025-10-04
Single Malt Scotch Whisky,Loch Lomond,"€ 17,99",Kein vorheriger Preis,"€ 25,70 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Rosato,Cà Dei Frati,"€ 12,49",Kein vorheriger Preis,"€ 16,65 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Deutsche Markenbutter,Milbona,"€ 1,49",Kein vorheriger Preis,"€ 5,96 / kg -",26.09. - 04.10.,2025-09-26,2025-10-04
Weidebutter,Milbona,"€ 1,99",Kein vorheriger Preis,"€ 7,96 / kg -",26.09. - 04.10.,2025-09-26,2025-10-04
Sauvignon Blanc Weißburgunder,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 6,65 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Lugana,Ca’del Lago,"€ 8,99",Kein vorheriger Preis,"€ 11,99 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Barbados Rum Grande Réserve,Plantation Rum,"€ 17,99",Kein vorheriger Preis,"€ 25,70 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
No Butter,Vemondo,"€ 1,49",Kein vorheriger Preis,"€ 5,96 / kg -",26.09. - 04.10.,2025-09-26,2025-10-04
Gold Echter Übersee Rum,James Cook,"€ 6,99",Kein vorheriger Preis,"€ 9,99 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Chianti Colli Senesi,Medici Riccardi,"€ 6,99",Kein vorheriger Preis,"€ 9,32 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Sødergården Gesalzen,Milbona,"€ 1,39",Kein vorheriger Preis,"€ 5,56 / kg -",26.09. - 04.10.,2025-09-26,2025-10-04
Ruby LʼApéro,Pampelle,"€ 15,99",Kein vorheriger Preis,"€ 22,84 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Blanc de Blancs,Bissinger,"€ 27,99",Kein vorheriger Preis,"€ 37,32 / l -",21.09. - 04.10.,2025-09-21,2025-10-04
Kinder Skihelm,Crivit,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Herren Slips 3er-Set,Livergy,"€ 4,99",Kein vorheriger Preis,"€ 1,66 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Gratinkäse Gerieben,Milbona,"€ 1,59",Kein vorheriger Preis,"€ 6,36 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Kinder Hausschuhe,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Hauchzart,Dulano,"€ 1,99",Kein vorheriger Preis,"€ 19,90 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Bio Hochland Kaffee Löslich,Fairglobe,"€ 4,45",Kein vorheriger Preis,"€ 44,50 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Puten Geschnetzeltes,Metzgerfrisch,"€ 5,99",Kein vorheriger Preis,"€ 7,49 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Pinky Donuts,Lidl Backshop,"€ 1,99",Kein vorheriger Preis,"€ 9,39 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Hähnchen-Rouladen,Metzgerfrisch,"€ 5,49",Kein vorheriger Preis,"€ 9,98 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Kinder-Ski- und Snowboardhelm,Crivit,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Crema d'Oro,Dallmayr,"€ 13,99",Kein vorheriger Preis,"€ 13,99 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Grobe Bratwurst XXL,Metzgerfrisch,"€ 5,49",Kein vorheriger Preis,"€ 5,49 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Speisequark,Milbona,"€ 1,29",Kein vorheriger Preis,"€ 2,58 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Teufels-Hähnchen,Metzgerfrisch,"€ 6,49",Kein vorheriger Preis,"€ 4,64 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Kinder Seamless-Funktionsunterwäsche 2 tlg.,Lupilu,"€ 9,99",Kein vorheriger Preis,"€ 5,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Steckschlüsselsatz,Parkside,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Weißkäse,Patros,"€ 1,99",Kein vorheriger Preis,"€ 11,06 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Schweine Schulter,Metzgerfrisch,"€ 5,49",Kein vorheriger Preis,"€ 5,49 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Muscat von Samos,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 6,65 / l -",01.10. - 04.10.,2025-10-01,2025-10-04
Taschentücher,Tempo,"€ 3,99",Kein vorheriger Preis,"€ 0,10 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Ersatzbezüge Ultramax,Vileda,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Blanc de Blancs,Henkell Sekt,"€ 3,99",Kein vorheriger Preis,"€ 5,32 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Hirschbraten,Deluxe,"€ 11,99",Kein vorheriger Preis,"€ 19,98 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kitchen Tools Digitaler Reiskocher,SilverCrest,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Mavrodaphne Patras,Keine Marke,"€ 4,49",Kein vorheriger Preis,"€ 5,99 / l -",01.10. - 04.10.,2025-10-01,2025-10-04
Crosstrainer Syros E,Horizon Fitness,"€ 199,00",Kein vorheriger Preis,"€ 199,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Kurzhantelset,Crivit,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Kleinkinder-Schneestiefel,Lupilu,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Saure Sahne,Milbona,"€ 0,69",Kein vorheriger Preis,"€ 3,45 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Men Flanell-Schlafhose,Esmara,"€ 6,29",Kein vorheriger Preis,"€ 6,29 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
