Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Original Irische Butter,Keine Marke,"€ 1,29",Kein vorheriger Preis,1 kg = 5.16/6.45,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_01.jpg
Caffè Ganze Bohnen Crema e Aroma,Keine Marke,"€ 11,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_02.jpg
"Staubsauger, kabelgebunden",Keine Marke,"€ 19,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_03.jpg
Nicki-Anzug,Keine Marke,"€ 14,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_04.jpg
Monsieur Cuisine compact,Keine Marke,"€ 199,00",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_05.jpg
Haltbare Milch,Keine Marke,"€ 0,88",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_08.jpg
Dampfgar-Aufsatz,Keine Marke,"€ 19,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_09.jpg
Coca-Cola Original Taste,Keine Marke,"€ 0,79",Kein vorheriger Preis,1 l = 0.63,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_10.jpg
Schalen- und Teller-Set,Keine Marke,"€ 49,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_11.jpg
Playtive Magnetuhr,Keine Marke,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_12.jpg
Funk-Wetterstation,Keine Marke,"€ 9,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_13.jpg
Steppmantel,Keine Marke,"€ 19,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_14.jpg
Popcorn-Maker,Keine Marke,"€ 24,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_lidl/lidl_offer_15.jpg
