Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Spinat,Iglo,"€ 2,00",Kein vorheriger Preis,"€ 2,67 / kg -","tiefgekühlt, versch. Sorten 500 – 750 g",Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Kommode Jakob,byLiving,"€ 129,99",Kein vorheriger Preis,"€ 129,99 / Stk -",Details im Prospekt.,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Die Ofenfrische Pizza,Dr. Oetker,"€ 2,22",Kein vorheriger Preis,"€ 5,10 / Stk -","HINWEIS: MIT NETTO PLUS APP 1.99, 390 – 435 g tiefgekühlt, versch. Sorten",Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Waffelnüsse,Santa Claus in Town,"€ 2,79",Kein vorheriger Preis,"€ 11,16 / kg -",versch. Sorten 250 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Cordon Bleu vom Schwein,Gut Ponholz,"€ 3,79",Kein vorheriger Preis,"€ 7,58 / kg -","HINWEIS: MIT NETTO PLUS APP 3.39, mit Schinken und Käse, paniert 500 g",Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Hähnchen-Innenfilets,Gut Ponholz,"€ 3,99",Kein vorheriger Preis,"€ 9,97 / kg -",zart und mager 400 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Rinder-Wade,Keine Marke,"€ 1,29",Kein vorheriger Preis,"€ 12,90 / kg -","vakuumverpackt, ca. 1 kg pro 100 g",Nein,17.11. - 22.11.,2025-11-17,2025-11-22
WC Intensivschaum,easy! MAXX,"€ 14,99",Kein vorheriger Preis,"€ 9,99 / kg -","1,5 kg einfach hygienisch sauber:",Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Bürostuhl Cora,Home Deluxe,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",Details im Prospekt.,Nein,15.11. - 22.11.,2025-11-15,2025-11-22
Waffeleisen,Gourmetmaxx,"€ 15,99",Kein vorheriger Preis,"€ 15,99 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Tintenfisch Tapas,Keine Marke,"€ 2,99",Kein vorheriger Preis,"€ 5,98 / kg -",500 g tiefgekühlt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Merry Christmas Minis,Haribo,"€ 1,99",Kein vorheriger Preis,"€ 7,96 / kg -",250 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Akustikpaneel Sonic,Home Deluxe,"€ 59,99",Kein vorheriger Preis,"€ 59,99 / Stk -",Details im Prospekt.,Nein,15.11. - 22.11.,2025-11-15,2025-11-22
Weihnachtsstern,Keine Marke,"€ 1,79",Kein vorheriger Preis,"€ 1,79 / Stk -","je Topf ca. 25 cm hoch, Ø = 11 cm",Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Tomaten,Keine Marke,"€ 1,00",Kein vorheriger Preis,"€ 2,00 / kg -","500 g Schale Marokko/Spanien, Kl. I",Nein,17.11. - 22.11.,2025-11-17,2025-11-22
