Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Möhren,,1.89 €,statt 1.89,0.50 / kg,"Deutschland, Kl. I",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_001.png
Schweine-Rücken,,4.99 €,UVP 6.49,,"ohne Knochen, vakuumverpackt, ca. 2 kg",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_002.png
Chiquita Bananen,,1.79 €,,,Costa Rica/Ecuador,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_003.png
Landliebe Butter oder Streichzart,,1.39 €,UVP 2.59,5.56 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_004.png
Nutella,,3.79 €,statt 5.29,4.59 - 5.05 / kg,Nuss-Nugat-Creme,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_005.png
Pringles,,1.69 €,statt 2.49,8.45 – 10.56 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_006.png
Coca-Cola,,6.66 €,,0.89 / l,"teilw. koffeinhaltig, versch. Sorten Einzelflasche: 1.59, zzgl. Pfand 0.25 (1.27 / l)",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_007.png
Mönchshof Biere,,13.49 €,,1.35 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_008.png
"Weltmeister-, Sonnenblumen- und Kürbiskernbrötchen",,1.47 €,1.17 - 1.47,,Einzelpreis: 0.39 – 0.49 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_009.png
Bauer Fruchtjoghurt,,0.44 €,statt 0.99,1.76 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_010.png
Popp Brotaufstrich,,0.99 €,,6.60 - 8.25 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_011.png
Mon Cheri,,2.99 €,,15.82 / kg,,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_012.png
Lavazza,,14.99 €,,,"ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_013.png
Jack Daniel’s Tennessee Whiskey,,15.99 €,UVP 19.99,22.84 / l,40% Vol. Glas GRATIS!,Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_014.png
Birnen,,2.22 €,,1.48 / kg,"Belgien/Niederlande, Kl. II",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_015.png
Zitronen,,1.99 €,,,"Italien/Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_016.png
Orangen,,3.99 €,,1.33 / kg,"Griechenland/Spanien, Kl. l",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_017.png
Heidelbeeren,,3.49 €,,6.98 / kg,"Peru/Chile, Kl. I",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_018.png
Äpfel,,4.99 €,,1.- / kg,"Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 02.02.26 - Samstag, 07.02.26",02.02.26,07.02.26,images_netto/netto_offer_019.png
