Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Weichspüler,Kuschelweich,"€ 10,99","€ 15,92",1.37 / l,versch. Sorten Einzelpreis: 1.99 Wäschekorb Maße: ca. 56 x 38 x 21 cm Volumen: ca. 30 Liter Einzelpreis: 1.99 GRATIS!,Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_001.png,cat_drogerie
Gurken,Keine Marke,"€ 0,99",,Kein Mengenpreis,"Spanien/Niederlande, Kl. I",Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_002.png,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
Piccolinis,Wagner,"€ 7,77","€ 11,95",6.66 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_003.png,"cat_tiefkuehl,sub_tk_fertiggerichte,sub_tk_pizza,tag_ultra_processed"
Hackfleisch gemischt,Keine Marke,"€ 5,79","€ 6,99",7.24 / kg,aus 50% Schwein und 50% Rind,Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_004.png,"cat_fleisch_wurst,diet_lactose_free,sub_hackfleisch,sub_rind,sub_schwein,tag_proteinreich,tag_ultra_processed"
Käfer Caff oder Barista,Keine Marke,"€ 9,99",,Kein Mengenpreis,"ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_005.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
Nutella,Nutella,"€ 2,99","€ 3,79",5.98 - 6.64 / kg,Nuss-Nougat-Creme 50 g GRATIS!,Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_006.png,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Persil Waschmittel,Keine Marke,"€ 16,99","€ 27,99",0.17 - 0.22 / WL,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_007.png,"cat_drogerie,tag_whole_food"
Butter oder Streichzart,Weihenstephan,"€ 1,29","€ 2,59",5.16 - 5.49 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_008.png,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_butter_margarine,sub_milchprodukte"
Franziskaner Premium Hefe Weißbier,Keine Marke,"€ 22,98","€ 42,89",1.15 / l,Einzelpreis: 21.49 (2.15 / l),Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_009.png,"cat_getraenke,diet_vegetarian"
Laugenbreze,Keine Marke,"€ 1,5","€ 1,56",Kein Mengenpreis,Einzelpreis: 0.39 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_010.png,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Gouda oder Butterkäse,Keine Marke,"€ 4,99","€ 5,99",Kein Mengenpreis,gekühlt,Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_011.png,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_butter_margarine,sub_kaese,sub_milchprodukte,tag_ultra_processed"
Joghurt mit der Ecke,Müller,"€ 0,39","€ 0,89",2.60 - 2.89 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_012.png,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed"
Aperol Aperitivo,Keine Marke,"€ 9,49","€ 13,49",13.56 / l,11% Vol.,Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_013.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_high_protein,tag_whole_food"
Mövenpick,Mövenpick,"€ 6,99","€ 10,69",13.98 / kg,"Kaffee gemahlen oder ganze Bohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_014.png,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
Yogurette oder Kinder Schokolade,Keine Marke,"€ 1,29","€ 1,69",10.32 - 12.90 / kg,,Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_015.png,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Booster Energy Drink,Keine Marke,"€ 1,2","€ 1,78",1.52 / l,"taurin- und koffeinhaltig, versch. Sorten Einzelpreis: 0.89, zzgl. Pfand 0.25 (2.70 / l)",Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_016.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,tag_ultra_processed"
Hähnchen-Geschnetzeltes,Keine Marke,"€ 8,9","€ 9,98",10.- / kg,natur Einzelpreis: 4.99 (12.48 / kg),Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_017.png,"cat_fleisch_wurst,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_whole_food"
Puten-Schnitte Cordon Bleu Art,Keine Marke,"€ 5,29",,10.58 / kg,"aus zusammengesetzten Putenfleisch, mit Putenschinken und Käse, paniert",Nein,"Wochenangebote gültig von Montag, 02.03.26 - Samstag, 07.03.26",02.03.26,07.03.26,images_netto/netto_offer_018.png,"cat_fleisch_wurst,sub_gefluegel,tag_ultra_processed"
