Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Kirschtasche,Keine Marke,"€ 0,99","€ 2,67",Kein Mengenpreis,Einzelpreis: 0.89 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_001.png,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,tag_whole_food",BLS-D7A7810,ref_000001,obs_0000025712,obs_0000025712
Berchtesgadener Land Frische Bergbauern Milch,Keine Marke,"€ 3,33","€ 5,565,96",Kein Mengenpreis,"gekühlt, 1,5% oder 3,5% Fett Einzelpreis: 1.39 – 1.49",Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_002.png,"cat_getraenke,diet_lactose_free,diet_vegetarian,sub_milchprodukte",,ref_000002,obs_0000028240|obs_0000004930|obs_0000029181|obs_0000000188|obs_0000000992|obs_0000002646|obs_0000002682|obs_0000024498|obs_0000026055|obs_0000026967,
Lachsschinken,Keine Marke,"€ 3,33","€ 4,78",11.10 / kg,über Buchenholz geräuchert versch. Sorten Einzelpreis: 2.39 (15.93 / kg),Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_003.png,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,sub_wurst,tag_proteinreich,tag_ultra_processed,tag_whole_food",BLS-W443000,ref_000003,obs_0000006304|obs_0000006865|obs_0000010044|obs_0000024836|obs_0000025568|obs_0000031240|obs_0000001023|obs_0000001555|obs_0000017870|obs_0000023790|obs_0000023980|obs_0000026395|obs_0000026715|obs_0000026838,obs_0000006304|obs_0000006865|obs_0000010044|obs_0000024836|obs_0000025568|obs_0000031240
Gustavo Gusto Pizza,Keine Marke,"€ 9,0","€ 14,07",6.52 – 7.32 / kg,"tiefgekühlt, versch. Sorten Einzelpreis: 4.69 (10.20 – 11.44 / kg)",Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_004.png,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_kraeuter,sub_tk_pizza,tag_ultra_processed,tag_whole_food",,ref_000004,obs_0000028452|obs_0000028635|obs_0000007240|obs_0000006294|obs_0000027148|obs_0000027288|obs_0000005732|obs_0000005653|obs_0000009976|obs_0000021711|obs_0000023937,
Butter oder Streichzart,Landliebe,"€ 0,99","€ 2,59",3.96 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_005.png,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_ultra_processed",,ref_000005,obs_0000006416|obs_0000029438|obs_0000028236|obs_0000002462|obs_0000016916|obs_0000000997|obs_0000025644|obs_0000009855|obs_0000024486|obs_0000020509|obs_0000000107|obs_0000016511|obs_0000010488|obs_0000004387|obs_0000008521|obs_0000002406|obs_0000000442|obs_0000021027|obs_0000029250|obs_0000023126|obs_0000025176|obs_0000010913|obs_0000004814|obs_0000017169|obs_0000021391|obs_0000017297|obs_0000003053|obs_0000017435|obs_0000003172|obs_0000003377|obs_0000003422|obs_0000001425|obs_0000032259|obs_0000018018|obs_0000007902|obs_0000008002|obs_0000003960|obs_0000012243|obs_0000016360,obs_0000014613|obs_0000013377|obs_0000011644
Bauer Fruchtjoghurt,Keine Marke,"€ 0,39","€ 0,99",1.56 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_006.png,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed",,ref_000006,obs_0000000675|obs_0000002351|obs_0000002588|obs_0000009011|obs_0000009615|obs_0000010061|obs_0000010491|obs_0000011220|obs_0000012238|obs_0000013011|obs_0000013357|obs_0000018840|obs_0000019659|obs_0000021759|obs_0000022152|obs_0000031644,
Schokolade,Milka,"€ 0,77","€ 1,99",8.11 - 8.85 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_007.png,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",BLS-S500000,ref_000007,obs_0000014418|obs_0000024683|obs_0000008307|obs_0000031872|obs_0000013979|obs_0000025827|obs_0000013551|obs_0000031477|obs_0000026359|obs_0000016130|obs_0000016680|obs_0000023866|obs_0000010558|obs_0000017223|obs_0000012629|obs_0000008056|obs_0000011665|obs_0000021504|obs_0000017954|obs_0000003112|obs_0000004659|obs_0000003637|obs_0000018997|obs_0000002122|obs_0000000091|obs_0000029313|obs_0000031875|obs_0000004232|obs_0000000138|obs_0000016064|obs_0000003805|obs_0000000230|obs_0000009968|obs_0000016120|obs_0000020224|obs_0000026371|obs_0000026376|obs_0000023348|obs_0000030520|obs_0000019816|obs_0000008041|obs_0000015216|obs_0000004491|obs_0000009612|obs_0000008595|obs_0000011211|obs_0000011229|obs_0000004064|obs_0000016382|obs_0000007703,obs_0000017954|obs_0000003112|obs_0000004659|obs_0000003637|obs_0000018997|obs_0000002122|obs_0000014418|obs_0000000091|obs_0000024683|obs_0000008307|obs_0000031872|obs_0000029313|obs_0000031875|obs_0000004232|obs_0000000138|obs_0000013979|obs_0000016064|obs_0000003805|obs_0000025827|obs_0000000230|obs_0000013551|obs_0000009968|obs_0000031477|obs_0000026359|obs_0000016120|obs_0000020224|obs_0000016130|obs_0000026371|obs_0000026376|obs_0000016680|obs_0000023348|obs_0000030520|obs_0000023866|obs_0000010558|obs_0000017223|obs_0000012629|obs_0000019816|obs_0000008041|obs_0000015216|obs_0000008056|obs_0000006015|obs_0000004491|obs_0000009612|obs_0000011665|obs_0000008595|obs_0000005065|obs_0000011211|obs_0000011229|obs_0000004064|obs_0000016382
Erdbeeren,Keine Marke,"€ 2,29","€ 3,99",4.58 / kg,"Griechenland/Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_008.png,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",BLS-F301100,ref_000008,obs_0000025546|obs_0000027621|obs_0000028691|obs_0000028744|obs_0000029042|obs_0000029976|obs_0000000875|obs_0000021444|obs_0000011679|obs_0000010835|obs_0000014242|obs_0000031257|obs_0000031864|obs_0000028555|obs_0000005473|obs_0000005869|obs_0000005878,obs_0000000875|obs_0000011804|obs_0000021444|obs_0000025546|obs_0000027621|obs_0000028691|obs_0000028744|obs_0000029042|obs_0000029976
Kaffee,Mövenpick,"€ 13,99","€ 19,49",Kein Mengenpreis,"ganze Kaffeebohnen, versch Sorten",Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_009.png,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",BLS-N410100,ref_000009,obs_0000012302|obs_0000011821|obs_0000021042|obs_0000011400|obs_0000013118|obs_0000010165|obs_0000013804|obs_0000009792|obs_0000024759|obs_0000008421|obs_0000001036|obs_0000005148|obs_0000011824|obs_0000029238|obs_0000014411|obs_0000012889|obs_0000011398|obs_0000006802|obs_0000017110|obs_0000009505|obs_0000000848|obs_0000032079|obs_0000004954|obs_0000009054|obs_0000025969|obs_0000022915|obs_0000031166|obs_0000025539|obs_0000011210|obs_0000006618|obs_0000022496|obs_0000011238|obs_0000026091|obs_0000008183|obs_0000021001|obs_0000001035|obs_0000001037|obs_0000001038|obs_0000001039|obs_0000027154|obs_0000010790|obs_0000025648|obs_0000001591|obs_0000020048|obs_0000006258|obs_0000006263|obs_0000007809|obs_0000001183|obs_0000027840|obs_0000000202,obs_0000012302|obs_0000011821|obs_0000021042|obs_0000011400|obs_0000013118|obs_0000010165|obs_0000013804
Blanc oder Rose,Lillet,"€ 10,99","€ 16,49",14.65 / l,"Aperitif, 17 % Vol.",Nein,"Wochenangebote gültig von Montag, 16.03.26 - Samstag, 21.03.26",16.03.26,21.03.26,images_netto/netto_offer_010.png,cat_getraenke,,ref_000010,obs_0000016452|obs_0000031686|obs_0000024398|obs_0000025417,
