Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Kombipack,Keine Marke,"€ 11,11","€ 13,47","1 kg = 3,70","Spargel weiß oder violett Peru/Griechenland, 2 x 500 g Bund, Einzelpreis: 4.99 ( 9.98 / kg) Speisefrühkartoffeln Ägypten, Kocheigenschaft: festkochend 2 kg Netz, Einzelpreis: 3.49 ( 1.75 / kg)",Nein,"Wochenangebote gültig von Montag, 23.03.26 - Samstag, 28.03.26",23.03.26,28.03.26,images_netto/netto_offer_001.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000001,,
Weine,Blanchet,"€ 2,49","€ 3,99","1 l = 3,32","versch. Sorten Kaufe Wein, Schinken & Thomy Les Sauce und erhalte 50 Extra°Punkte.",Nein,"Wochenangebote gültig von Montag, 23.03.26 - Samstag, 28.03.26",23.03.26,28.03.26,images_netto/netto_offer_002.jpg,cat_getraenke,BLS-R121000,ref_000002,obs_0000028009|obs_0000026968|obs_0000027071|obs_0000029777,obs_0000028009|obs_0000006548|obs_0000026968|obs_0000027071
Rohschinken zum Spargel,Keine Marke,"€ 1,79","€ 2,29","1 kg = 14,32","mild geräuchert Kaufe Wein, Schinken & Thomy Les Sauce und erhalte 50 Extra°Punkte.",Nein,"Wochenangebote gültig von Montag, 23.03.26 - Samstag, 28.03.26",23.03.26,28.03.26,images_netto/netto_offer_003.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed,tag_whole_food",,ref_000003,obs_0000017419|obs_0000018745|obs_0000031618,
Thomy Les Sauces,Keine Marke,"€ 1,6","€ 1,69","1 l = 3,33 - 4,00","versch. Sorten Kaufe Wein, Schinken & Thomy Les Sauce und erhalte 50 Extra°Punkte.",Nein,"Wochenangebote gültig von Montag, 23.03.26 - Samstag, 28.03.26",23.03.26,28.03.26,images_netto/netto_offer_004.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000004,obs_0000006820|obs_0000005925|obs_0000030715|obs_0000031332|obs_0000032004|obs_0000032678|obs_0000008664|obs_0000010516|obs_0000018928,obs_0000005925|obs_0000006820
Lindt Goldhase,Keine Marke,"€ 2,99","€ 4,99","1 kg = 29,90",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 23.03.26 - Samstag, 28.03.26",23.03.26,28.03.26,images_netto/netto_offer_005.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,ref_000005,obs_0000013665,
Gurken,Keine Marke,"€ 0,55",,"pro Einheit = 0,55","Niederlande/Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 23.03.26 - Samstag, 28.03.26",23.03.26,28.03.26,images_netto/netto_offer_006.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",BLS-G520100,ref_000006,obs_0000017251|obs_0000026810|obs_0000028052|obs_0000007007|obs_0000007373|obs_0000020386|obs_0000021205|obs_0000034112|obs_0000034736|obs_0000005373|obs_0000005701|obs_0000005710|obs_0000015409|obs_0000027526|obs_0000028423|obs_0000030313|obs_0000005122|obs_0000006420|obs_0000005323|obs_0000025866,obs_0000002563|obs_0000003696|obs_0000017251|obs_0000026127|obs_0000026810|obs_0000027093|obs_0000028052
Frau Antje Beste Butter,Keine Marke,"€ 0,99","€ 2,99","1 kg = 3,96",gekühlt,Nein,"Wochenangebote gültig von Montag, 23.03.26 - Samstag, 28.03.26",23.03.26,28.03.26,images_netto/netto_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_butter_margarine,sub_frisches_gemuese,tag_whole_food",,ref_000007,obs_0000000107|obs_0000000997|obs_0000001425|obs_0000034970|obs_0000002620|obs_0000002676|obs_0000003267|obs_0000003591|obs_0000003636|obs_0000008456|obs_0000008556|obs_0000009075|obs_0000010409|obs_0000011042|obs_0000011467|obs_0000012797|obs_0000013125|obs_0000017835|obs_0000018391|obs_0000018644|obs_0000018772|obs_0000019493|obs_0000021984|obs_0000022502|obs_0000024620|obs_0000026359|obs_0000027049|obs_0000027517|obs_0000031786,
Schweine-Nacken,Keine Marke,"€ 4,99","€ 8,49","pro Einheit = 4,99","ohne Knochen, vakuumverpackt, ca. 2,4 kg",Nein,"Wochenangebote gültig von Montag, 23.03.26 - Samstag, 28.03.26",23.03.26,28.03.26,images_netto/netto_offer_008.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,tag_ultra_processed,tag_whole_food",,ref_000008,obs_0000026349|obs_0000027469|obs_0000027909|obs_0000029889|obs_0000030577|obs_0000032338,obs_0000007445|obs_0000026349|obs_0000026655|obs_0000026812|obs_0000027469|obs_0000027909|obs_0000029889|obs_0000030431|obs_0000030577|obs_0000032338
Käfer Caff,Keine Marke,"€ 10,99","€ 14,99","pro Einheit = 10,99","ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 23.03.26 - Samstag, 28.03.26",23.03.26,28.03.26,images_netto/netto_offer_009.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000009,obs_0000028042,obs_0000028042
Franziskaner Premium Hefe Weißbier,Keine Marke,"€ 11,99","€ 21,49","1 l = 1,20",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 23.03.26 - Samstag, 28.03.26",23.03.26,28.03.26,images_netto/netto_offer_010.jpg,"cat_getraenke,diet_vegetarian",,ref_000010,obs_0000030899|obs_0000010542|obs_0000012447|obs_0000012695|obs_0000013351|obs_0000013688|obs_0000015499|obs_0000034223|obs_0000035037|obs_0000011595|obs_0000013830|obs_0000027336|obs_0000028367|obs_0000028886|obs_0000028962|obs_0000028970|obs_0000031388|obs_0000031751|obs_0000031911,
