Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Rouladen vom Rind,,1.49 €,,14.90 / kg,"küchenfertig, aus der Keule, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_001.png
Rotkäppchen Sekt oder Fruchtsecco,,2.49 €,,3.32 / l,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_002.png
Orangen,,2.22 €,,1.11 / kg,"Griechenland/Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_003.png
Wiener Würstchen,,5.55 €,statt 6.99,,über Buchenholz geräuchert Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_004.png
Milka Schokolade,,0.99 €,,10.42 - 11.- / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_005.png
Lavazza,,12.99 €,statt 20.99,,"ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_006.png
Coca-Cola Kombikiste,,9.99 €,,0.83 / l,"teilweise koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_007.png
Müller Joghurt mit der Ecke,,0.33 €,,2.20 - 2.92 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_008.png
Nuss-Nougat-Croissant,,1.49 €,statt 2.07,,Einzelpreis: 0.69 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_009.png
Ferrero Küsschen,,2.99 €,,16.80 - 17.38 / kg,"feine Nuss-Spezialitäten, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_010.png
Milram Käsescheiben,,1.49 €,,9.93 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_011.png
Dallmayr Prodomo,,6.49 €,statt 10.49,12.98 / kg,"Kaffee gemahlen oder ganze Bohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_012.png
Red Bull Energy Drink,,1.39 €,statt 1.89,3.92 / l,"taurin- & koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_013.png
