Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Zartbitter Schokolade,ja!,"€ 1,29",Kein vorheriger Preis,"€ 12,90 / kg -",je 100-g-Tafel,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Rosenkohl,Keine Marke,"€ 0,75",Kein vorheriger Preis,"€ 1,50 / kg -","Kl. I, je 500-g-Netz",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Pils,Krombacher,"€ 10,99",Kein vorheriger Preis,"€ 1,09 / l -","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten zzgl. 3.10 Pfand",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Chicorée,Rewe Regional,"€ 1,49",Kein vorheriger Preis,"€ 2,98 / kg -","Deutschland: Kl. I, je 500-g-Pckg.",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Bio-Speisekartoffeln,Rewe Bio,"€ 1,39",Kein vorheriger Preis,"€ 0,93 / kg -","Sorte und Kocheigenschaft: siehe Etikett, Qualität I, je 1,5-kg-Btl.",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Blumenstrauß Schmuckstück,Keine Marke,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -","versch. Sortierungen, mit Floralie Schnittblumenanhänger, je Strauß",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Men Duschgel,Bruno Banani,"€ 2,49",Kein vorheriger Preis,"€ 9,96 / l -",je 250-ml-Fl.,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Kentucky Straight Bourbon Whiskey,Jim Beam,"€ 9,99",Kein vorheriger Preis,"€ 14,27 / l -","40% Vol., je 0,7-l-Fl.",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Energy-Drink,Rockstar,"€ 0,89",Kein vorheriger Preis,"€ 1,78 / l -","versch. Sorten, koffeinhaltig, je 0,5-l-Dose zzgl. 0.25 Pfand",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Genuss Pur Pasta,3 Glocken,"€ 0,99",Kein vorheriger Preis,"€ 1,98 / kg -","versch. Ausformungen, je 500-g-Btl.",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Handcreme,Kamill,"€ 1,29",Kein vorheriger Preis,"€ 12,90 / l -","Kamille, je 100-ml-Tube",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Rotkohl,Kühne,"€ 1,29",Kein vorheriger Preis,"€ 1,98 / kg -","650-g-Abtropfgew., je 680-g-Glas",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Himbeeren,Keine Marke,"€ 1,99",Kein vorheriger Preis,"€ 15,92 / kg -","Kl. I, je 125-g-Schale",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Wellaflex 2 - Tages - Volumen Schaumfestiger,Wella,"€ 2,49",Kein vorheriger Preis,"€ 12,45 / l -","je 200-ml-Dose oder Haarspray Fülle und Style, je 250-ml-Dose",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Prosecco,Zonin,"€ 6,99",Kein vorheriger Preis,"€ 9,32 / l -","oder Rosé Spumante DOC je 0,75-l-Fl.",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Württemberger Trollinger,WZG,"€ 2,99",Kein vorheriger Preis,"€ 3,98 / l -","Württemberg, oder Lemberger QbA trocken, halbtrocken, je 0,75-l-Fl.",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Speyside Whisky Sherry,Tamnavulin,"€ 19,99",Kein vorheriger Preis,"€ 28,55 / l -","40% Vol., je 0,7-l-Fl.",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Mungobohnenkeimlinge,Keine Marke,"€ 0,99",Kein vorheriger Preis,"€ 4,95 / kg -",je 200-g-Pckg.,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
