Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Orangen,Keine Marke,"2,39 €",,"1 kg = 1,20","Sorte: siehe Etikett, Kl. I, je 2-kg-Netz",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_001.jpg,bamberg
Maidlhof Sandwich-Gurken,Keine Marke,"1,59 €",,"1 kg = 5,48","je 530-g-Glas, 290-g-Abtropfgew.",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_162.jpg,bamberg
Knorr Fix Hackbraten,Keine Marke,"0,49 €",,"1 kg = 7,00",je 70-g-Btl,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_163.jpg,bamberg
REWE Beste Wahl Gurkensticks,Keine Marke,"1,69 €",,"1 kg = 4,69","süß-sauer, je 670-g-Glas, 360-g-Abtropfgew.",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_164.jpg,bamberg
REWE Beste Wahl Mandeln,Keine Marke,"1,49 €",,"1 kg = 14,90","versch. Sorten, je 100-g-Btl",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_165.jpg,bamberg
Haribo Goldbären oder Color-Rado,Keine Marke,"0,89 €",,"1 kg = 5,09",je 175-g-Btl,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_166.jpg,bamberg
Kinder Bueno,Keine Marke,"2,99 €",,"1 kg = 13,91","je 10 x 21,5-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_167.jpg,bamberg
Lorenz Saltletts Sticks,Keine Marke,"1,19 €",,"1 kg = 4,76",je 250-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_168.jpg,bamberg
Schogetten,Keine Marke,"1,11 €",,"1 kg = 11,10","versch. Sorten, je 100-g-Tafel",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_169.jpg,bamberg
DeBeukelaer Prinzenrolle,Keine Marke,"1,69 €",,"1 kg = 3,76","Schoko, je 450-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_170.jpg,bamberg
Amicelli,Keine Marke,"2,99 €",,"1 kg = 14,95",je 200-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_171.jpg,bamberg
Dr. Oetker 4 kleine Kuchen,Keine Marke,"1,99 €",,"1 kg = 14,21","versch. Sorten, je 140-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_172.jpg,bamberg
Lorenz Erdnuß Locken,Keine Marke,"1,19 €",,"1 kg = 7,93","Western Style, je 150-g-Btl",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_173.jpg,bamberg
Ritter Sport Alpenmilch,Keine Marke,"2,99 €",,"1 kg = 11,96",je 250-g-Tafel,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_174.jpg,bamberg
