Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Sanella Streichfett,Keine Marke,"€ 1,49",,"1 kg = 3,73 €",je 400-g-Becher,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_001.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_butter_margarine,tag_ultra_processed,tag_whole_food",bamberg,,ref_000001,obs_0000028305|obs_0000029407|obs_0000009590|obs_0000013023|obs_0000021829|obs_0000026407,obs_0000028305|obs_0000029407
Mohn fix,REWE Beste Wahl,"€ 1,59",,"1 kg = 6,36 €",je 250-g-Btl.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_201.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,ref_000002,obs_0000011813|obs_0000017466|obs_0000019539|obs_0000023175|obs_0000013526|obs_0000009445|obs_0000024314|obs_0000015121|obs_0000008983|obs_0000018720|obs_0000015765|obs_0000010147|obs_0000009684|obs_0000024560,
Orangenschale,REWE Bio,"€ 0,79",,"1 kg = 79,00 €","gerieben, je 2 x 5-g-Btl.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_200.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg,BLS-X496363,ref_000003,obs_0000001861|obs_0000013100,
Feine Marzipanrohmasse,REWE Beste Wahl,"€ 1,49",,"1 kg = 7,45 €",je 200-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_199.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,ref_000004,obs_0000013112,
Backhefe,REWE Bio,"€ 1,19",,"1 kg = 56,67 €",je 21-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_198.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_whole_food",bamberg,,ref_000005,,
pflanzlich Veganer Ei-Ersatz,REWE Bio,"€ 0,49",,"1 kg = 32,67 €",je 15-g-Btl.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_197.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese",bamberg,,ref_000006,,
Oyakata Japanese Chicken Teriyaki,Keine Marke,"€ 1,11",,"1 kg = 11,56 €",je 96-g-Becher,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_196.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,sub_tk_fertiggerichte,tag_ultra_processed,tag_whole_food",bamberg,,ref_000007,obs_0000022103,
pflanzlich Veganes Geliermittel,REWE Bio,"€ 1,19",,"1 kg = 66,11 €",je 3 x 6-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_202.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese",bamberg,,ref_000008,obs_0000015870,
Oyakata Japanese Classic,Keine Marke,"€ 1,11",,"1 kg = 11,94 €",je 93-g-Becher,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_195.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000009,obs_0000010989|obs_0000013543|obs_0000019121|obs_0000019940|obs_0000023795|obs_0000025011|obs_0000026878|obs_0000029122|obs_0000032113|obs_0000032390,
Feine Marzipan Rübli,Dr Oetker,"€ 2,29",,"1 kg = 54,52 €",je 42-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_193.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000010,,
