Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Butter Blätterteig,Tante Fanny,"€ 1,99",,"1 kg = 7,11",je 280-g-Btl.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_001.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_ultra_processed",bamberg,,BLS-D771900,ref_000001,obs_0000003591|obs_0000019493|obs_0000028714|obs_0000031786|obs_0000024620|obs_0000003636|obs_0000002620|obs_0000000107|obs_0000002676|obs_0000010409|obs_0000034970|obs_0000003267|obs_0000026822|obs_0000011467|obs_0000018644|obs_0000031458|obs_0000029935|obs_0000028407|obs_0000026359|obs_0000008456|obs_0000011042|obs_0000013125|obs_0000018772|obs_0000008556|obs_0000009075|obs_0000027517|obs_0000001425|obs_0000027049|obs_0000017835|obs_0000028591|obs_0000028096|obs_0000018391|obs_0000021984|obs_0000000997|obs_0000022502|obs_0000012797|obs_0000005756,obs_0000029935
Hengstenberg Mildessa Mildes Weinsauerkraut,Keine Marke,"€ 1,49",,"1 kg = 1,94","je 810-g-Dose, 770 g Abtropfgewicht",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_279.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian",bamberg,,,ref_000002,obs_0000007950|obs_0000032674|obs_0000029678|obs_0000008390|obs_0000029683|obs_0000014981|obs_0000012836|obs_0000009973|obs_0000001279,obs_0000007950|obs_0000007578|obs_0000032674|obs_0000008390|obs_0000029678|obs_0000029683
Kühne Rotkohl,Keine Marke,"€ 1,29",,"1 kg = 1,98","je 680-g-Glas, 650 g Abtropfgewicht",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_278.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg,,,ref_000003,obs_0000032670|obs_0000014089|obs_0000032521|obs_0000029844|obs_0000025112|obs_0000010276|obs_0000031653|obs_0000008361|obs_0000028337|obs_0000018484|obs_0000014145|obs_0000031561,obs_0000014089|obs_0000032670|obs_0000010276
Reis-Fit Expressreis,Keine Marke,"€ 1,29",,"1 kg = 5,16","versch. Sorten, je 250-g-Pckg.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_277.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,sub_reis,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000004,obs_0000030331|obs_0000030696|obs_0000010042|obs_0000009592|obs_0000012686|obs_0000019357|obs_0000017388,obs_0000030331|obs_0000011930|obs_0000010042|obs_0000009592|obs_0000024475|obs_0000017388|obs_0000024057
Hela Curry Gewürzketchup,Keine Marke,"€ 1,99",,"1 l = 2,49","versch. Sorten, je 800-ml-Fl.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_276.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,BLS-R141200,ref_000005,obs_0000032397,obs_0000032397|obs_0000026532
La Espa ola Natives Olivenöl Extra,Keine Marke,"€ 5,99",,"1 l = 11,98",je 500-ml-Fl.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_275.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000006,obs_0000029019|obs_0000014985|obs_0000021137|obs_0000000536|obs_0000025631|obs_0000022319|obs_0000021940|obs_0000012351|obs_0000011075|obs_0000020167|obs_0000028880|obs_0000025043|obs_0000020318|obs_0000000095|obs_0000014304|obs_0000013794|obs_0000015852|obs_0000020986,obs_0000029019
Für Genießer Zwiebelsuppe,Maggi,"€ 0,89",,"pro Einheit = 0,89","ausreichend für 750 ml, je 1-Btl.",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_274.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000007,obs_0000028700|obs_0000028579|obs_0000008796|obs_0000009116|obs_0000009653|obs_0000009171,obs_0000028700|obs_0000028579
Appel Zarte Filets vom Hering,Keine Marke,"€ 1,11",,"1 kg = 5,55","versch. Sorten, je 200-g-Dose",Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_273.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free",bamberg,,,ref_000008,obs_0000032666|obs_0000029676|obs_0000020394|obs_0000021213|obs_0000025058|obs_0000017766|obs_0000023287|obs_0000028928|obs_0000028732,obs_0000032666|obs_0000020394|obs_0000021213|obs_0000025058|obs_0000017766|obs_0000029676|obs_0000023287|obs_0000028928
Heinz Tomato Ketchup oder Mayonnaise,Keine Marke,"€ 1,79",,"1 l = 4,48",je 400-ml-Fl.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_272.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000009,obs_0000032296|obs_0000032050|obs_0000029039|obs_0000010249|obs_0000018347|obs_0000034616|obs_0000022471|obs_0000011348|obs_0000014295|obs_0000015843|obs_0000008294|obs_0000014833|obs_0000015657|obs_0000010674|obs_0000014529|obs_0000002118|obs_0000001763|obs_0000015844,obs_0000032296|obs_0000032050|obs_0000029039
Classic Brownies,Dr Oetker,"€ 2,49",,"1 kg = 5,39",je 462-g-Pckg.,Nein,2026-03-30 bis 2026-04-05,2026-03-30,2026-04-05,../images/rewe/bamberg_offer_271.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000010,obs_0000028882|obs_0000028751|obs_0000020596|obs_0000026884|obs_0000024877|obs_0000035101|obs_0000015018|obs_0000000873|obs_0000021415|obs_0000031658|obs_0000025668|obs_0000011543|obs_0000001628|obs_0000001643|obs_0000034649,obs_0000028882
