Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Haselnuss Vanilla Schokolade,Langnese Cremissimo,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",je 1000-ml-Becher,Nein,2026-04-27 bis 2026-05-03,2026-04-27,2026-05-03,../images/rewe/bamberg_offer_001.jpg,"cat_knabbern_naschen,diet_vegetarian,sub_fleischersatz,sub_tk_eis,sub_tk_fertiggerichte,tag_high_protein,tag_ultra_processed",bamberg,,,ref_000001,obs_0000030327|obs_0000032266|obs_0000032641|obs_0000029167|obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000022597|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000031849|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000001243|obs_0000034013|obs_0000000230|obs_0000018155|obs_0000003326|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000010522|obs_0000002336|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000016691|obs_0000004446|obs_0000011112|obs_0000008595|obs_0000008610|obs_0000004019|obs_0000006579,obs_0000030327|obs_0000032641|obs_0000029167,,
Pistazien,Kluth,"€ 6,99",,"1 kg = 18,64","1 kg = 18,64","geröstet & gesalzen, je 375-g-Btl.",Nein,2026-04-27 bis 2026-05-03,2026-04-27,2026-05-03,../images/rewe/bamberg_offer_152.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000002,obs_0000005014|obs_0000000433|obs_0000004160|obs_0000004587|obs_0000001787,,x,
Loacker,Loacker,"€ 1,49",,"1 kg = 11,04","1 kg = 11,04","versch. Sorten, je 135-g-Pckg.",Nein,2026-04-27 bis 2026-05-03,2026-04-27,2026-05-03,../images/rewe/bamberg_offer_153.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,BLS-D050000,ref_000003,obs_0000029693,,x,
Dessert-Sauce,Schwartau,"€ 1,59",,"1 l = 12,72","1 l = 12,72","versch. Sorten, je 125-ml-Fl.",Nein,2026-04-27 bis 2026-05-03,2026-04-27,2026-05-03,../images/rewe/bamberg_offer_154.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg,,,ref_000004,obs_0000015382|obs_0000012336|obs_0000017969|obs_0000013386|obs_0000004175|obs_0000016979|obs_0000034889|obs_0000009845|obs_0000011915|obs_0000014488|obs_0000022199|obs_0000010474|obs_0000013586|obs_0000008982|obs_0000009519|obs_0000017731|obs_0000010617|obs_0000018839|obs_0000005029|obs_0000015792|obs_0000000443|obs_0000018932|obs_0000004602,,x,
Trail Mix oder Studentenfutter,Seeberger,"€ 1,99",,"1 kg = 13,27","1 kg = 13,27",je 150-g-Btl.,Nein,2026-04-27 bis 2026-05-03,2026-04-27,2026-05-03,../images/rewe/bamberg_offer_155.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000005,obs_0000024700|obs_0000012180|obs_0000013434|obs_0000014822,,x,
m m s,Mars,"€ 1,99",,"1 kg = 15,55","1 kg = 15,55","Crispy, je 128-g-Pckg.",Nein,2026-04-27 bis 2026-05-03,2026-04-27,2026-05-03,../images/rewe/bamberg_offer_156.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000006,obs_0000029325|obs_0000032014|obs_0000032433|obs_0000030668|obs_0000032013|obs_0000033810|obs_0000000635|obs_0000030088|obs_0000005471|obs_0000032701|obs_0000005283,obs_0000029325|obs_0000032014|obs_0000032433,x,
Duplo,Duplo,"€ 2,22",,"1 kg = 12,20","1 kg = 12,20","je 10 x 18,2-g-Riegel-Pckg.",Nein,2026-04-27 bis 2026-05-03,2026-04-27,2026-05-03,../images/rewe/bamberg_offer_157.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000007,obs_0000024722|obs_0000030994|obs_0000032435|obs_0000029370|obs_0000016459|obs_0000023002|obs_0000028014|obs_0000007682|obs_0000017413|obs_0000018699|obs_0000030987|obs_0000006925|obs_0000018581|obs_0000019862|obs_0000006935|obs_0000029970|obs_0000019495|obs_0000001192|obs_0000022071|obs_0000005840|obs_0000002001|obs_0000023761|obs_0000017628|obs_0000016488|obs_0000028145|obs_0000024180|obs_0000009371|obs_0000014275|obs_0000008282|obs_0000009830|obs_0000006928|obs_0000028142,obs_0000024722|obs_0000030994|obs_0000032435|obs_0000029370|obs_0000016459|obs_0000023002|obs_0000028014,,
Energy Drink,Red Bull,"€ 0,99",,"1 l = 3,96","1 l = 3,96","versch. Sorten, koffeinhaltig, je 0,25-l-Dose, zzgl. 0,25 € Pfand",Nein,2026-04-27 bis 2026-05-03,2026-04-27,2026-05-03,../images/rewe/bamberg_offer_158.jpg,"cat_getraenke,tag_ultra_processed",bamberg,,,ref_000008,obs_0000022027|obs_0000016414|obs_0000021058|obs_0000024154|obs_0000002158|obs_0000026742|obs_0000018063|obs_0000025242|obs_0000002214|obs_0000013993|obs_0000023733|obs_0000000193|obs_0000004816|obs_0000033497|obs_0000026353|obs_0000019186|obs_0000008960|obs_0000023301|obs_0000020239|obs_0000004389|obs_0000000304|obs_0000034110|obs_0000021846|obs_0000018775|obs_0000028526|obs_0000003962|obs_0000027531|obs_0000017338|obs_0000022971|obs_0000026042|obs_0000028643|obs_0000010758|obs_0000028180|obs_0000020512|obs_0000026684|obs_0000011333|obs_0000011355|obs_0000031887|obs_0000017046|obs_0000027310|obs_0000027877|obs_0000025348|obs_0000026886|obs_0000018194|obs_0000028455|obs_0000024876|obs_0000013614|obs_0000010050|obs_0000014658|obs_0000022864,obs_0000010758|obs_0000022027|obs_0000028180|obs_0000016414|obs_0000020512|obs_0000026684|obs_0000021058|obs_0000011333|obs_0000024154|obs_0000011355|obs_0000030304|obs_0000002158|obs_0000029298|obs_0000026742|obs_0000018063|obs_0000031887|obs_0000017046|obs_0000025242|obs_0000002214|obs_0000013993|obs_0000027310|obs_0000023733|obs_0000032439|obs_0000000193|obs_0000004816|obs_0000033497|obs_0000027877|obs_0000026353|obs_0000019186|obs_0000008960|obs_0000025348|obs_0000023301|obs_0000026886|obs_0000020239|obs_0000018194|obs_0000029973|obs_0000032023|obs_0000004389|obs_0000028455|obs_0000024876|obs_0000013614|obs_0000000304|obs_0000034110|obs_0000010050|obs_0000014658|obs_0000022864|obs_0000021331|obs_0000021846|obs_0000018775|obs_0000028526,,
Trinkgenuss,Granini,"€ 1,59",,"pro Einheit = 1,59","pro Einheit = 1,59","versch. Sorten, je 1-l-Fl., zzgl. 0,25 € Pfand",Nein,2026-04-27 bis 2026-05-03,2026-04-27,2026-05-03,../images/rewe/bamberg_offer_160.jpg,cat_getraenke,bamberg,,,ref_000009,obs_0000021656|obs_0000009638|obs_0000022190|obs_0000023008|obs_0000020837|obs_0000017652|obs_0000014838|obs_0000032293|obs_0000029756,obs_0000021656|obs_0000032293|obs_0000009638|obs_0000022190|obs_0000029756|obs_0000023008|obs_0000020837|obs_0000017652|obs_0000014838,,
Mineralwasser,Volvic,"€ 3,99",,"1 l = 0,44","1 l = 0,44","Naturelle, je 6 x 1,5-l-Fl.-Pckg., zzgl. 1,50 € Pfand",Nein,2026-04-27 bis 2026-05-03,2026-04-27,2026-05-03,../images/rewe/bamberg_offer_161.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,BLS-N120000,ref_000010,obs_0000032706|obs_0000005270|obs_0000007093|obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000001349|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332,obs_0000031871|obs_0000028931|obs_0000010519|obs_0000032706,x,
