Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Muffin Chocolate Overkill,Rewe Back-Station,"€ 1,39",Kein vorheriger Preis,"€ 1,39 / Stk -","mit weißen und dunklen Schokostücken sowie Kakaocremefüllung, je St.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Flavour Zitrone,Vöslauer,"€ 3,54",Kein vorheriger Preis,"€ 0,59 / l -","Mineralwasser versch. Sorten, je 6 x 1-l-Fl.-Pckg. zzgl. 1.50 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Zero Sugar,Coca-Cola,"€ 5,99",Kein vorheriger Preis,"€ 1,81 / l -","oder Coca-Cola Zero Friendspack koffeinhaltig, je 10 x 0,33-l-Dosen-Pckg. zzgl. 2.50 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Kaiserschoten,Rewe Beste Wahl,"€ 1,99",Kein vorheriger Preis,"€ 9,95 / kg -","Ursprung: siehe Etikett, Kl. I, je 200-g-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Dolce Gusto Café Au Lait,Nescafé,"€ 3,99",Kein vorheriger Preis,"€ 24,93 / kg -","HINWEIS: MIT APP 0.50 € REWE BONUS je 160-g-Pckg. oder Dolce Gusto Latte Macchiato je 183,2-g-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Limonade,Deit,"€ 9,99",Kein vorheriger Preis,"€ 0,83 / l -","versch. Sorten, teilw. koffeinhaltig, je 12 x 1-l-Fl.-Kasten zzgl. 3.30 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Mini-Croissants Double,7 Days,"€ 1,99",Kein vorheriger Preis,"€ 8,29 / kg -","versch. Sorten, je 4 x 60-g-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Rotkohl,Keine Marke,"€ 0,99",Kein vorheriger Preis,"€ 3,30 / kg -","geschnitten, je 300-g-Btl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Prosecco Frizzante,Scavi & Ray,"€ 5,99",Kein vorheriger Preis,"€ 7,98 / l -","DOC je 0,75-l-Fl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Bio Mangos,Rewe Bio,"€ 1,69",Kein vorheriger Preis,"€ 1,69 / Stk -","Osteen, Kl. II, je St.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Vegan Haferdrink Barista Edition,Oatly,"€ 1,69",Kein vorheriger Preis,"€ 1,69 / l -","HINWEIS: MIT APP 0.10 € REWE BONUS versch. Sorten, je 1-l-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Volkacher Kirchberg Müller-Thurgau,GWF Franken,"€ 5,49",Kein vorheriger Preis,"€ 5,49 / l -","versch. Sorten, je 1-l-Fl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Classic,Fol Epi,"€ 1,69",Kein vorheriger Preis,"€ 11,26 / kg -","HINWEIS: MIT APP 0.20 € REWE BONUS frz. Schnittkäse, je 150-g-Pckg.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Bayern Brotzeitgurken,GEO,"€ 1,49",Kein vorheriger Preis,"€ 4,13 / kg -","oder Gurkensticks 360-g-Abtropfgew., je 670-g-Glas",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Ziegenkäse,Bettine,"€ 1,79",Kein vorheriger Preis,"€ 17,90 / kg -","holl. Frisch- oder Weichkäse, versch. Sorten, je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Urbräu Nürnberger Hell,Tucher,"€ 9,99",Kein vorheriger Preis,"€ 1,00 / l -","oder Pils je 20 x 0,5-l-Fl.- Kasten zzgl. 3.10 Pfand",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Frankissimo Fränkischer Federweisser,Keine Marke,"€ 3,79",Kein vorheriger Preis,"€ 3,79 / l -","versch. Sorten, je 1-l-Fl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
