Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Bildpfad_temp,Preis_num,Quelle_Markt
Polnische Gänsebrust,Keine Marke,"13,99 €",Kein vorheriger Preis,,"Hkl. A, tiefgefroren, je 1 kg",Nein,data\images_temp\bamberg_offer_001.jpg,13.99,bamberg
Mon Chéri,Keine Marke,"4,99 €",Kein vorheriger Preis,"1 kg = 15,84",je 315-g-Pckg,Nein,data\images_temp\bamberg_offer_002.jpg,4.99,bamberg
Henglein Nürnberger Kloßteig oder Klöße halb und halb,Keine Marke,"1,99 €",Kein vorheriger Preis,"1 kg = 2,65",je 750-g-Btl,Nein,data\images_temp\bamberg_offer_003.jpg,1.99,bamberg
Hennessy Very Special Cognac,Keine Marke,"26,99 €",Kein vorheriger Preis,"1 l = 38,56","40% Vol., je 0,7-l-Fl",Nein,data\images_temp\bamberg_offer_004.jpg,26.99,bamberg
Lindt Pralinés Classic,Keine Marke,"8,99 €",Kein vorheriger Preis,"1 kg = 44,95",je 200-g-Pckg,Nein,data\images_temp\bamberg_offer_005.jpg,8.99,bamberg
Galbani Mascarpone,Keine Marke,"4,44 €",Kein vorheriger Preis,"1 kg = 8,88","80% Fett i.Tr., je 500-g-Becher",Nein,data\images_temp\bamberg_offer_006.jpg,4.44,bamberg
Maggi Guten Appetit Suppe,Keine Marke,"0,59 €",Kein vorheriger Preis,,"versch. Sorten, ausreichend für 1 Liter, je Btl",Nein,data\images_temp\bamberg_offer_007.jpg,0.59,bamberg
Valensina Saft,Keine Marke,"1,59 €",Kein vorheriger Preis,,"versch. Sorten, aus Fruchtsaft- konzentrat, je 1-l-Fl, zzgl. 0,25 Pfand",Nein,data\images_temp\bamberg_offer_008.jpg,1.59,bamberg
La Gioiosa Prosecco Frizzante Treviso DOC,Keine Marke,"5,99 €",Kein vorheriger Preis,"1 l = 7,99","je 0,75-l-Fl",Nein,data\images_temp\bamberg_offer_009.jpg,5.99,bamberg
Chantré Weinbrand,Keine Marke,"5,99 €",Kein vorheriger Preis,"1 l = 8,56","36% Vol., je 0,7-l-Fl",Nein,data\images_temp\bamberg_offer_010.jpg,5.99,bamberg
Oro di Parma Tomaten,Keine Marke,"1,99 €",Kein vorheriger Preis,"1 kg = 2,84","passiert, je 700-g-Fl",Nein,data\images_temp\bamberg_offer_011.jpg,1.99,bamberg
Ritter Sport Rum,Keine Marke,"2,99 €",Kein vorheriger Preis,"1 kg = 14,95",je 200-g-Btl,Nein,data\images_temp\bamberg_offer_013.jpg,2.99,bamberg
Freixenet Mia Tinto oder Blanco,Keine Marke,"2,69 €",Kein vorheriger Preis,"1 l = 3,59","halbtrocken, lieblich, je 0,75-l-Fl",Nein,data\images_temp\bamberg_offer_014.jpg,2.69,bamberg
Havana Club Añejo 3 Años oder Especial,Keine Marke,"10,99 €",Kein vorheriger Preis,"1 l = 15,70","37,5% Vol., je 0,7-l-Fl",Nein,data\images_temp\bamberg_offer_015.jpg,10.99,bamberg
Langnese Viennetta,Keine Marke,"1,69 €",Kein vorheriger Preis,"1 l = 2,60","Vanille, je 650-ml-Pckg",Nein,data\images_temp\bamberg_offer_016.jpg,1.69,bamberg
McCain Kroketten,Keine Marke,"1,59 €",Kein vorheriger Preis,"1 kg = 3,18","tiefgefroren, je 500-g-Btl",Nein,data\images_temp\bamberg_offer_017.jpg,1.59,bamberg
Dr. Oetker Crème fraîche oder Creme Vega,Keine Marke,"0,99 €",Kein vorheriger Preis,"1 kg = 6,60",je 150-g-Becher,Nein,data\images_temp\bamberg_offer_018.jpg,0.99,bamberg
Staatl. Fachingen Heilwasser still oder Mineralwasser medium,Keine Marke,"6,99 €",Kein vorheriger Preis,"1 l = 0,78","je 12 x 0,75-l-Fl, zzgl. 3,30 Pfand",Nein,data\images_temp\bamberg_offer_019.jpg,6.99,bamberg
Popp Kartoffel- oder Coleslaw-Salat,Keine Marke,"1,89 €",Kein vorheriger Preis,"1 kg = 4,73",je 400-g-Pckg,Nein,data\images_temp\bamberg_offer_020.jpg,1.89,bamberg
Tulip Bacon XXL,Keine Marke,"4,44 €",Kein vorheriger Preis,"1 kg = 11,84",je 3 x 125-g-Pckg,Nein,data\images_temp\bamberg_offer_021.jpg,4.44,bamberg
Wolfram Berge Tessiner Senfsauce,Keine Marke,"4,99 €",Kein vorheriger Preis,"1 l = 24,95","Grüne Feige, je 200-ml-Glas",Nein,data\images_temp\bamberg_offer_022.jpg,4.99,bamberg
Knorr Schlemmersauce,Keine Marke,"0,99 €",Kein vorheriger Preis,"1 l = 3,96","versch. Sorten, je 250-ml-Fl",Nein,data\images_temp\bamberg_offer_023.jpg,0.99,bamberg
Pfanni Kartoffel Püree,Keine Marke,"1,49 €",Kein vorheriger Preis,"1 kg = 5,26","das Komplette, je 283,5-g-Pckg",Nein,data\images_temp\bamberg_offer_024.jpg,1.49,bamberg
Thomy Delikatess Senf,Keine Marke,"0,99 €",Kein vorheriger Preis,"1 l = 4,95","mittelscharf, je 200-ml-Tube",Nein,data\images_temp\bamberg_offer_025.jpg,0.99,bamberg
Dr. Oetker Mousse au Chocolat,Keine Marke,"1,49 €",Kein vorheriger Preis,"1 kg = 16,20",je 92-g-Pckg,Nein,data\images_temp\bamberg_offer_026.jpg,1.49,bamberg
Pfanni Semmel Knödel,Keine Marke,"1,49 €",Kein vorheriger Preis,"1 kg = 7,45",je 200-g-Pckg,Nein,data\images_temp\bamberg_offer_027.jpg,1.49,bamberg
Metten Roastbeef,Keine Marke,"4,29 €",Kein vorheriger Preis,,"gebraten, je 100 g",Nein,data\images_temp\bamberg_offer_028.jpg,4.29,bamberg
Bosch Kapselmaschine »Tassimo Happy friendly TAS109E«,Keine Marke,"34,99 €",Kein vorheriger Preis,,"ca. 1400 W, je St",Nein,data\images_temp\bamberg_offer_029.jpg,34.99,bamberg
Roastbeef,Keine Marke,"2,99 €",Kein vorheriger Preis,,"vom Rind, je 100 g",Nein,data\images_temp\bamberg_offer_030.jpg,2.99,bamberg
Knoblauch,Keine Marke,"0,89 €",Kein vorheriger Preis,"1 kg = 4,45","Kl. I, je 200-g-Netz",Nein,data\images_temp\bamberg_offer_031.jpg,0.89,bamberg
Frische Kräuter Schnittlauch,Keine Marke,"0,69 €",Kein vorheriger Preis,"1 kg = 27,60","Ursprung: siehe Etikett, je 25-g-Pckg",Nein,data\images_temp\bamberg_offer_032.jpg,0.69,bamberg
Frische Kräuter Petersilie glatt,Keine Marke,"0,69 €",Kein vorheriger Preis,"1 kg = 17,25","Ursprung: siehe Etikett, je 40-g-Pckg",Nein,data\images_temp\bamberg_offer_033.jpg,0.69,bamberg
McCain Kroketten Trio,Keine Marke,"1,59 €",Kein vorheriger Preis,"1 kg = 2,65","tiefgefroren, je 600-g-Btl",Nein,data\images_temp\bamberg_offer_034.jpg,1.59,bamberg
