Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Polnische Gänsebrust,Keine Marke,"€ 13,99",Kein vorheriger Preis,Kein Mengenpreis,"Hkl. A, tiefgefroren, je 1 kg",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_01.jpg
Mon Chéri,Keine Marke,"€ 4,99",Kein vorheriger Preis,"1 kg = 15,84",je 315-g-Pckg,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_02.jpg
Henglein Nürnberger Kloßteig oder Klöße halb und halb,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 2,65",je 750-g-Btl,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_03.jpg
Hennessy Very Special Cognac,Keine Marke,"€ 26,99",Kein vorheriger Preis,"1 l = 38,56","40% Vol., je 0,7-l-Fl",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_04.jpg
Lindt Pralinés Classic,Keine Marke,"€ 8,99",Kein vorheriger Preis,"1 kg = 44,95",je 200-g-Pckg,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_05.jpg
Galbani Mascarpone,Keine Marke,"€ 4,44",Kein vorheriger Preis,"1 kg = 8,88","80% Fett i.Tr., je 500-g-Becher",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_06.jpg
Maggi Guten Appetit Suppe,Keine Marke,"€ 0,59",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, ausreichend für 1 Liter, je Btl",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_07.jpg
Valensina Saft,Keine Marke,"€ 1,59",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, aus Fruchtsaft- konzentrat, je 1-l-Fl, zzgl. 0,25 Pfand",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_08.jpg
La Gioiosa Prosecco Frizzante Treviso DOC,Keine Marke,"€ 5,99",Kein vorheriger Preis,"1 l = 7,99","je 0,75-l-Fl",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_09.jpg
Chantré Weinbrand,Keine Marke,"€ 5,99",Kein vorheriger Preis,"1 l = 8,56","36% Vol., je 0,7-l-Fl",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_10.jpg
Oro di Parma Tomaten,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 2,84","passiert, je 700-g-Fl",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_11.jpg
Ritter Sport Rum,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 14,95",je 200-g-Btl,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_13.jpg
Freixenet Mia Tinto oder Blanco,Keine Marke,"€ 2,69",Kein vorheriger Preis,"1 l = 3,59","halbtrocken, lieblich, je 0,75-l-Fl",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_14.jpg
Havana Club Añejo 3 Años oder Especial,Keine Marke,"€ 10,99",Kein vorheriger Preis,"1 l = 15,70","37,5% Vol., je 0,7-l-Fl",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_15.jpg
Langnese Viennetta,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 l = 2,60","Vanille, je 650-ml-Pckg",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_16.jpg
McCain Kroketten,Keine Marke,"€ 1,59",Kein vorheriger Preis,"1 kg = 3,18","tiefgefroren, je 500-g-Btl",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_17.jpg
Dr. Oetker Crème fraîche oder Creme Vega,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 6,60",je 150-g-Becher,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_18.jpg
Staatl. Fachingen Heilwasser still oder Mineralwasser medium,Keine Marke,"€ 6,99",Kein vorheriger Preis,"1 l = 0,78","je 12 x 0,75-l-Fl, zzgl. 3,30 Pfand",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_19.jpg
Popp Kartoffel- oder Coleslaw-Salat,Keine Marke,"€ 1,89",Kein vorheriger Preis,"1 kg = 4,73",je 400-g-Pckg,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_20.jpg
Tulip Bacon XXL,Keine Marke,"€ 4,44",Kein vorheriger Preis,"1 kg = 11,84",je 3 x 125-g-Pckg,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_21.jpg
Wolfram Berge Tessiner Senfsauce,Keine Marke,"€ 4,99",Kein vorheriger Preis,"1 l = 24,95","Grüne Feige, je 200-ml-Glas",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_22.jpg
Knorr Schlemmersauce,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 l = 3,96","versch. Sorten, je 250-ml-Fl",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_23.jpg
Pfanni Kartoffel Püree,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 5,26","das Komplette, je 283,5-g-Pckg",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_24.jpg
Thomy Delikatess Senf,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 l = 4,95","mittelscharf, je 200-ml-Tube",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_25.jpg
Dr. Oetker Mousse au Chocolat,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 16,20",je 92-g-Pckg,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_26.jpg
Pfanni Semmel Knödel,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 7,45",je 200-g-Pckg,Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_27.jpg
Metten Roastbeef,Keine Marke,"€ 4,29",Kein vorheriger Preis,Kein Mengenpreis,"gebraten, je 100 g",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_28.jpg
Bosch Kapselmaschine »Tassimo Happy friendly TAS109E«,Keine Marke,"€ 34,99",Kein vorheriger Preis,Kein Mengenpreis,"ca. 1400 W, je St",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_29.jpg
Roastbeef,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,"vom Rind, je 100 g",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_30.jpg
Knoblauch,Keine Marke,"€ 0,89",Kein vorheriger Preis,"1 kg = 4,45","Kl. I, je 200-g-Netz",Nein,15.12.2025 bis 21.12.2025,2025-12-15,2025-12-21,images_rewe/rewe_offer_31.jpg
