Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Dusche,Axe,"€ 2,49",Kein vorheriger Preis,"€ 9,96 / l -",250/225 ml,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Grüner Tee,King's Crown,"€ 2,29","€ 2,79","€ 9,16 / kg -",oder Schwarzer Tee je 250 g,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Man EdT,La Rive,"€ 5,49",Kein vorheriger Preis,"€ 54,90 / l -",75 - 100 ml oder Woman Eau de Parfum 50 - 100 ml,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Deospray,Hidrofugal,"€ 3,49",Kein vorheriger Preis,"€ 23,27 / l -",150 ml,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Deo-Spray,Fa,"€ 1,29",Kein vorheriger Preis,"€ 8,60 / l -",150 ml oder Deo Roll-on 50 ml,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Kraft-Aktiv,WC Frisch,"€ 3,29",Kein vorheriger Preis,"€ 21,93 / kg -","Super Pack 3 x 50 g, 2+1 Aktion 2 x WC Frisch Kraft Aktiv Super-Pack 3 x 50 g kaufen – 1 x gratis da...",Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Holz-Spielesammlung,Rossmann Ideen Welt,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",Details im Prospekt.,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Becher Action-Cup,Nuk,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",oder Magic Cup 230 ml je Stück,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Badekugel,Isana Kids,"€ 2,29",Kein vorheriger Preis,"€ 2,29 / Stk -",Stück,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Wärmetier,Rossmann Ideen Welt,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",Details im Prospekt.,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Wintersöckchen mit Wolle,Rossmann Ideen Welt,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",Details im Prospekt.,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Damen-Fleecejacke,Rossmann Ideen Welt,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",Details im Prospekt.,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
Damen Jeans mit weitem Bein,Rossmann Ideen Welt,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt.,Nein,03.11. - 07.11.,2025-11-03,2025-11-07
