Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Bio-Café Intención Espresso Intensivo,J. J. Darboven,"17,99 €",,"19,99 €",,Nein,,,,images_tegut/tegut_offer_001.jpg
Bio-Sauerteigbrötchen,Herzberger,"1,79 €",,"1 kg = 7,96 €",,Nein,,,,images_tegut/tegut_offer_002.jpg
Gouda jung,Landana,"0,89 €",,"1,49 €",,Nein,,,,images_tegut/tegut_offer_003.jpg
Finesse Putenbrust mit Honig,Herta,"ab 1,29 €",,"1 kg = 12,90 €",,Nein,,,,images_tegut/tegut_offer_004.jpg
Seelachsfilet,Seelachsfilet,"1,99 €",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_005.jpg
Bio-Feldsalat,tegut...,"0,99 €",,"1 kg = 7,92 €",,Nein,,,,images_tegut/tegut_offer_006.jpg
Premium Pils,Hasseröder,"8,88 €",,"15,99 €",,Nein,,,,images_tegut/tegut_offer_007.jpg
Steinofen-Pizza oder Flammkuchen,Wagner,"ab 1,79 € *",,"1 kg = 5,11/5.97",,Nein,,,,images_tegut/tegut_offer_008.jpg
20 % Rabatt,Ferrero,"2,99 €",,,,Nein,,,,images_tegut/tegut_offer_009.jpg
Bio-Aubergine,Bio-Aubergine,"1,99 €",,,,Nein,,,,images_tegut/tegut_offer_010.jpg
Bio-Süßkartoffeln,Bioland,"3,99 €",,,,Nein,,,,images_tegut/tegut_offer_011.jpg
Bio vegan Bio-Falafel,tegut...,"1,99 €",,"2,29 €",,Nein,,,,images_tegut/tegut_offer_012.jpg
Alnatura Tahin Sesampaste,Alnatura Tahin Sesampaste,"ab 2,99 €",,"1 kg = 9,97 €",,Nein,,,,images_tegut/tegut_offer_013.jpg
Couscous,tegut...,"1,29 €",,"1,49 €",,Nein,,,,images_tegut/tegut_offer_014.jpg
20 % Rabatt,Truly Indian,"2,99 €",,,,Nein,,,,images_tegut/tegut_offer_015.jpg
Greco Original Griechischer Sahnejoghurt,Greco Original Griechischer Sahnejoghurt,"0,99 €",,"1,59 €",,Nein,,,,images_tegut/tegut_offer_016.jpg
20 % Rabatt,Meray,"2,99 €",,,,Nein,,,,images_tegut/tegut_offer_017.jpg
Okra,Okra,"2,99 €",,"1 kg = 14,95 €",,Nein,,,,images_tegut/tegut_offer_018.jpg
Bio-Hähnchenschenkel,Bio-Hähnchenschenkel,"1,49 €",,,,Nein,,,,images_tegut/tegut_offer_019.jpg
Blumenkohl,Blumenkohl,"1,99 €",,,,Nein,,,,images_tegut/tegut_offer_020.jpg
Bio-Edamame,Organic,"2,79 €",,"1 kg = 9,30 €",,Nein,,,,images_tegut/tegut_offer_021.jpg
Hummus oder Brotaufstrich,NOA,"1,99 €",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_022.jpg
Sonnenblumenkerne,Bazar,"2,49 €",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_023.jpg
Bio-Datteln,Bio-Datteln,"1,99 €",,,,Nein,,,,images_tegut/tegut_offer_024.jpg
Bio-Basmatireis,Alnatura,"3,99 €",,"4,49 €",,Nein,,,,images_tegut/tegut_offer_025.jpg
Lammhüfte,Lammhüfte,"3,49 €",,,,Nein,,,,images_tegut/tegut_offer_026.jpg
Indian Naan Brot,Mestemacher,"1,99 €",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_027.jpg
Hummus,NOA,"0,99 €",,"1 kg = 11,37 €",,Nein,,,,images_tegut/tegut_offer_028.jpg
15 % Rabatt,Lebensbaum,"2,99 €",,,,Nein,,,,images_tegut/tegut_offer_029.jpg
Kichererbsen,tegut...,"1,99 €",,"2,29 €",,Nein,,,,images_tegut/tegut_offer_030.jpg
Original,Leerdammer,"ab 1,49 € *",,"1 kg = 10,60/11,92 €",,Nein,,,,images_tegut/tegut_offer_031.jpg
Bio-Rinderhackfleisch,Bio-Rinderhackfleisch,"6,99 €",,"1 kg = 17,48 €",,Nein,,,,images_tegut/tegut_offer_032.jpg
Pils,Beck's,"ab 10,99 €",,"1 l = 1,39/1,10 €",,Nein,,,,images_tegut/tegut_offer_033.jpg
Erdnuß Locken,Lorenz,"1,11 €",,"2,19 €",,Nein,,,,images_tegut/tegut_offer_034.jpg
Bio-Cocktailtomaten,tegut...,"1,00 €",,"1 kg = 4,00 €",,Nein,,,,images_tegut/tegut_offer_035.jpg
Joghurtalternative Natur,alpro,"1,49 €",,"1,99 €",,Nein,,,,images_tegut/tegut_offer_036.jpg
Chicorée,tegut,"1,99 €",,"1 kg = 3,98 €",,Nein,,,,images_tegut/tegut_offer_037.jpg
Bio-Gurke,tegut...,"ab 1,49 € *",,,,Nein,,,,images_tegut/tegut_offer_038.jpg
Bio-Champignons braun,Naturland,"0,99 €",,,,Nein,,,,images_tegut/tegut_offer_039.jpg
Bio-Strauchtomaten,demeter,"2,99 €",,"1 kg = 5,98 €",,Nein,,,,images_tegut/tegut_offer_040.jpg
"Paprika spitz, rot","Paprika spitz, rot","1,99 €",,"1 kg = 3,98 €",,Nein,,,,images_tegut/tegut_offer_041.jpg
Polsterstaude 'Iberis',Polsterstaude 'Iberis',"2,99 €",,,,Nein,,,,images_tegut/tegut_offer_042.jpg
Bio-Fenchel,demeter,"1,49 €",,,,Nein,,,,images_tegut/tegut_offer_043.jpg
Lemon Snack,Lemon Snack,"2,99 €",,"1 kg = 11,96 €",,Nein,,,,images_tegut/tegut_offer_044.jpg
Bio-Avocado,Bio-Avocado,"1,99 €",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_045.jpg
Mango,Mango,"0,99 €",,,,Nein,,,,images_tegut/tegut_offer_046.jpg
