Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Nutella,Ferrero,"€ 3,99",,"5,29 €",,Nein,,,,images_tegut/tegut_offer_001.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Mineralwasser,tegut,"€ 4,44",,"1 l = 0,25 €",,Nein,,,,images_tegut/tegut_offer_002.jpg,cat_getraenke
Bio-Laugenstange,Herzberger,"€ 1,79",,"1 kg = 6,49 €",,Nein,,,,images_tegut/tegut_offer_003.jpg,"cat_grundnahrung,diet_vegetarian"
Kalbsrücken,Kalbsrücken,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_004.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_rind,tag_high_protein,tag_proteinreich,tag_whole_food"
Kamillen-Toilettenpapier,Regina,"€ 4,44",,"6,99 €",,Nein,,,,images_tegut/tegut_offer_005.jpg,cat_drogerie
Skrei-Winterkabeljaufilet,Skrei-Winterkabeljaufilet,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_006.jpg,cat_fisch_meeresfruechte
Bavaria blu,Bergader,"€ 1,99",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_007.jpg,"cat_getraenke,tag_ultra_processed"
Eis,Magnum,"€ 2,79",,1 l = 10.94/8.45,,Nein,,,,images_tegut/tegut_offer_008.jpg,"cat_tiefkuehl,sub_tk_eis,tag_ultra_processed"
Arrabbiata Bio-Nudelsauce,PPURA,"€ 2,49",,"1 kg = 7,32 €",,Nein,,,,images_tegut/tegut_offer_009.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian"
Bio-Mozzarella,Alnatura,"€ 1,39",,"1 kg = 11,12 €",,Nein,,,,images_tegut/tegut_offer_010.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_whole_food"
Ravioli,Rana,"€ 2,79",,"3,79 €",,Nein,,,,images_tegut/tegut_offer_011.jpg,"cat_grundnahrung,diet_vegetarian,sub_nudeln"
geriebener Käse Cheddar,Kerrygold,"€ 1,79",,"1 kg = 11,93 €",,Nein,,,,images_tegut/tegut_offer_012.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed"
Pizza Prosciutto,Lentini,"€ 4,99",,"1 kg = 11,09/12,48 €",,Nein,,,,images_tegut/tegut_offer_013.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_high_protein,tag_proteinreich,tag_ultra_processed"
Pasta,De Cecco,"€ 1,49",,"1 kg = 2,98 €",,Nein,,,,images_tegut/tegut_offer_014.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln"
Olivenöl Delicato,Monini,"€ 6,99",,"1 l = 13,98 €",,Nein,,,,images_tegut/tegut_offer_015.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Cannelloni Spinat Ricotta,tegut,"€ 2,79",,"3,29 €",,Nein,,,,images_tegut/tegut_offer_016.jpg,cat_grundnahrung
Tomatenmark,Oro Di Parma,"€ 1,49",,"1,99 €",,Nein,,,,images_tegut/tegut_offer_017.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Semola Nudelmehl,De Cecco,"€ 2,79",,"3,29 €",,Nein,,,,images_tegut/tegut_offer_018.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
frische Tortelloni,tegut,"€ 2,49",,"1 kg = 8,30 €",,Nein,,,,images_tegut/tegut_offer_019.jpg,cat_grundnahrung
Pasta Collezione Cannelloni,Barilla,"€ 1,99",,"1 kg = 3,98 €",,Nein,,,,images_tegut/tegut_offer_020.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln"
Pecorino Romano,Granterre,"€ 4,99",,"5,99 €",,Nein,,,,images_tegut/tegut_offer_021.jpg,"cat_getraenke,diet_vegan,diet_vegetarian"
Pesto,Barilla,"€ 1,99",,"1 kg = 10,47",,Nein,,,,images_tegut/tegut_offer_022.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln,tag_ultra_processed"
Passierte Tomaten,Pomito,"€ 1,29",,"1 kg = 2,58 €",,Nein,,,,images_tegut/tegut_offer_023.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Äpfel,Äpfel,"€ 1,00",,"1 kg = 1,25 €",,Nein,,,,images_tegut/tegut_offer_024.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Auslese Klassisch,Melitta,"€ 6,99",,"1 kg = 13,98 €",,Nein,,,,images_tegut/tegut_offer_025.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian"
Almighurt,Ehrmann,"€ 1,09",,"1 kg = 2,18 €",,Nein,,,,images_tegut/tegut_offer_026.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte"
Bio-Putenschnitzel,Bio-Putenschnitzel,"€ 8,99",,"1 kg = 29,97 €",,Nein,,,,images_tegut/tegut_offer_027.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_schwein"
Pilsner,Radeberger,"€ 11,99",,"16,99 €",,Nein,,,,images_tegut/tegut_offer_028.jpg,cat_getraenke
Sylter Käse,Milram,"€ 1,49",,"2,59 €",,Nein,,,,images_tegut/tegut_offer_029.jpg,cat_molkerei_kaese
