Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,reference_row_id.1,rough_match_observation_ids.1,exact_match_observation_ids.1
Herz Bio-Emmentaler,Herz Bio-Emmentaler,"€ 1,49",,"pro Einheit = 2,79",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_001.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_whole_food",,ref_000001,obs_0000034090|obs_0000005907|obs_0000006459|obs_0000006807|obs_0000009063|obs_0000025531|obs_0000001559|obs_0000010030|obs_0000018426|obs_0000018479|obs_0000002340|obs_0000003417|obs_0000012386|obs_0000022007|obs_0000022237|obs_0000031831|obs_0000031880,,ref_000001,obs_0000034090|obs_0000005907|obs_0000006459|obs_0000006807|obs_0000009063|obs_0000025531|obs_0000001559|obs_0000010030|obs_0000018426|obs_0000018479|obs_0000002340|obs_0000003417|obs_0000012386|obs_0000022007|obs_0000022237|obs_0000031831|obs_0000031880,
Seelachsfilet,Seelachsfilet,"€ 1,99",,"pro Einheit = 1,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_002.jpg,"cat_fisch_meeresfruechte,tag_high_protein,tag_proteinreich",,ref_000002,obs_0000033683|obs_0000008774|obs_0000015372|obs_0000034936|obs_0000014038|obs_0000031739|obs_0000005403|obs_0000007212,obs_0000008774|obs_0000015372|obs_0000034936|obs_0000033683|obs_0000014038|obs_0000031739,ref_000002,obs_0000033683|obs_0000008774|obs_0000015372|obs_0000034936|obs_0000014038|obs_0000031739|obs_0000005403|obs_0000007212,obs_0000008774|obs_0000015372|obs_0000034936|obs_0000033683|obs_0000014038|obs_0000031739
Wisch Weg Küchentücher,Zewa,"€ 2,49",,"pro Einheit = 3,29",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_003.jpg,cat_non_food,,ref_000003,obs_0000026280|obs_0000033889|obs_0000028798|obs_0000011159|obs_0000032862|obs_0000007116|obs_0000007500|obs_0000007925|obs_0000028745|obs_0000017283|obs_0000026500|obs_0000028044|obs_0000023316|obs_0000034463|obs_0000018046|obs_0000027452|obs_0000013759|obs_0000020296|obs_0000025544|obs_0000002895|obs_0000034991|obs_0000014417|obs_0000027217|obs_0000010070|obs_0000011370|obs_0000016235|obs_0000019566|obs_0000022123|obs_0000022515|obs_0000014197|obs_0000021115,,ref_000003,obs_0000026280|obs_0000033889|obs_0000028798|obs_0000011159|obs_0000032862|obs_0000007116|obs_0000007500|obs_0000007925|obs_0000028745|obs_0000017283|obs_0000026500|obs_0000028044|obs_0000023316|obs_0000034463|obs_0000018046|obs_0000027452|obs_0000013759|obs_0000020296|obs_0000025544|obs_0000002895|obs_0000034991|obs_0000014417|obs_0000027217|obs_0000010070|obs_0000011370|obs_0000016235|obs_0000019566|obs_0000022123|obs_0000022515|obs_0000014197|obs_0000021115,
Bio-Laugenbrezel,Herzberger,"€ 1,99",,"1 kg = 7,54",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_004.jpg,"cat_grundnahrung,diet_vegetarian",,ref_000004,obs_0000033746|obs_0000034277|obs_0000035107|obs_0000026070|obs_0000001555|obs_0000026328|obs_0000006064|obs_0000014330|obs_0000014992,obs_0000033746|obs_0000034277|obs_0000035107,ref_000004,obs_0000033746|obs_0000034277|obs_0000035107|obs_0000026070|obs_0000001555|obs_0000026328|obs_0000006064|obs_0000014330|obs_0000014992,obs_0000033746|obs_0000034277|obs_0000035107
Steinofen-Pizza,Wagner,"€ 1,79",,"pro Einheit = 1,79",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_005.jpg,"cat_tiefkuehl,sub_tk_pizza,tag_ultra_processed",,ref_000005,obs_0000002723|obs_0000026375|obs_0000008618|obs_0000022498|obs_0000000012|obs_0000000533|obs_0000003725|obs_0000006160|obs_0000013341|obs_0000023186|obs_0000014511|obs_0000025810|obs_0000005867|obs_0000010530|obs_0000015695|obs_0000012202|obs_0000007794|obs_0000031990|obs_0000032628|obs_0000030162|obs_0000006150|obs_0000006664|obs_0000007601|obs_0000005579,obs_0000002723|obs_0000026375|obs_0000008618,ref_000005,obs_0000002723|obs_0000026375|obs_0000008618|obs_0000022498|obs_0000000012|obs_0000000533|obs_0000003725|obs_0000006160|obs_0000013341|obs_0000023186|obs_0000014511|obs_0000025810|obs_0000005867|obs_0000010530|obs_0000015695|obs_0000012202|obs_0000007794|obs_0000031990|obs_0000032628|obs_0000030162|obs_0000006150|obs_0000006664|obs_0000007601|obs_0000005579,obs_0000002723|obs_0000026375|obs_0000008618
Coca-Cola,Coca-Cola,"€ 0,79",,"1 l = 0,79",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_006.jpg,"cat_getraenke,sub_tk_fertiggerichte,tag_high_protein,tag_proteinreich,tag_ultra_processed",,ref_000006,obs_0000023586|obs_0000001110|obs_0000024676|obs_0000024165|obs_0000001642|obs_0000023740|obs_0000034042|obs_0000034648|obs_0000033681|obs_0000034234|obs_0000034810|obs_0000005638|obs_0000030302|obs_0000032440|obs_0000005827|obs_0000029418|obs_0000006901|obs_0000006909|obs_0000029979|obs_0000006021|obs_0000032705|obs_0000030680|obs_0000007669|obs_0000032254|obs_0000026646|obs_0000028226|obs_0000004177|obs_0000031900|obs_0000021663|obs_0000026287|obs_0000026323|obs_0000008921|obs_0000017639|obs_0000000810|obs_0000016686|obs_0000009023|obs_0000022338|obs_0000017246|obs_0000020844|obs_0000016754|obs_0000028026|obs_0000027015|obs_0000027037|obs_0000009119|obs_0000019364|obs_0000005031|obs_0000000445|obs_0000018375|obs_0000003042|obs_0000004604,obs_0000005638|obs_0000023586|obs_0000001110|obs_0000030302|obs_0000024676|obs_0000024165|obs_0000001642|obs_0000032440|obs_0000023740|obs_0000005827|obs_0000029418|obs_0000006901|obs_0000034042|obs_0000006909|obs_0000029979|obs_0000034648|obs_0000006021|obs_0000033681|obs_0000034234|obs_0000032705|obs_0000030680|obs_0000007669|obs_0000034810|obs_0000032254,ref_000006,obs_0000023586|obs_0000001110|obs_0000024676|obs_0000024165|obs_0000001642|obs_0000023740|obs_0000034042|obs_0000034648|obs_0000033681|obs_0000034234|obs_0000034810|obs_0000005638|obs_0000030302|obs_0000032440|obs_0000005827|obs_0000029418|obs_0000006901|obs_0000006909|obs_0000029979|obs_0000006021|obs_0000032705|obs_0000030680|obs_0000007669|obs_0000032254|obs_0000026646|obs_0000028226|obs_0000004177|obs_0000031900|obs_0000021663|obs_0000026287|obs_0000026323|obs_0000008921|obs_0000017639|obs_0000000810|obs_0000016686|obs_0000009023|obs_0000022338|obs_0000017246|obs_0000020844|obs_0000016754|obs_0000028026|obs_0000027015|obs_0000027037|obs_0000009119|obs_0000019364|obs_0000005031|obs_0000000445|obs_0000018375|obs_0000003042|obs_0000004604,obs_0000005638|obs_0000023586|obs_0000001110|obs_0000030302|obs_0000024676|obs_0000024165|obs_0000001642|obs_0000032440|obs_0000023740|obs_0000005827|obs_0000029418|obs_0000006901|obs_0000034042|obs_0000006909|obs_0000029979|obs_0000034648|obs_0000006021|obs_0000033681|obs_0000034234|obs_0000032705|obs_0000030680|obs_0000007669|obs_0000034810|obs_0000032254
Kaffee,Käfer,"€ 11,99",,"pro Einheit = 14,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_007.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",BLS-N410100,ref_000007,obs_0000012856|obs_0000012375|obs_0000011954|obs_0000014593|obs_0000024909|obs_0000013724|obs_0000015279|obs_0000010719|obs_0000022517|obs_0000007172|obs_0000001036|obs_0000011792|obs_0000015886|obs_0000014364|obs_0000031774|obs_0000008737|obs_0000005168|obs_0000012378|obs_0000001674|obs_0000018585|obs_0000011952|obs_0000007356|obs_0000027842|obs_0000005362|obs_0000027412|obs_0000034615|obs_0000027964|obs_0000024390|obs_0000010059|obs_0000000848|obs_0000009608|obs_0000023971|obs_0000033702|obs_0000034731|obs_0000013262|obs_0000011764|obs_0000026632|obs_0000001035|obs_0000001037|obs_0000001038|obs_0000001039|obs_0000029713|obs_0000021523|obs_0000025137|obs_0000025139|obs_0000030782|obs_0000025157|obs_0000011344|obs_0000002651|obs_0000010346,obs_0000012856|obs_0000012375|obs_0000011954|obs_0000014593|obs_0000024909|obs_0000013724|obs_0000015279|obs_0000010719|obs_0000022517,ref_000007,obs_0000012856|obs_0000012375|obs_0000011954|obs_0000014593|obs_0000024909|obs_0000013724|obs_0000015279|obs_0000010719|obs_0000022517|obs_0000007172|obs_0000001036|obs_0000011792|obs_0000015886|obs_0000014364|obs_0000031774|obs_0000008737|obs_0000005168|obs_0000012378|obs_0000001674|obs_0000018585|obs_0000011952|obs_0000007356|obs_0000027842|obs_0000005362|obs_0000027412|obs_0000034615|obs_0000027964|obs_0000024390|obs_0000010059|obs_0000000848|obs_0000009608|obs_0000023971|obs_0000033702|obs_0000034731|obs_0000013262|obs_0000011764|obs_0000026632|obs_0000001035|obs_0000001037|obs_0000001038|obs_0000001039|obs_0000029713|obs_0000021523|obs_0000025137|obs_0000025139|obs_0000030782|obs_0000025157|obs_0000011344|obs_0000002651|obs_0000010346,obs_0000012856|obs_0000012375|obs_0000011954|obs_0000014593|obs_0000024909|obs_0000013724|obs_0000015279|obs_0000010719|obs_0000022517
Mineralwasser,Adelholzener,"€ 5,55",,"1 l = 0,46",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_009.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000009,obs_0000028841|obs_0000031006|obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332|obs_0000031249|obs_0000002068|obs_0000024088|obs_0000029232|obs_0000031834,obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332,ref_000009,obs_0000028841|obs_0000031006|obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332|obs_0000031249|obs_0000002068|obs_0000024088|obs_0000029232|obs_0000031834,obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332
Gourmet-Frühstück Fruchtaufstrich,Mövenpick,"€ 1,99",,"pro Einheit = 2,79",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_010.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000010,obs_0000009246|obs_0000031313|obs_0000009719|obs_0000014391|obs_0000030000|obs_0000005193|obs_0000011341|obs_0000008800|obs_0000013668|obs_0000016747|obs_0000013209,obs_0000009246|obs_0000031313|obs_0000009719,ref_000010,obs_0000009246|obs_0000031313|obs_0000009719|obs_0000014391|obs_0000030000|obs_0000005193|obs_0000011341|obs_0000008800|obs_0000013668|obs_0000016747|obs_0000013209,obs_0000009246|obs_0000031313|obs_0000009719
Großmutters Küche Eierteigwaren,Tress,"€ 2,49",,"pro Einheit = 3,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_tegut/tegut_offer_011.jpg,"cat_grundnahrung,diet_vegetarian,sub_nudeln",,ref_000011,obs_0000034216|obs_0000007986,obs_0000034216|obs_0000035014,ref_000011,obs_0000034216|obs_0000007986,obs_0000034216|obs_0000035014
