Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Eis,Magnum,"€ 2,79",,"1 l = 10,94",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_001.jpg,"cat_tiefkuehl,sub_tk_eis,tag_ultra_processed",,,ref_000001,obs_0000034392|obs_0000018692|obs_0000025743|obs_0000017710|obs_0000011490|obs_0000025829|obs_0000013168|obs_0000013833|obs_0000027306|obs_0000013034|obs_0000014373|obs_0000011899|obs_0000007041|obs_0000025236|obs_0000029345|obs_0000030502|obs_0000022962|obs_0000028855|obs_0000005945|obs_0000009795|obs_0000025807|obs_0000027474|obs_0000001749|obs_0000001750|obs_0000005210|obs_0000007392|obs_0000008928|obs_0000006504|obs_0000009324|obs_0000027503|obs_0000027646|obs_0000005767|obs_0000005768|obs_0000006667|obs_0000006670|obs_0000006159|obs_0000005399|obs_0000005017|obs_0000028456|obs_0000012333|obs_0000003118|obs_0000006319|obs_0000000434|obs_0000007599|obs_0000007600|obs_0000008369|obs_0000011056|obs_0000005948|obs_0000006847|obs_0000018370,obs_0000018692|obs_0000025743|obs_0000017710|obs_0000034392|obs_0000011490|obs_0000025829|obs_0000013168
Rinderhackfleisch,Bio,"€ 6,99",,"1 kg = 17,48",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_002.jpg,"cat_fleisch_wurst,sub_hackfleisch,sub_rind,tag_high_protein,tag_proteinreich",,BLS-U020100,ref_000002,obs_0000015745|obs_0000007438|obs_0000013853|obs_0000007982|obs_0000029512|obs_0000014160|obs_0000008675|obs_0000005990|obs_0000008682|obs_0000009203|obs_0000015350|obs_0000010999|obs_0000005246|obs_0000009367|obs_0000011425|obs_0000034728|obs_0000020145|obs_0000021683|obs_0000006202|obs_0000020964|obs_0000033894|obs_0000012294|obs_0000014474,obs_0000015745|obs_0000007438|obs_0000013853|obs_0000007982|obs_0000029512|obs_0000014160|obs_0000008675|obs_0000005990|obs_0000008682|obs_0000009203|obs_0000015350|obs_0000010999|obs_0000005246
Bio-Roggenbrötchen,Herzberger,"€ 1,99",,"pro Einheit = 2,89",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_003.jpg,"cat_grundnahrung,diet_vegetarian",,,ref_000003,obs_0000005496|obs_0000031263,obs_0000033745
Lachsfilet,Lachsfilet,"€ 2,99",,"pro Einheit = 2,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_004.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich",,,ref_000004,obs_0000034280|obs_0000028347|obs_0000010175|obs_0000031809|obs_0000008391|obs_0000014208|obs_0000033948|obs_0000034718|obs_0000021540|obs_0000015784|obs_0000028079|obs_0000006326|obs_0000018870|obs_0000018885|obs_0000009680|obs_0000010448|obs_0000025684|obs_0000005590|obs_0000014936|obs_0000027994|obs_0000019689|obs_0000009198|obs_0000020721|obs_0000023812|obs_0000023815|obs_0000023816|obs_0000023817|obs_0000023818|obs_0000011020|obs_0000001421|obs_0000024235|obs_0000024237|obs_0000024238|obs_0000024240|obs_0000024241|obs_0000027591|obs_0000030540|obs_0000029555|obs_0000012790|obs_0000018827|obs_0000017429|obs_0000007205|obs_0000010613|obs_0000029559,obs_0000028347|obs_0000010175|obs_0000031809|obs_0000008391|obs_0000034280|obs_0000014208
Mineralwasser still,Black Forest,"€ 3,99",,"pro Einheit = 5,49",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_005.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,BLS-N128000,ref_000005,obs_0000024088|obs_0000024512|obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332|obs_0000013050|obs_0000015241|obs_0000032482,obs_0000024088|obs_0000024512
Bio-Weideglück,Bioland,"€ 0,99",,"pro Einheit = 1,79",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_006.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000006,obs_0000034276,obs_0000034276
Waschmittel,Persil,"€ 4,99",,"pro Einheit = 6,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_007.jpg,cat_drogerie,,,ref_000007,obs_0000018542|obs_0000019568|obs_0000012454|obs_0000025598|obs_0000018449|obs_0000034866|obs_0000027703|obs_0000012875|obs_0000016462|obs_0000023646|obs_0000024174|obs_0000013946|obs_0000025217|obs_0000026760|obs_0000021665|obs_0000033445|obs_0000002728|obs_0000023748|obs_0000023244|obs_0000025812|obs_0000018152|obs_0000017654|obs_0000015109|obs_0000033069|obs_0000022331|obs_0000022340|obs_0000018794|obs_0000020846|obs_0000019827|obs_0000022410|obs_0000012181|obs_0000003486|obs_0000019384|obs_0000017352|obs_0000026568|obs_0000022520|obs_0000032848|obs_0000034457|obs_0000033599|obs_0000033136|obs_0000034253|obs_0000005662|obs_0000029731|obs_0000033858|obs_0000033361|obs_0000033370|obs_0000001139|obs_0000024698|obs_0000007291|obs_0000033426,obs_0000018449|obs_0000034866|obs_0000027703|obs_0000012875|obs_0000016462|obs_0000023646|obs_0000018542|obs_0000024174|obs_0000019568|obs_0000013946|obs_0000025217|obs_0000026760|obs_0000021665|obs_0000033445|obs_0000012454|obs_0000002728|obs_0000023748|obs_0000023244|obs_0000025812|obs_0000018152|obs_0000017654|obs_0000015109|obs_0000033069|obs_0000022331|obs_0000033599|obs_0000022340|obs_0000018794|obs_0000020846|obs_0000019827|obs_0000022410|obs_0000012181|obs_0000003486|obs_0000019384|obs_0000017352|obs_0000026568|obs_0000022520|obs_0000025598
Schokolade,Milka,"€ 0,99",,"1 kg = 11,00",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_008.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,BLS-S500000,ref_000008,obs_0000015893|obs_0000027700|obs_0000028232|obs_0000013394|obs_0000015454|obs_0000034408|obs_0000025739|obs_0000008861|obs_0000015026|obs_0000017605|obs_0000034013|obs_0000018155|obs_0000018698|obs_0000014104|obs_0000031011|obs_0000011112|obs_0000008610|obs_0000006579|obs_0000012219|obs_0000026556|obs_0000022979|obs_0000001524|obs_0000011783|obs_0000013879|obs_0000028244|obs_0000028249|obs_0000000091|obs_0000004705|obs_0000031849|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000000230|obs_0000003326|obs_0000004873|obs_0000003851|obs_0000010522|obs_0000002336|obs_0000033056|obs_0000021291|obs_0000016691|obs_0000004446|obs_0000008595|obs_0000004019|obs_0000010166|obs_0000009149,obs_0000011783|obs_0000015893|obs_0000027700|obs_0000013879|obs_0000028232|obs_0000013394|obs_0000028244|obs_0000006229|obs_0000028249|obs_0000000091|obs_0000015454|obs_0000004705|obs_0000034408|obs_0000031849|obs_0000034411|obs_0000017539|obs_0000025221|obs_0000000138|obs_0000025739|obs_0000029328|obs_0000008861|obs_0000005279|obs_0000015026|obs_0000004278|obs_0000017595|obs_0000021699|obs_0000017605|obs_0000034013|obs_0000000230|obs_0000007911|obs_0000018155|obs_0000003326|obs_0000006912|obs_0000004873|obs_0000018698|obs_0000003851|obs_0000014104|obs_0000010522|obs_0000002336|obs_0000033056|obs_0000031011|obs_0000021291|obs_0000016691|obs_0000004446|obs_0000011112|obs_0000032120|obs_0000007100|obs_0000008595|obs_0000008610|obs_0000004019
Bio-Caf Intenci n Fuerte,J J Darboven,"€ 8,99",,"1 kg = 17,98",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_009.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000009,,
Original schwäbische Bio-Knusper-Brezel,Huober,"€ 1,49",,"1 kg = 8,51",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_010.jpg,"cat_knabbern_naschen,tag_high_protein,tag_ultra_processed",,,ref_000010,obs_0000034015|obs_0000030278|obs_0000028730|obs_0000020611|obs_0000012423|obs_0000006283|obs_0000026772|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000008777|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000017384|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000033975|obs_0000021758|obs_0000009525|obs_0000021868|obs_0000017799|obs_0000026035|obs_0000022184|obs_0000020181|obs_0000034561|obs_0000009987|obs_0000028429|obs_0000034575|obs_0000016167|obs_0000020298|obs_0000028516|obs_0000010117|obs_0000014249|obs_0000028630,obs_0000034015
