Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
High Protein Pudding,Ehrmann,0.99,1.49,"4,95 €/kg","verschiedene Sorten, 1 kg = 4,95 €, 200 g Becher",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id001.jpg
Pasta,tegut...,0.88,1.39,"1,76 €/kg","Spaghetti, Farfalle, Penne Rigate, Spirali oder Elicoidali, 1 kg = 1,76 €, 500 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id002.jpg
Wildlachs Filets,followfood,5.55,nan,"27,75 €/kg","aus bestandserhaltender Fischerei, tiefgefroren, 1 kg = 27,75 €, 200 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id003.jpg
Wiener Würstchen,,5.99,6.99,"8,56 €/kg","nur in SB erhältlich, knackige Brühwürstchen, 1 kg = 8,56 €, 700 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id004.jpg
Bio-Laugenbrezel,,1.99,2.79,"7,54 €/kg","1 kg = 7,54 €, 3 Stück = 264 g Tüte, BIO",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id005.jpg
"Pilsener, Herb oder Extra",Warsteiner,10.99,17.29,"1,10/1,39 €/l","Pilsener, Herb: 20 x 0,5 l Fl./Kasten, Extra: 24 x 0,33 l Fl./Kasten, 1 l = 1,10/1,39 €, zzgl. 3,10/3,42 € Pfand",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id006.jpg
Chips,Chio,1.11,1.99,"7,40 €/kg","verschiedene Sorten, 1 kg = 7,40 €, 150 g Beutel",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id007.jpg
Rinderroulade,,1.99,nan,,"gereifte Qualität, aus der Rinderkeule, ideal zum Schmoren, 100 g",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id008.jpg
Victoriaseebarschfilet,,nan,nan,,"ohne Haut, Freitag ist Fischtag.",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id009.jpg
haltbare Bio-Alpenmilch,Alnatura,1.49,1.79,,"Naturland, 3,5 % Fett, 1 l Packung, BIO",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id010.jpg
Caffè,Lavazza,14.99,21.99,,"Crema e Aroma, Caffè Crema Classico, Espresso Cremoso oder Caffè Crema Gustoso, ganze Bohnen, 1 kg Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id011.jpg
Butterkäse,Bauer,0.99,1.79,,"cremig-milder Schnittkäse, 45 % Fett i. Tr., auch in Scheiben erhältlich, 100 g",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW42_p01_id012.jpg
