Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Tomaten Creme-Suppe,Lacroix,"€ 2,49",Kein vorheriger Preis,"3,49 €",,Nein,,,,images_tegut/tegut_offer_01.jpg
Bio-Primitivo,Doppio Passo,"€ 6,49",Kein vorheriger Preis,"1 l = 8,65 €",,Nein,,,,images_tegut/tegut_offer_02.jpg
"Krombacher 20 x 0,5 l",Krombacher,"€ 22,00",Kein vorheriger Preis,"1,10 €",,Nein,,,,images_tegut/tegut_offer_03.jpg
Mousse Chocolat,Dr. Oetker,"€ 1,49",Kein vorheriger Preis,1 kg = 16.20/21.29/24.83 €,,Nein,,,,images_tegut/tegut_offer_04.jpg
Grauer Burgunder,Maybach,"€ 18,00",Kein vorheriger Preis,"1 l = 4,00 €",,Nein,,,,images_tegut/tegut_offer_05.jpg
Balsamico-Crema dunkel,tegut...,"€ 2,49",Kein vorheriger Preis,"1 l = 9,96 €",,Nein,,,,images_tegut/tegut_offer_06.jpg
Half Baked,Ben & Jerry's,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_07.jpg
Dinkelmehl Type 630,tegut...,"€ 1,29",Kein vorheriger Preis,"1,99 €",,Nein,,,,images_tegut/tegut_offer_08.jpg
Fruchtaufstrich Aprikose,tegut...,"€ 2,22",Kein vorheriger Preis,"1 kg = 6,53 €",,Nein,,,,images_tegut/tegut_offer_09.jpg
Feinstes Obstkonserven,tegut...,"€ 1,99",Kein vorheriger Preis,"2,49 €",,Nein,,,,images_tegut/tegut_offer_10.jpg
Geflügel Würstchen,tegut...,"€ 3,33",Kein vorheriger Preis,"3,99 €",,Nein,,,,images_tegut/tegut_offer_21.jpg
Schlemmertöpfchen,Kühne,"€ 2,79",Kein vorheriger Preis,"3,49 €",,Nein,,,,images_tegut/tegut_offer_32.jpg
Aceto Balsamico di Modena,Giuseppe Cremonini,"€ 7,99",Kein vorheriger Preis,"1 l = 31,96 €",,Nein,,,,images_tegut/tegut_offer_43.jpg
Bio-Olivenöl nativ extra,Corovita,"€ 6,99",Kein vorheriger Preis,"8,99 €",,Nein,,,,images_tegut/tegut_offer_54.jpg
Sauce,Miracel Whip,"€ 1,49",Kein vorheriger Preis,"2,69 €",,Nein,,,,images_tegut/tegut_offer_65.jpg
Herzogin Kartoffeln,Schwarmstedter,"€ 2,99",Kein vorheriger Preis,"3,49 €",,Nein,,,,images_tegut/tegut_offer_76.jpg
Zapfen Kroketten,tegut...,"€ 1,99",Kein vorheriger Preis,"2,49 €",,Nein,,,,images_tegut/tegut_offer_87.jpg
Knödel,Emmi,"€ 1,49",Kein vorheriger Preis,1 kg = 1.49,,Nein,,,,images_tegut/tegut_offer_98.jpg
Soßenbinder,Mondamin,"€ 1,29",Kein vorheriger Preis,"1,79 €",,Nein,,,,images_tegut/tegut_offer_109.jpg
Knödelteig halb & halb,Pfanni,"€ 2,22",Kein vorheriger Preis,"2,79 €",,Nein,,,,images_tegut/tegut_offer_120.jpg
Tomaten Sauce,Maggi,"€ 0,88",Kein vorheriger Preis,"1,49 €",,Nein,,,,images_tegut/tegut_offer_131.jpg
Cremfine zum Kochen 15% Fett,Rama,"€ 0,99",Kein vorheriger Preis,"1,49 €",,Nein,,,,images_tegut/tegut_offer_142.jpg
Polnische Gänsekeule,Roldrob,"€ 19,99",Kein vorheriger Preis,"25,99 €",,Nein,,,,images_tegut/tegut_offer_153.jpg
Sauce Hollandaise,Lukull,"€ 1,79",Kein vorheriger Preis,"2,49 €",,Nein,,,,images_tegut/tegut_offer_164.jpg
Junge polnische Hafermastgans,Roldrob,"€ 10,99",Kein vorheriger Preis,"12,49 €",,Nein,,,,images_tegut/tegut_offer_175.jpg
Rotkohl klassisch,Kühne,"€ 1,29",Kein vorheriger Preis,"2,19 €",,Nein,,,,images_tegut/tegut_offer_185.jpg
Bella Donna Sauce Hollandaise,Hellriegel,"€ 2,99",Kein vorheriger Preis,"1 l = 14,95 €",,Nein,,,,images_tegut/tegut_offer_186.jpg
20% Rabatt,tegut...,,Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_187.jpg
Schweinefilet,"0,99 €","€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_188.jpg
Raclette-Scheiben natur,Ermitage,"€ 3,49",Kein vorheriger Preis,"1 kg = 8,73 €",,Nein,,,,images_tegut/tegut_offer_189.jpg
Avocados,"1,00 €","€ 1,00",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_190.jpg
Momente Mousse au Chocolat,Dr. Oetker,"€ 0,69",Kein vorheriger Preis,"1 kg = 6,90 €",,Nein,,,,images_tegut/tegut_offer_191.jpg
"Coca-Cola, Fanta, Sprite oder Mezzo-Mix",Coca-Cola,"€ 10,99",Kein vorheriger Preis,"1 l = 0,92 €",,Nein,,,,images_tegut/tegut_offer_192.jpg
Caffè Crema,Mövenpick,"€ 14,99",Kein vorheriger Preis,"16,99 €",,Nein,,,,images_tegut/tegut_offer_193.jpg
Mini Dattel-Strauchtomaten,"1,99 €","€ 1,99",Kein vorheriger Preis,"1 kg = 9,95 €",,Nein,,,,images_tegut/tegut_offer_194.jpg
Paprika rot,"1,99 €","€ 1,99",Kein vorheriger Preis,"1 kg = 3,98 €",,Nein,,,,images_tegut/tegut_offer_195.jpg
Speisekartoffeln,"ab 1,99 €","€ 1,99",Kein vorheriger Preis,"1 kg = 0,50 €",,Nein,,,,images_tegut/tegut_offer_196.jpg
Chicoree,tegut...,"€ 1,99",Kein vorheriger Preis,"1 kg = 3,98 €",,Nein,,,,images_tegut/tegut_offer_197.jpg
Blumenkohl,"1,99 €","€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_198.jpg
Mini Gurke,"0,49 €","€ 0,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_199.jpg
tegut... Bio-Baby Spinat,demeter,"€ 1,99",Kein vorheriger Preis,"1 kg = 19,90 €",,Nein,,,,images_tegut/tegut_offer_200.jpg
Bio-Orangen,tegut...,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_201.jpg
"Weintrauben blau, kernlos","ab 1,99 €","€ 1,99",Kein vorheriger Preis,"1 kg = 3,98 €",,Nein,,,,images_tegut/tegut_offer_202.jpg
Bio-Kiwi grün,"0,49 €","€ 0,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_203.jpg
Heidelbeeren,"0,99 €","€ 0,99",Kein vorheriger Preis,"1 kg = 7,92 €",,Nein,,,,images_tegut/tegut_offer_204.jpg
Bio-Grapefruit,demeter,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_205.jpg
Kalanchoe mit Weihnachtsstecker und Glitzer,TiSento,"€ 5,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_206.jpg
Bio-Pausenäpfel,"2,99 €","€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_207.jpg
Kasseler Lachs,LandPrimus,"€ 12,90",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_208.jpg
Bio-Putenschnitzel,"2,79 €","€ 2,79",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_209.jpg
Bio-Hähnchenschenkel,"1,29 €","€ 1,29",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_210.jpg
LandPrimus Kalbsbraten,tegut...,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_211.jpg
Schweinerücken,tegut... LandPrimus,"€ 0,89",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_212.jpg
grobe Bratwurst,"3,99 €
4,99 €","€ 3,99",Kein vorheriger Preis,"4,99 €",,Nein,,,,images_tegut/tegut_offer_213.jpg
Bio-Rinderroulade,"2,99 €
3,79 €","€ 2,99",Kein vorheriger Preis,"3,79 €",,Nein,,,,images_tegut/tegut_offer_214.jpg
