Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Coca Cola*,Keine Marke,"€ 13,99",Kein vorheriger Preis,"1 l = 1,77 €","verschiedene Sorten, Fanta, Mezzo Mix* oder Sprite *koffeinhaltige Limonade, 24 x 0,33 Liter Kasten + 5,10 Pfand, (1 l = 1,77 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/coca-cola.jpg,6
Coca-Cola*,Keine Marke,"€ 1,19",Kein vorheriger Preis,"1 l = 0,95 €","verschiedene Sorten, Fanta, Mezzo Mix* oder Sprite *koffeinhaltige Limonade, 1,25 Liter Flasche + 0,25 Pfand, (1 l = 0,95 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/coca-cola.jpg,6
Arla Skyr,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 3,73/3,31 €","verschiedene Sorten, 400/450 g Becher, (1 kg = 3,73/3,31 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/arla-skyr.jpg,4
"Milram Gewürz Quark, Veganer Aufstrich",Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 6,39/5,35 €","verschiedene Sorten und Fettstufen, Sour Cream, Zaziki oder Aioli, 155/185 g Becher, (1 kg = 6,39/5,35 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/milram-gew-rz-quark-veganer-aufstrich.jpg,3
Minus L H-Kakao oder H-Milch,Keine Marke,"€ 0,89",Kein vorheriger Preis,"1 l = 1,78 €","1,5 % Fett, laktosefrei, 500 ml Packung, (1 l = 1,78 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/minus-l-h-kakao-oder-h-milch.jpg,2
Dr. Oetker Paula Snack,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 15,98 €","Creme Vanillegeschmack mit Schokosoße, 4er, 112 g Packung, (1 kg = 15,98 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/dr-oetker-paula-snack.jpg,1
Gut & Günstig Speisekartoffeln,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 0,57","vorwiegend festkochend, Sorte siehe Etikett, aus Deutschland, 2,5 kg Netz + 25% mehr Inhalt GRATIS, (1 kg = 0,57)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-speisekartoffeln.jpg,1
müller Milch Reis,Keine Marke,"€ 0,44",Kein vorheriger Preis,"1 kg = 2,44/2,20 €","verschiedene Sorten, 180/200 g Becher, (1 kg = 2,44/2,20 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/m-ller-milch-reis.jpg,1
"Puten-Schnitte Art ""Cordon bleu"" oder Wiener Art",Keine Marke,"€ 1,29",Kein vorheriger Preis,Kein Mengenpreis,100 g,Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/puten-schnitte-art-cordon-bleu-oder-wiener-art.jpg,1
Papa Joe´s Tomaten Ketchup,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 l = 3,58 €","verschiedene Sorten oder Original Mayonnaise, 500 ml Flasche, (1 l = 3,58 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/papa-joe-s-tomaten-ketchup.jpg,1
"3 Stück Kakis ""Rojo Briliante""",Keine Marke,"€ 1,00",Kein vorheriger Preis,Kein Mengenpreis,"aus Spanien, Kl. l, 3 Stück",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/3-st-ck-kakis-rojo-briliante.jpg,0
Gut & Günstig Rispentomaten,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 1,49","aus den Niederlanden / Belgien, Kl. l, (1 kg = 1,49)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-rispentomaten.jpg,0
Leerdammer Käse,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 10,56-16,90 €","verschiedene Sorten und Fettstufen *Nur solange der Vorrat reicht., 100-160* g Packung, (1 kg = 10,56-16,90 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/leerdammer-k-se.jpg,0
kerrygold Original Irische Butter oder extra,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 9,95/7,96 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 200/250 g Stück/Becher, (1 kg = 9,95/7,96 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/kerrygold-original-irische-butter-oder-extra.jpg,0
EDEKA Herzstücke WWF Apeel Orangen oder Clementinen,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,"Sorte siehe Etikett, aus Spanien, Kl. I",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/edeka-herzst-cke-wwf-apeel-orangen-oder-clementinen.jpg,0
müller Froop,Keine Marke,"€ 0,44",Kein vorheriger Preis,"1 kg = 2,93 €","verschiedene Sorten, 150 g Becher, (1 kg = 2,93 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/m-ller-froop.jpg,0
St. Mang Original Allgäuer Limburger oder Rubius,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 9,95-11,71 €","verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes., 170-200 g Packung, (1 kg = 9,95-11,71 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/st-mang-original-allg-uer-limburger-oder-rubius.jpg,0
Mini Babybel,Keine Marke,"€ 1,59",Kein vorheriger Preis,"1 kg = 15,90 €","verschiedene Sorten und Fettstufen, 5er Je nach Verfügbarkeit des Marktes., 100 g Packung, (1 kg = 15,90 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/mini-babybel.jpg,0
Zott Sahne Joghurt,Keine Marke,"€ 0,39",Kein vorheriger Preis,"1 kg = 2,79 €","verschiedene Sorten und Fettstufen, 140 g Becher, (1 kg = 2,79 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/zott-sahne-joghurt.jpg,0
Arla Kærgården,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 8,95 €","verschiedene Sorten oder Bio ungesalzen, 200 g Becher, (1 kg = 8,95 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/arla-k-rg-rden.jpg,0
Arla Buko Frischkäse oder -zubereitung,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 4,95 €","verschiedene Sorten und Fettstufen, 200 g Becher, (1 kg = 4,95 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/arla-buko-frischk-se-oder-zubereitung.jpg,0
kerrygold Frisch & Cremig,Keine Marke,"€ 1,00",Kein vorheriger Preis,"1 kg = 6,67 €","aus original irischem Frischkäse, verschiedene Sorten, 150 g Becher, (1 kg = 6,67 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/kerrygold-frisch-cremig.jpg,0
Lätta,Keine Marke,"€ 1,00",Kein vorheriger Preis,"1 kg = 2,22 €","verschiedene Sorten und Fettstufen, 450 g Becher, (1 kg = 2,22 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/l-tta.jpg,0
Le Rustique Raclette,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 kg = 11,08/9,98 €","verschiedene Sorten, mindestens 48 % Fett i. Tr., 360/400 g Packung, (1 kg = 11,08/9,98 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/le-rustique-raclette.jpg,0
