Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
K-CLASSIC,"Cola, Cola-Mix oder Limonade","€ 0,44",0.65,1 l = 0.30,-32%,"je 1,5-l-PET-Fl.",Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_572.jpg,6
"COCA-COLA, FANTA, MEZZO MIX",oder SPRITE,"€ 4,79",,1 l = 2.40 - 19.16,nur,"je Packg. 8 x 0,25-l-Dose",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_250.jpg,6
ARLA,Skyr Natur,"€ 1,49",1.99,1 kg = 3.32 - 3.73,-25%,je 400 - 450-g-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_117.jpg,5
HEINZ,HP BBQ-Sauce,"€ 3,69",,1 kg = 7.86 - 7.94,nur,je 465 - 470-g-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_169.jpg,4
CRAZY WOLF,Energy Drink oder Strong Cola,"€ 1,17",1.95,1 l = 0.73,-40%,"je 0,33-l-Dose",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_13.jpg,3
LEIFHEIT,Standwäschetrockner »Pegasus 180 Solid Plus«,"€ 24,99",49.99,Kein Mengenpreis,-50%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_389.jpg,3
JIM BEAM,Bourbon Whiskey & Cola,"€ 1,99",,1 l = 6.03,nur,"je 0,33-l-Dose",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_266.jpg,3
LEIFHEIT,Bügeltisch »Air Board Compact M Plus«,"€ 39,99",UVP84.99,Kein Mengenpreis,-52%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_386.jpg,3
Keine Marke,Dtsch. Speisekartoffeln XXL,"€ 1,99",,1 kg = 0.40,nur,je 5-kg-Sack,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_534.jpg,2
WILTMANN,Salami light,"€ 0,99",1.49,1 kg = 19.80,-33%,je 50-g-Packg.,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_545.jpg,2
HEINZ,Tomato Ketchup,"€ 2,99",6.49,1 l = 2.56 / 1 l = 2.39**,"-53%; 2.79€, mit Kaufland Card","je 1,17-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_03.jpg,1
SOMAT,Geschirrreiniger XXL,"€ 6,99",,pro Anwendung = 0.05 - 0.16,nur,je,Nein,Dieses Angebot findest du vom 24.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-24,2025-11-26,images_kaufland/kaufland_offer_555.jpg,1
