Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
HP 15-fd0611ng Notebook,Hewlett Packard (HP),"€ 199,00",Kein vorheriger Preis,"€ 199,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,6
Rum Non Plus Ultra,A.H. Riise,"€ 79,99",Kein vorheriger Preis,"€ 114,27 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Black Edition Je 0,7 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,,4
Laugeneck,Lidl Backshop,"€ 2,55",Kein vorheriger Preis,"€ 0,85 / Stk -",Je 3 Stück,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0087.jpg,3
Apfeltasche,Lidl Backshop,"€ 0,39",Kein vorheriger Preis,"€ 0,39 / Stk -",HINWEIS: MIT LIDL PLUS APP Je Stück Normalpreis: 0.69,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0077.jpg,3
Multivitaminsaft XXL,Solevita,"€ 2,55",Kein vorheriger Preis,"€ 1,27 / l -","Frucht-/Gemüsegehalt 100 %. Aus Konzentraten und Fruchtmark. Je 2 l; Standardpackung: 1,5 l",Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0058.jpg,1
Mini Mozzarella XXL,Milbona,"€ 1,29",Kein vorheriger Preis,"€ 6,45 / kg -",Je 300 g Abtropfgewicht: 200 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,1
Chardonnay,Bonot Pére & Fils,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Weißwein, trocken Frankreich Je 0,75 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0024.jpg,1
Sandwich Biscuits XXL,Sondey,"€ 4,49",Kein vorheriger Preis,"€ 2,99 / kg -",Je Gebinde 3 x 500 g Standardpackung: 500 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0060.jpg,1
Kondensmilch XXL,Milbona,"€ 0,85",Kein vorheriger Preis,"€ 1,70 / kg -",4 % Fett. Je 500 g Standardpackung: 340 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0043.jpg,1
Haltbare Schlagsahne XXL,Milbona,"€ 1,85",Kein vorheriger Preis,"€ 3,70 / kg -",Je 500 g Standardpackung: 200 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0116.jpg,1
Crêpe-Maker,Russell Hobbs,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0108.jpg,1
Schweine Gulasch XXL,Metzgerfrisch,"€ 4,55",Kein vorheriger Preis,"€ 5,69 / kg -",HINWEIS: MIT LIDL PLUS APP Je 800 g. Normalpreis: 5.69,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0092.jpg,1
Selection Kalifornische Pistazien XXL,Alesto,"€ 5,19",Kein vorheriger Preis,"€ 10,38 / kg -",Geröstet & gesalzen. Je 500 g Standardpackung: 250 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0101.jpg,1
XXL Käsescheiben,Milram,"€ 2,99",Kein vorheriger Preis,"€ 11,50 / kg -",Versch. Sorten. Je 260 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0105.jpg,1
Frische Tortelloni XXL,Chef Select,"€ 2,59",Kein vorheriger Preis,"€ 2,59 / kg -",Versch. Sorten. Je 1 kg,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0102.jpg,1
Messer-Set 3-teilig,Duca di Sasseta,"€ 7,99",Kein vorheriger Preis,"€ 2,66 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0055.jpg,1
SUP mit Doppelkammer-System Exotic,F2,"€ 149,00",Kein vorheriger Preis,"€ 149,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0016.jpg,1
Selection Mandeln XXL Vegan,Alesto,"€ 5,49",Kein vorheriger Preis,"€ 10,98 / kg -",Naturbelassen. Je 500 g Standardpackung: 200 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0013.jpg,1
Waschmittel flüssig XXL,Formil,"€ 7,79",Kein vorheriger Preis,"€ 0,08 / Stk -",Versch. Sorten. Je 100 Waschladungen,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0174.jpg,1
Hirtenkäse XXL,Milbona,"€ 1,89",Kein vorheriger Preis,"€ 5,04 / kg -",Je 375 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0115.jpg,1
Snack,Filinchen,"€ 1,49",Kein vorheriger Preis,"€ 14,90 / kg -","oder Das Abendbrot Lower Carb Snack, in versch. Sorten. Je 100 g",Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0135.jpg,1
Norwegische Lachsfilet-Portionen XXL,Fischerstolz,"€ 16,99",Kein vorheriger Preis,"€ 16,99 / kg -",Mit Haut. Je 8 x 125 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,1
Bio-Speisekartoffeln,Keine Marke,"€ 1,79",Kein vorheriger Preis,"€ 0,90 / kg -",Qualität I Je 2 kg,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,1
Selection Nuts Royal XXL,Alesto,"€ 4,99",Kein vorheriger Preis,"€ 9,98 / kg -",Naturbelassen. Je 500 g Standardpackung: 200 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,1
Maria-Kekse XXL,Sondey,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / kg -",Je 5 x 200 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0130.jpg,1
Gläserset Roma 4er Set,Mäser,"€ 12,99",Kein vorheriger Preis,"€ 3,25 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0006.jpg,1
Musselin-Bettwäsche,Livarno Home,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante․,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0001.jpg,0
Travel Mug Essential,emsa,"€ 16,99",Kein vorheriger Preis,"€ 16,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0003.jpg,0
Torte,Deluxe,"€ 4,49",Kein vorheriger Preis,"€ 8,98 / kg -",Versch. Sorten. Je 500 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0011.jpg,0
