Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Drucker HP DeskJet 2810e,Keine Marke,"€ 44,44","€ 89,99",Kein Mengenpreis,"7,5 S./Min Schwarz, 5,5 S./Min Farbe, 60-Blatt-Papierzuführung, Instant Ink kompatibel",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_182.png,3
Nicer Dicer Plus Jubiläumsedition,Keine Marke,"€ 25,0","€ 59,99",Kein Mengenpreis,"extra scharfe Klingen mit 4 Messereinsätzen, mit durchgängiger Schneidefläche, Schneiddeckel mit Selbstreinigungsfunktion",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_186.png,3
"Ehrmann Früchte-, Vanille- oder Grießtraum",Keine Marke,"€ 0,5","€ 0,69",4.26 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_058.png,2
Pepsi,Keine Marke,"€ 0,77",Kein vorheriger Preis,0.62 / l,"koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_156.png,2
Choco Crossies oder Chocolait Chips,Keine Marke,"€ 2,0",Kein vorheriger Preis,9.95 – 17.30 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_122.png,1
Set Combi M,Keine Marke,"€ 15,0","€ 34,99",Kein Mengenpreis,"einfaches Auspressen, wendiger Bodenwischer mit 360°-Gelenk, mit 2-Faser-Wischbezug Wischbreite: ca. 33 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_183.png,1
Lindt X-Mas Tanne,Keine Marke,"€ 7,49","€ 8,49",71.33 / kg,,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_126.png,1
Christbaumkugel-Set,Keine Marke,,Kein vorheriger Preis,Kein Mengenpreis,"aus bruchsicherem Kunststoff 24er Pack, Maße ca. 3 cm 20er Pack, Maße ca. 4 cm 8er Pack, Maße ca. 6,5 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_149.png,1
Pfanni Speisekartoffeln Unsere Besten,Keine Marke,"€ 2,0",Kein vorheriger Preis,0.80 / kg,"Deutschland, versch. Kocheigenschaften",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_018.png,1
Kiwi gold,Keine Marke,"€ 0,49",Kein vorheriger Preis,Kein Mengenpreis,"Italien, Kl. I",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_019.png,1
