Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Jack Daniel’s Coca-Cola oder Berry,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 l = 6,03","10% Vol., teilw. koffeinhaltig, je 0,33-l-Dose, zzgl. 0,25 Pfand",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_126.jpg,6
"Coca-Cola, Fanta oder Sprite",Keine Marke,"€ 1,39",Kein vorheriger Preis,"1 l = 0,93","versch. Sorten, teilw, koffeinhaltig, je 1,5-l-Fl, zzgl. 0,25 Pfand",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_119.jpg,6
Coca-Cola,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 l = 2,02","versch. Sorten, teilw. koffeinhaltig, je 6 x 0,33-l-Dosen-Pckg, zzgl. 1,50 Pfand",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_116.jpg,6
Danone YoPro Skyr,Keine Marke,"€ 1,11",Kein vorheriger Preis,"1 kg = 6,94","Vanille, je 160-g-Becher",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_54.jpg,4
La Cheteau Crémant de Loire Brut oder Rosé,Keine Marke,"€ 5,99",Kein vorheriger Preis,"1 l = 7,99","je 0,75-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_10.jpg,1
Ben’s Original Kochbeutel Reis,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 3,58","versch. Sorten, je 4 x 125-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_89.jpg,1
Maggi Nudel Snack,Keine Marke,"€ 0,49",Kein vorheriger Preis,"1 kg = 7,90","versch. Sorten, je 62-g-Btl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_90.jpg,1
Landliebe Butter,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 7,16",je 250-g-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_01.jpg,0
Lavazza Caffè Crema oder Espresso,Keine Marke,"€ 14,99",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, je 1000-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_08.jpg,0
Kölln Haferflocken,Keine Marke,"€ 1,19",Kein vorheriger Preis,"1 kg = 2,38","versch. Sorten, je 500-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_07.jpg,0
Knack & Back Fertigteig Sonntags-Brötchen,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 4,23",je 400-g-Dose,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_06.jpg,0
Knack & Back Fertigteig Croissants,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 7,04",je 240-g-Dose,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_05.jpg,0
