Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Salatgurke,Gut Günstig,"€ 0,55",,"pro Einheit = 0,55","aus den Niederlanden, Kl. I, Stück",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/gut-g-nstig-salatgurke.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,,ref_000001,obs_0000006407|obs_0000006429|obs_0000031142|obs_0000031262|obs_0000006268|obs_0000005891|obs_0000005502|obs_0000006068|obs_0000007126|obs_0000007144|obs_0000005876,obs_0000005891|obs_0000006407|obs_0000006429|obs_0000005502|obs_0000031142|obs_0000007126|obs_0000007144|obs_0000005876
Heidelbeeren,Keine Marke,"€ 3,99",,"1 kg = 13,30","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 300 g Packung, (1 kg = 13,30 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/heidelbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,BLS-F304100,ref_000002,obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000033682|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000000695|obs_0000003000|obs_0000016699|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000034122|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000000880|obs_0000033918|obs_0000034918|obs_0000006409|obs_0000030472|obs_0000034319|obs_0000030138|obs_0000030919|obs_0000022353|obs_0000005509|obs_0000005525|obs_0000005120|obs_0000006958|obs_0000005692|obs_0000007128|obs_0000007143|obs_0000005713|obs_0000005894,obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000033682|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000000695|obs_0000003000|obs_0000016699|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000034122|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000000880|obs_0000033918|obs_0000034918
Salatmix Classic oder Traditionell,EDEKA Herzstücke,"€ 1,11",,"1 kg = 5,55","200 g Packung, (1 kg = 5,55 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/edeka-herzst-cke-salatmix-classic-oder-traditionell.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_ultra_processed",,,ref_000003,obs_0000024877|obs_0000025668|obs_0000001628|obs_0000001643|obs_0000034649|obs_0000026884|obs_0000035101|obs_0000019134|obs_0000011543|obs_0000028751|obs_0000020596|obs_0000021415|obs_0000015018|obs_0000031658,
Erdbeeren,EDEKA Bio,"€ 1,99",,"1 kg = 8,30","aus Spanien, Kl. II, 300 g Packung, (1 kg = 8,30 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/edeka-bio-erdbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F301100,ref_000004,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512
Bio Gemüsezwiebeln,Keine Marke,"€ 0,79",,"1 kg = 2,00","aus Deutschland, Kl. II Abbildung ähnlich., 500 g Netz, (1 kg = 2,00 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/bio-gem-sezwiebeln.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,sub_tk_gemuese,tag_whole_food",,,ref_000005,obs_0000009164|obs_0000028838,
Spargel weiß violett,Keine Marke,"€ 5,99",,"1 kg = 6,99","aus Griechenland, Kl. II Abbildung ähnlich., 1 kg Packung, (1 kg = 6,99 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/spargel-wei-violett.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000006,obs_0000006414|obs_0000007314|obs_0000001516,obs_0000006414
Salatgurke unfoliert,EDEKA Bio,"€ 1,00",,"pro Einheit = 1,00","aus Spanien, Kl. II, Stück",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/edeka-bio-salatgurke-unfoliert.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,,ref_000007,obs_0000006268|obs_0000031142|obs_0000006407|obs_0000006429,obs_0000005697|obs_0000006268
Bio Avocado Hass,Keine Marke,"€ 1,19",,"pro Einheit = 1,19","aus Spanien, Kl. II, Stück",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/bio-avocado-hass.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000008,obs_0000033717|obs_0000034744|obs_0000028796|obs_0000030124|obs_0000030212|obs_0000030257|obs_0000030466|obs_0000030959|obs_0000006430|obs_0000007317|obs_0000032517|obs_0000028218|obs_0000006418|obs_0000000058|obs_0000008728|obs_0000000694|obs_0000017166|obs_0000001305|obs_0000034105|obs_0000034516|obs_0000018748|obs_0000027541|obs_0000027854|obs_0000020117|obs_0000029123|obs_0000020936|obs_0000029201|obs_0000014073|obs_0000030562,
Cosmic Crisp Bio Tafeläpfel,Keine Marke,"€ 2,39",,"1 kg = 3,74","Sorte siehe Etikett, aus Italien, Kl. II, 800 g Packung, (1 kg = 3,74 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/cosmic-crisp-bio-tafel-pfel.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000009,obs_0000009386|obs_0000009847|obs_0000028564|obs_0000028684|obs_0000005704,
Orangen,EDEKA Bio,"€ 1,99",,"1 kg = 2,49","Sorte siehe Etikett, aus Italien, Kl. II, 1 kg Netz, (1 kg = 2,49 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/edeka-bio-orangen.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F603100,ref_000010,obs_0000014361|obs_0000008755|obs_0000009787|obs_0000032323|obs_0000016457|obs_0000029277|obs_0000009316|obs_0000030827|obs_0000017005|obs_0000029823|obs_0000025768|obs_0000019119|obs_0000027858|obs_0000027355|obs_0000031473|obs_0000008977|obs_0000032059|obs_0000030565|obs_0000031118|obs_0000024463|obs_0000028048|obs_0000021906|obs_0000028056|obs_0000029592|obs_0000024992|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000029131|obs_0000034315|obs_0000014877|obs_0000026166|obs_0000033854|obs_0000013417|obs_0000027756|obs_0000034915|obs_0000033934|obs_0000010976|obs_0000034020|obs_0000034534|obs_0000029943|obs_0000001301|obs_0000025425|obs_0000016210|obs_0000006483|obs_0000015711|obs_0000029591|obs_0000030120|obs_0000031152|obs_0000033716,obs_0000014361|obs_0000008755|obs_0000009787|obs_0000032323|obs_0000016457|obs_0000029277|obs_0000009316|obs_0000030827|obs_0000017005|obs_0000029823|obs_0000025768|obs_0000019119|obs_0000027858|obs_0000027355|obs_0000031473|obs_0000005873|obs_0000008977|obs_0000032059|obs_0000030565|obs_0000007526|obs_0000031118|obs_0000024463|obs_0000028048|obs_0000021906|obs_0000028056|obs_0000029592|obs_0000024992|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000029131
