Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Hochdruckreiniger,PARKSIDE,"€ 89,99",,"pro Einheit = 99,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_001.jpg,cat_non_food,,,ref_000001,obs_0000022745|obs_0000023922|obs_0000024343|obs_0000018678|obs_0000017447|obs_0000017761|obs_0000023919|obs_0000024345|obs_0000021944|obs_0000018398|obs_0000022536|obs_0000026168,obs_0000022745|obs_0000018678|obs_0000017447|obs_0000023922|obs_0000024343
Schwip Schwap Zero,Pepsi,"€ 0,99",,"pro Einheit = 1,79",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_002.jpg,"cat_getraenke,sub_schwein,tag_ultra_processed",,,ref_000002,obs_0000007091|obs_0000006725|obs_0000006215|obs_0000023246|obs_0000009118|obs_0000028990,
Flutsch Finger,Langnese,"€ 1,99",,"1 l = 3,89",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_003.jpg,"cat_tiefkuehl,sub_tk_eis,tag_ultra_processed",,,ref_000003,,
Wende-Bettwäsche-Set,Wende-Bettwäsche-Set,"€ 14,99",,"pro Einheit = 32,95",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_004.jpg,cat_non_food,,,ref_000004,obs_0000010547|obs_0000008944|obs_0000016078|obs_0000012228|obs_0000012230|obs_0000026412,
Tapas Snack,Sol Mar,"€ 1,99",,"pro Einheit = 1,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_005.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000005,obs_0000021028|obs_0000022092|obs_0000020209|obs_0000025802|obs_0000017698|obs_0000015693|obs_0000018804|obs_0000014824,obs_0000021028|obs_0000022092|obs_0000020209
Energy Drink,Red Bull,"€ 4,99",,"pro Einheit = 5,15",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_006.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000006,obs_0000022027|obs_0000016414|obs_0000021058|obs_0000024154|obs_0000002158|obs_0000026742|obs_0000018063|obs_0000025242|obs_0000002214|obs_0000013993|obs_0000023733|obs_0000000193|obs_0000004816|obs_0000033497|obs_0000026353|obs_0000019186|obs_0000008960|obs_0000023301|obs_0000020239|obs_0000004389|obs_0000000304|obs_0000034110|obs_0000021846|obs_0000018775|obs_0000028526|obs_0000003962|obs_0000027531|obs_0000017338|obs_0000022971|obs_0000026042|obs_0000028643|obs_0000010758|obs_0000028180|obs_0000020512|obs_0000026684|obs_0000011333|obs_0000011355|obs_0000031887|obs_0000017046|obs_0000027310|obs_0000027877|obs_0000025348|obs_0000026886|obs_0000018194|obs_0000028455|obs_0000024876|obs_0000013614|obs_0000010050|obs_0000014658|obs_0000022864,obs_0000010758|obs_0000022027|obs_0000028180|obs_0000016414|obs_0000020512|obs_0000026684|obs_0000021058|obs_0000011333|obs_0000024154|obs_0000011355|obs_0000030304|obs_0000002158|obs_0000029298|obs_0000026742|obs_0000018063|obs_0000031887|obs_0000017046|obs_0000025242|obs_0000002214|obs_0000013993|obs_0000027310|obs_0000023733|obs_0000032439|obs_0000000193|obs_0000004816|obs_0000033497|obs_0000027877|obs_0000026353|obs_0000019186|obs_0000008960|obs_0000025348|obs_0000023301|obs_0000026886|obs_0000020239|obs_0000018194|obs_0000029973|obs_0000032023|obs_0000004389|obs_0000028455|obs_0000024876|obs_0000013614|obs_0000000304|obs_0000034110|obs_0000010050|obs_0000014658|obs_0000022864|obs_0000021331|obs_0000021846|obs_0000018775|obs_0000028526
Cocktailstrauchtomaten,Cocktailstrauchtomaten,"€ 1,79",,"1 kg = 3,58",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000007,,
Erdbeeren,Erdbeeren,"€ 0,99",,"pro Einheit = 1,34",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F301100,ref_000008,obs_0000022919|obs_0000024529|obs_0000000875|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000006265|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512
Lavendel angustifolia,Lavendel angustifolia,"€ 4,49",,"pro Einheit = 4,49",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_009.jpg,"cat_non_food,tag_ultra_processed",,,ref_000009,,
Möhren,Möhren,"€ 1,49",,"1 kg = 0,75",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,BLS-H450100,ref_000010,obs_0000008450|obs_0000006415|obs_0000025364|obs_0000028058|obs_0000008865|obs_0000017480|obs_0000005706|obs_0000027745|obs_0000026853|obs_0000026344|obs_0000010486|obs_0000019350|obs_0000009629|obs_0000013598|obs_0000034080|obs_0000012710|obs_0000030259|obs_0000010556|obs_0000026455|obs_0000022493|obs_0000014048|obs_0000010979|obs_0000008292|obs_0000015718|obs_0000012647|obs_0000027368|obs_0000018161|obs_0000027505|obs_0000031230|obs_0000022915|obs_0000011396|obs_0000023690|obs_0000005515|obs_0000021019|obs_0000030143|obs_0000012362|obs_0000014427|obs_0000020200|obs_0000013162|obs_0000007534|obs_0000006072|obs_0000007733|obs_0000005314,obs_0000008450|obs_0000006415|obs_0000025364|obs_0000028058|obs_0000008865|obs_0000017480|obs_0000005706|obs_0000027745|obs_0000026853|obs_0000026344|obs_0000010486
