Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Rügenwalder Vegane Mühlen Cordon bleu,Keine Marke,"€ 2,49",,"1 kg = 12,45",je 2 x 100-g-Pckg.,Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/bamberg_offer_001.jpg,"cat_fleisch_wurst,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz,tag_ultra_processed",bamberg,,,ref_000001,obs_0000030453|obs_0000031126|obs_0000029132|obs_0000032213|obs_0000018384|obs_0000030497|obs_0000032212|obs_0000029148|obs_0000031199|obs_0000011833|obs_0000001307|obs_0000034131|obs_0000003416|obs_0000029182|obs_0000002447,obs_0000030453|obs_0000031126|obs_0000029132|obs_0000018384|obs_0000032213
Saupiquet Thunfischfilets,Keine Marke,"€ 2,49",,"1 kg = 23,94","in Olivenöl, je 160 / 2 x 80-g-Dosen-Pckg., 104 g Abtropfgewicht",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/bamberg_offer_136.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,tag_ultra_processed",bamberg,,,ref_000002,obs_0000026850|obs_0000001796|obs_0000001797|obs_0000026667|obs_0000017324|obs_0000012685|obs_0000015248|obs_0000025622|obs_0000001274,
Feinschmecker Suppe,Knorr,"€ 0,79",,"pro Einheit = 0,79","versch. Sorten, ausreichend für 500 ml, je 1-Btl.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/bamberg_offer_137.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,,ref_000003,obs_0000015000|obs_0000031022|obs_0000006482|obs_0000012659|obs_0000010698|obs_0000008457|obs_0000027099|obs_0000034626|obs_0000007182|obs_0000005744|obs_0000007371|obs_0000027223|obs_0000034285|obs_0000015871,obs_0000007182|obs_0000005744|obs_0000029302|obs_0000015000|obs_0000015002|obs_0000007371|obs_0000031022|obs_0000031025|obs_0000006482|obs_0000012659|obs_0000032117|obs_0000010698|obs_0000010700
Salat Krönung,Knorr,"€ 0,79",,"pro Einheit = 0,79","versch. Sorten, ausreichend für 5 x 90 ml, je 5er-Pckg.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/bamberg_offer_138.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_ultra_processed",bamberg,,,ref_000004,obs_0000031024|obs_0000028472|obs_0000031718|obs_0000014311|obs_0000007178|obs_0000032419|obs_0000028995|obs_0000032110|obs_0000030689|obs_0000031318|obs_0000025985|obs_0000022968,obs_0000007178|obs_0000032419|obs_0000031024|obs_0000024881|obs_0000028472|obs_0000028995|obs_0000032110|obs_0000030689|obs_0000031718
Lukull Sauce Hollandaise,Keine Marke,"€ 1,79",,"1 l = 7,16",je 250-ml-Pckg.,Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/bamberg_offer_139.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000005,obs_0000031029|obs_0000032237|obs_0000006127|obs_0000015434|obs_0000034898|obs_0000013386|obs_0000034889|obs_0000011915|obs_0000010474|obs_0000008982,obs_0000034898|obs_0000031029|obs_0000032237|obs_0000006127
Magic Asia Noodle Cup Chicken,Maggi,"€ 0,99",,"1 kg = 15,71",je 63-g-Becher,Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/bamberg_offer_140.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_proteinreich,tag_ultra_processed",bamberg,,,ref_000006,obs_0000031040|obs_0000017439|obs_0000018736|obs_0000030290|obs_0000032686|obs_0000032234|obs_0000029686|obs_0000008217|obs_0000026607,obs_0000030290|obs_0000031040|obs_0000032686|obs_0000032234|obs_0000029686
Fix Tomaten Bolognese,Knorr,"€ 0,49",,"1 kg = 10,65",je 46-g-Btl.,Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/bamberg_offer_141.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000007,obs_0000027095|obs_0000026187|obs_0000012367|obs_0000015001|obs_0000016596|obs_0000009999|obs_0000006464|obs_0000009537|obs_0000017240|obs_0000013189|obs_0000010701|obs_0000021014|obs_0000009872|obs_0000026278|obs_0000009412|obs_0000020195|obs_0000034023|obs_0000026407|obs_0000026433|obs_0000019909|obs_0000025048|obs_0000018941|obs_0000010238,
Kidney Bohnen,Bonduelle,"€ 1,19",,"1 kg = 4,76","je 400-g-Dose, 250 g Abtropfgewicht",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/bamberg_offer_142.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food",bamberg,,BLS-H742100,ref_000008,obs_0000028278|obs_0000028471|obs_0000028216|obs_0000031037|obs_0000008897|obs_0000032313|obs_0000030020|obs_0000016102,obs_0000028471|obs_0000028216|obs_0000032313|obs_0000031037|obs_0000008897|obs_0000030020|obs_0000028278
Leinöl,REWE Bio,"€ 1,99",,"1 l = 7,96","nativ, je 250-ml-Fl.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/bamberg_offer_143.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,BLS-Q160000,ref_000009,obs_0000009244|obs_0000021168|obs_0000021841|obs_0000020349,
Naturreis,REWE Bio,"€ 2,09",,"pro Einheit = 2,09","Spitzen-Langkorn, je 1-kg-Btl.",Nein,2026-04-06 bis 2026-04-12,2026-04-06,2026-04-12,../images/rewe/bamberg_offer_145.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,sub_reis,tag_whole_food",bamberg,,,ref_000010,obs_0000027568,
